.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
IPF_SRR21498165	1	1	1	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498185	1	1	1	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498200	1	1	0.25	1	1	1	1	0.5	1	1	1
IPF_SRR21498205	1	1	0.25	1	1	0.5	1	0.5	0.5	0.5	1
IPF_SRR21498230	1	1	0.25	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498265	1	1	1	1	1	0.5	1	0.5	0.5	1	1
IPF_SRR21498280	1	1	1	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498285	1	1	1	1	1	0.5	1	0.5	0.5	1	1
IPF_SRR21498295	1	1	1	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498340	1	1	0.25	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498365	1	1	0.25	1	1	0.25	1	0.5	0.5	0.5	1
IPF_SRR21498375	1	1	1	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498421	1	1	0.25	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498538	1	1	1	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498628	1	1	0.25	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498633	1	1	0.25	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498643	1	1	0.25	1	1	0.5	1	0.5	0.5	1	1
IPF_SRR21498668	1	1	1	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498748	1	1	0.25	1	1	1	1	0.5	0.5	1	1
IPF_SRR21498828	1	1	1	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498140	1	1	1	1	1	0.5	1	0.5	0.5	1	1
NDC_SRR21498150	1	1	1	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498180	1	1	1	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498190	1	1	0.25	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498195	1	1	0.25	1	1	1	1	0.5	1	1	1
NDC_SRR21498225	1	1	0.25	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498320	1	1	0.25	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498385	1	1	0.25	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498400	1	1	1	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498523	1	1	1	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498578	1	1	1	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498623	1	1	0.25	1	1	1	1	0.5	0.5	0.5	1
NDC_SRR21498663	1	1	0.25	1	1	1	1	0.5	0.5	1	1
NDC_SRR21498728	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
