Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
IPF_SRR21498155 - polya	(1, 0.0217482192062941)	(2, 0.02653113934221906)	(3, 0.029203947653471247)	(4, 0.03212996938368416)	(5, 0.03488718216792326)	(6, 0.03775693424947824)	(7, 0.04040160773640145)	(8, 0.04332762946661437)	(9, 0.04608484225085347)	(10, 0.05057234673132424)	(12, 0.0565931991377239)	(14, 0.06469602854446738)	(16, 0.07225022887679591)	(18, 0.08025458639838798)	(20, 0.08672559599405116)	(22, 0.09329507747486575)	(24, 0.09864069409737013)	(26, 0.10411291742935486)	(28, 0.10971174747081996)	(30, 0.11552158869475235)	(32, 0.12061399189829598)	(34, 0.12673331618984704)	(36, 0.13212113504884487)	(38, 0.13648203281983529)	(40, 0.14067412164485185)	(42, 0.14606194050384969)	(44, 0.15136535488986058)	(46, 0.15624674691093698)	(48, 0.16110000410768435)	(50, 0.16620647472339248)	(52, 0.17428116930580698)	(54, 0.18711064919981746)	(56, 0.19182323227491999)	(58, 0.19601532109993658)	(60, 0.20051689299257186)	(62, 0.2046527121689305)	(64, 0.20935122783186855)	(66, 0.21437329397458976)	(68, 0.21743998982644752)	(70, 0.21987365213090346)	(72, 0.2219274943069183)	(74, 0.22279967386111638)	(76, 0.22288407833410329)
IPF_SRR21498185 - polya	(1, 0.01977681175120519)	(2, 0.02305195255076783)	(3, 0.02514300398433475)	(4, 0.027889083577814198)	(5, 0.030987870642015775)	(6, 0.03373395023549522)	(7, 0.03559826115216934)	(8, 0.03879782177943438)	(9, 0.04131716085602103)	(10, 0.045474070332389004)	(12, 0.05152048411619696)	(14, 0.05865021370293717)	(16, 0.06473441757289393)	(18, 0.06993685276604536)	(20, 0.074912547442304)	(22, 0.08027873967543354)	(24, 0.08517885417939458)	(26, 0.08947432730497482)	(28, 0.09400913764283078)	(30, 0.09868251162989901)	(32, 0.1035322393523283)	(34, 0.10863390098241626)	(36, 0.11286639063108184)	(38, 0.11674617280902527)	(40, 0.12100385584845672)	(42, 0.12493402480793188)	(44, 0.12896496733047053)	(46, 0.13284474950841396)	(48, 0.1364977911694646)	(50, 0.14070508742736432)	(52, 0.14992586844767145)	(54, 0.16724632459920463)	(56, 0.1708615761741065)	(58, 0.17466577817975232)	(60, 0.17850777027154696)	(62, 0.18171992759419492)	(64, 0.18551153290445785)	(66, 0.18945429855931595)	(68, 0.1922003781527954)	(70, 0.19414026924176714)	(72, 0.19581562972769723)	(74, 0.19684855874909776)	(76, 0.1969367356167783)
IPF_SRR21498200 - polya	(1, 0.03857831886290862)	(2, 0.04595268945123713)	(3, 0.05058452552324511)	(4, 0.05552108765262204)	(5, 0.0603357593590514)	(6, 0.06460192416221665)	(7, 0.07069644530959558)	(8, 0.07548064441028804)	(9, 0.08087429562571839)	(10, 0.0907931287930776)	(12, 0.10421631162017969)	(14, 0.12277412851394853)	(16, 0.1383761026512386)	(18, 0.15353622400534367)	(20, 0.16525294091117965)	(22, 0.17764005514322734)	(24, 0.1881835767281929)	(26, 0.19731012214639282)	(28, 0.20764033549120012)	(30, 0.21789436732166517)	(32, 0.22932159447300066)	(34, 0.23942326327478125)	(36, 0.24792512027537483)	(38, 0.2556651621325461)	(40, 0.263222368355296)	(42, 0.2718918246874425)	(44, 0.28114026052859)	(46, 0.28979448055786805)	(48, 0.2961784914597475)	(50, 0.30329384489931244)	(52, 0.3585102064945655)	(54, 0.45858224373452755)	(56, 0.46601755953432983)	(58, 0.47418421787181764)	(60, 0.48253371184372673)	(62, 0.4895424111632125)	(64, 0.4979223777408585)	(66, 0.5055862380836875)	(68, 0.5108427625733019)	(70, 0.5150632184678617)	(72, 0.5185218592189993)	(74, 0.5206854142263189)	(76, 0.520929195072214)
IPF_SRR21498230 - polya	(1, 0.035777234523357994)	(2, 0.04228460086205339)	(3, 0.04677335560180655)	(4, 0.05158083848876111)	(5, 0.056175835944248076)	(6, 0.06021305914213257)	(7, 0.06435652505575086)	(8, 0.06908432590590508)	(9, 0.07351995928779133)	(10, 0.08089054769182388)	(12, 0.09196635080707279)	(14, 0.10735826424900743)	(16, 0.12112997627600158)	(18, 0.13349397231952284)	(20, 0.14419792592970343)	(22, 0.15616351178922294)	(24, 0.16638937317860142)	(26, 0.17524735960290722)	(28, 0.1845170365506815)	(30, 0.19446401081125875)	(32, 0.20447738676916963)	(34, 0.21450404306654725)	(36, 0.2231761047383189)	(38, 0.23087870162901955)	(40, 0.23838209342771938)	(42, 0.2465893432181556)	(44, 0.2544645845219237)	(46, 0.2620210976784904)	(48, 0.26884719216438724)	(50, 0.27661619075242155)	(52, 0.3126457517256473)	(54, 0.3668295367498866)	(56, 0.3750235062008561)	(58, 0.38216832883395435)	(60, 0.3891272267145184)	(62, 0.3950635384561446)	(64, 0.40239428584177694)	(66, 0.40878212912527184)	(68, 0.413270883865025)	(70, 0.4166972114474401)	(72, 0.419313438322385)	(74, 0.4209734807557257)	(76, 0.42117268584772655)
IPF_SRR21498285 - polya	(1, 0.02490910561135595)	(2, 0.02907146268479402)	(3, 0.031629577969511165)	(4, 0.03431776691277325)	(5, 0.03709267162839863)	(6, 0.04056130252293036)	(7, 0.043292849352374096)	(8, 0.04643629610054347)	(9, 0.049731495450348606)	(10, 0.05459841817423844)	(12, 0.061459803662484006)	(14, 0.0706733544760839)	(16, 0.0802771262653186)	(18, 0.08879695090001216)	(20, 0.09598352053462009)	(22, 0.10365786638877152)	(24, 0.10998811777129192)	(26, 0.11547289037327021)	(28, 0.12062163935734074)	(30, 0.1263448803333181)	(32, 0.13292443956138295)	(34, 0.13909209887072216)	(36, 0.14428420574097434)	(38, 0.14879342590386557)	(40, 0.1534543986683926)	(42, 0.15877657919718974)	(44, 0.16386029135198776)	(46, 0.1685321035880602)	(48, 0.1728245343200432)	(50, 0.17770229651547842)	(52, 0.18825994180070937)	(54, 0.2041939649724645)	(56, 0.20897417192399104)	(58, 0.21376521834706297)	(60, 0.21769994651804742)	(62, 0.22149376155894146)	(64, 0.22593794489256025)	(66, 0.23049052294163314)	(68, 0.23439273269798133)	(70, 0.2372326742428792)	(72, 0.23916210017796244)	(74, 0.24020268944632195)	(76, 0.2403327631048669)
IPF_SRR21498410 - polya	(1, 0.03224536375117009)	(2, 0.03861911040459095)	(3, 0.042153642639669794)	(4, 0.04638349269148546)	(5, 0.051221745832945836)	(6, 0.05498805067360362)	(7, 0.05860949763577457)	(8, 0.06382438126130073)	(9, 0.06851777652427427)	(10, 0.0759924430541951)	(12, 0.08659603975943163)	(14, 0.100458938730622)	(16, 0.11333680412810188)	(18, 0.12462123286222654)	(20, 0.13447156859933151)	(22, 0.14561113945496934)	(24, 0.15515727364725196)	(26, 0.16434126314331748)	(28, 0.17271404851985667)	(30, 0.18152140753185642)	(32, 0.18960447715142198)	(34, 0.19768754677098752)	(36, 0.20490146911963203)	(38, 0.21233267828600683)	(40, 0.21998117427011185)	(42, 0.2279628433747366)	(44, 0.23543750990465745)	(46, 0.24317292061585458)	(48, 0.2495756388449728)	(50, 0.25768768004023573)	(52, 0.2741145634606431)	(54, 0.30605572566699085)	(56, 0.3137187074389446)	(58, 0.31997656778957595)	(60, 0.32614751341311526)	(62, 0.33244883112729273)	(64, 0.3388805209321083)	(66, 0.3445444639809436)	(68, 0.3491509445168251)	(70, 0.3523667894192329)	(72, 0.35522048962542363)	(74, 0.35708915625790383)	(76, 0.3573064430756341)
IPF_SRR21498439 - polya	(1, 0.03257038418531511)	(2, 0.039060751916510754)	(3, 0.044247118825000424)	(4, 0.048751848939802875)	(5, 0.052782396937257704)	(6, 0.05669439940537562)	(7, 0.06140658419651766)	(8, 0.06508149560596177)	(9, 0.06982331677943804)	(10, 0.07843268584753088)	(12, 0.09111705748657992)	(14, 0.10798015903475489)	(16, 0.12180553139367162)	(18, 0.13459363037089045)	(20, 0.14469963674686173)	(22, 0.15591700746036652)	(24, 0.1648079221606345)	(26, 0.17322465474355492)	(28, 0.18227856954666116)	(30, 0.19146584807027142)	(32, 0.20016412628536695)	(34, 0.2093365866178101)	(36, 0.21716059155404593)	(38, 0.22416959597609054)	(40, 0.23107487305996538)	(42, 0.23860251417285894)	(44, 0.24682661027060684)	(46, 0.2534058871488052)	(48, 0.25970361839482836)	(50, 0.26686080472854407)	(52, 0.29271854831515687)	(54, 0.3315125727906596)	(56, 0.3381511224335263)	(58, 0.34557503620825014)	(60, 0.3520209493659444)	(62, 0.35769631658294887)	(64, 0.3644978663286539)	(66, 0.3715957798977011)	(68, 0.3762635101153418)	(70, 0.38007178524528995)	(72, 0.3826056959348664)	(74, 0.38451724259542397)	(76, 0.38470987908059645)
IPF_SRR21498445 - polya	(1, 0.0377710107195318)	(2, 0.04434376140379679)	(3, 0.04963765109519574)	(4, 0.05457464934672509)	(5, 0.05900605139177252)	(6, 0.06302108009030544)	(7, 0.06780937357522246)	(8, 0.07185414322707782)	(9, 0.07762388817163624)	(10, 0.08590674367194301)	(12, 0.09915633837710161)	(14, 0.11612355224756846)	(16, 0.1318713870318142)	(18, 0.14451129219386225)	(20, 0.15710658592592658)	(22, 0.1695531748913786)	(24, 0.18025991808746636)	(26, 0.19019339649717)	(28, 0.2001120044302124)	(30, 0.21034289237314072)	(32, 0.21974103362303998)	(34, 0.22968938250940482)	(36, 0.23826964754293628)	(38, 0.24595768397679374)	(40, 0.25363084993398993)	(42, 0.26213676258421525)	(44, 0.2711780123942449)	(46, 0.27904449454803715)	(48, 0.28633102811204136)	(50, 0.2945841426590256)	(52, 0.3201316215630239)	(54, 0.36481740393002904)	(56, 0.37216341940067815)	(58, 0.3798068444045519)	(60, 0.3872420827351684)	(62, 0.39379996294277214)	(64, 0.4010270146001314)	(66, 0.40816484339752324)	(68, 0.41286391402247286)	(70, 0.4165964036644424)	(72, 0.4198679085299136)	(74, 0.4216374952526003)	(76, 0.42178620001921263)
IPF_SRR21498583 - polya	(1, 0.03491565663850673)	(2, 0.0420059958442328)	(3, 0.04619684925792656)	(4, 0.05029024096432512)	(5, 0.054919672060847295)	(6, 0.05893996748677444)	(7, 0.0627653394981112)	(8, 0.06741913602145717)	(9, 0.07253587565445536)	(10, 0.08008915796983365)	(12, 0.09068811863818706)	(14, 0.10480788348257969)	(16, 0.1178068386930775)	(18, 0.13037939893415879)	(20, 0.14077125347450986)	(22, 0.15200371524028208)	(24, 0.16178643411003818)	(26, 0.17008286194354238)	(28, 0.17798944294786578)	(30, 0.18763815197009096)	(32, 0.19667772532172112)	(34, 0.20566856781970363)	(36, 0.21392844751297216)	(38, 0.22098223857846253)	(40, 0.22797511607689339)	(42, 0.23567459095321447)	(44, 0.24333751768929987)	(46, 0.25003801006584514)	(48, 0.25643393460709285)	(50, 0.263767928081057)	(52, 0.2929577094159705)	(54, 0.36410475574146917)	(56, 0.3708174308314264)	(58, 0.3772620862263217)	(60, 0.383097605950622)	(62, 0.38833617271773924)	(64, 0.3944884429907489)	(66, 0.4005432515564635)	(68, 0.4046244605494501)	(70, 0.40797470673772274)	(72, 0.41082546167610745)	(74, 0.4125675896940092)	(76, 0.4127990612488353)
IPF_SRR21498648 - polya	(1, 0.0381763732391917)	(2, 0.045025112937322795)	(3, 0.04919856369087143)	(4, 0.05347902600220337)	(5, 0.05792000565021025)	(6, 0.06321707776048352)	(7, 0.06714975250901974)	(8, 0.07223280150372641)	(9, 0.07782415539790374)	(10, 0.0862513155733385)	(12, 0.09807609270839297)	(14, 0.11270992323525902)	(16, 0.1284539986741268)	(18, 0.1418170669523162)	(20, 0.15285263384871883)	(22, 0.16586791456411248)	(24, 0.1766359525660569)	(26, 0.1850229834073229)	(28, 0.1935839080299868)	(30, 0.20334871267771276)	(32, 0.2129529999887638)	(34, 0.22250378152092315)	(36, 0.2305697776888393)	(38, 0.2384351271859117)	(40, 0.24651449979855072)	(42, 0.2552626946473354)	(44, 0.2641179010539033)	(46, 0.2721170149982049)	(48, 0.27907276625411925)	(50, 0.2866037046331189)	(52, 0.30939716644096144)	(54, 0.34583460186617454)	(56, 0.3536464455843553)	(58, 0.36115063107390916)	(60, 0.3685745578951255)	(62, 0.3755971913746544)	(64, 0.38260644840946045)	(66, 0.3903514099040267)	(68, 0.39532744734095004)	(70, 0.39972829765478823)	(72, 0.4030724088355163)	(74, 0.4048113466494949)	(76, 0.40506549909923023)
