Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
IPF_SRR21498155	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0006471009595663186)	(18, 0.012885749542668431)	(20, 0.017091905779849502)	(22, 0.006386605122676275)	(24, 0.001814696169218589)	(26, 0.0007455728447177148)	(28, 0.007427593622848179)	(30, 0.005275279561681945)	(32, 0.003854470933068941)	(34, 4.220223649345556e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 4.220223649345556e-05)	(48, 0.001885033230041015)	(50, 8.441003016251744e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00031123120234272214)	(68, 0.00018421120125966455)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.4339594286990918e-05)	(78, 0.0)	(80, 0.00031931464626613773)	(82, 0.0006865300754219019)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498185	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0007432050275930612)	(18, 0.012231391216828178)	(20, 0.016753604859301212)	(22, 0.006021220393042089)	(24, 0.0019146976982058527)	(26, 0.0008187851998906606)	(28, 0.007595807315908745)	(30, 0.006046413783807956)	(32, 0.0037790086148799724)	(34, 2.5193390765866484e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 2.5193390765866484e-05)	(48, 0.0012848629290591906)	(50, 3.7792890174742986e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00030432788489203526)	(68, 0.0001778595592970431)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.2874919258162601e-05)	(78, 0.0)	(80, 0.00013044369248003853)	(82, 0.000893232215943617)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498200	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0015236302868447322)	(18, 0.007282952771117819)	(20, 0.005241288186745879)	(22, 0.0)	(24, 0.0)	(26, 4.570890860534197e-05)	(28, 0.0027425345163205185)	(30, 0.0022397365216617563)	(32, 0.001508393983976285)	(34, 0.0014779213782393904)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 1.526968166531148e-05)	(58, 0.48685356287941817)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0004464177133622674)	(68, 0.0)	(70, 0.0003871734095497096)	(72, 0.0)	(74, 0.0)	(76, 6.288467736230221e-05)	(78, 0.0)	(80, 0.0)	(82, 1.6130281054017085e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498230	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0014475570018730591)	(18, 0.007436990101366176)	(20, 0.005232453749889773)	(22, 0.0)	(24, 0.0)	(26, 5.312135786690125e-05)	(28, 0.0025232644986778094)	(30, 0.0020982936357425994)	(32, 0.0011819502125385527)	(34, 0.0012881929282723553)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.48949690351734204)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0004025876725239147)	(68, 0.0)	(70, 0.0004050086611102179)	(72, 0.0)	(74, 0.0)	(76, 5.4803469278819224e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498285	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0006178498780884634)	(18, 0.01308324215531185)	(20, 0.017462388659658153)	(22, 0.006731311829700629)	(24, 0.0020378206505373884)	(26, 0.0008237998374512847)	(28, 0.00798869052896838)	(30, 0.005571488374341583)	(32, 0.0035553466668950184)	(34, 5.4197357727058204e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 3.251841463623492e-05)	(48, 0.0014091313009035134)	(50, 1.0840412755219902e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 9.827120209374439e-05)	(68, 0.0001750634577680744)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.00016881614638655792)	(82, 0.0005895787199270918)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498410	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0017817519053881046)	(18, 0.007677467559802403)	(20, 0.005562542533894571)	(22, 0.0)	(24, 0.0)	(26, 5.794315139473512e-05)	(28, 0.0026508991763091313)	(30, 0.002172868177302567)	(32, 0.00130372090638154)	(34, 0.0013326924820789075)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 2.9027015879083898e-05)	(58, 0.49595694065904183)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0005699856933590967)	(68, 0.0)	(70, 0.0005142650513258562)	(72, 0.0)	(74, 0.0)	(76, 5.956296863026912e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498439	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0018078193223878272)	(18, 0.007927732274405635)	(20, 0.005897640084511107)	(22, 0.0)	(24, 0.0)	(26, 2.9636382334226672e-05)	(28, 0.0024598197337408136)	(30, 0.001896728469390507)	(32, 0.0011113643375335002)	(34, 0.0009780006170294802)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.49514007987578246)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0004786297786696246)	(68, 0.0)	(70, 0.0004360765858752087)	(72, 0.0)	(74, 0.0)	(76, 9.143428389430806e-05)	(78, 0.0)	(80, 0.0)	(82, 4.677522260328437e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498445	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0016060114794131633)	(18, 0.007598813573890061)	(20, 0.005621040177946072)	(22, 0.0)	(24, 0.0)	(26, 5.948190664493198e-05)	(28, 0.002423887695780978)	(30, 0.0020818667325726192)	(32, 0.0015019181427845326)	(34, 0.0013829543294946686)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.4938115875970227)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0006299688795373509)	(68, 0.0)	(70, 0.0004975384661311243)	(72, 0.0)	(74, 0.0)	(76, 4.583182470243688e-05)	(78, 0.0)	(80, 0.0)	(82, 1.5631843816620964e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498583	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0007675109449497294)	(18, 0.013266974905559606)	(20, 0.017920771428905583)	(22, 0.006663944236309555)	(24, 0.0018761378654326714)	(26, 0.0008284245120092315)	(28, 0.007821302010440097)	(30, 0.005872067864536024)	(32, 0.003606083169922538)	(34, 7.309628047140278e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 1.2182713411900464e-05)	(48, 0.0016324835971946623)	(50, 7.311438904580727e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0002353549456063753)	(68, 0.00013678840959473697)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.00019502803332951079)	(82, 0.0007622412995741043)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498648	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0020332195978826693)	(18, 0.008975594409074153)	(20, 0.006273552575045868)	(22, 0.0)	(24, 0.0)	(26, 4.012933416873689e-05)	(28, 0.00197971381899102)	(30, 0.0015784204773036513)	(32, 0.0010032333542184222)	(34, 0.0010166097989413347)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.48964646468034456)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0004997591701080263)	(68, 0.0)	(70, 0.00044833131086097547)	(72, 0.0)	(74, 0.0)	(76, 4.1346888681082485e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)
