Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
IPF_SRR21498155	(1, 36.967330967382175)	(2, 36.950456262446146)	(3, 36.96121164309062)	(4, 36.96199435390346)	(5, 36.969171828938016)	(6, 36.985904171662945)	(7, 36.98637092839856)	(8, 36.99137470690547)	(9, 36.982350743350196)	(10, 36.98265516214943)	(12, 36.98005620775204)	(14, 36.95595422914239)	(16, 36.95330646082479)	(18, 36.94801261227905)	(20, 36.90866395034316)	(22, 36.924733999303385)	(24, 36.9309005900998)	(26, 36.912778246378906)	(28, 36.9010835846242)	(30, 36.909581145616286)	(32, 36.91673892627382)	(34, 36.910810074742976)	(36, 36.90796634737393)	(38, 36.912618018554355)	(40, 36.904795271323806)	(42, 36.88893960972497)	(44, 36.88010457151506)	(46, 36.87617568397165)	(48, 36.86638968869943)	(50, 36.86095216428504)	(52, 36.864029399196724)	(54, 36.85473612451683)	(56, 36.85387281822882)	(58, 36.84276589043372)	(60, 36.82970410250717)	(62, 36.82241638284654)	(64, 36.746322871909314)	(66, 36.7701627989949)	(68, 36.77139258353492)	(70, 36.7598900343791)	(72, 36.735881828323315)	(74, 36.7246385219172)	(76, 36.71071182397364)	(78, 36.697690677730336)	(80, 36.667247014134)	(82, 36.64766178883154)	(84, 36.63746640116828)	(86, 36.60840782103199)	(88, 36.60569081314464)
IPF_SRR21498185	(1, 36.98956263013961)	(2, 36.97934444277888)	(3, 36.98101526845447)	(4, 36.98521551056296)	(5, 36.99371802801253)	(6, 37.009674513988)	(7, 37.01224197244095)	(8, 37.0147371258624)	(9, 37.0088980536846)	(10, 37.00948493372249)	(12, 37.00789107385569)	(14, 36.98037850550287)	(16, 36.979235481363816)	(18, 36.97328908534135)	(20, 36.93749116656737)	(22, 36.954069047526076)	(24, 36.96109535824372)	(26, 36.94357587430514)	(28, 36.93482620969215)	(30, 36.94018673341236)	(32, 36.946384685441615)	(34, 36.94131615312039)	(36, 36.94049497454837)	(38, 36.944928381488396)	(40, 36.9355908291019)	(42, 36.920336608894026)	(44, 36.91521139144356)	(46, 36.90889616418029)	(48, 36.89725656571255)	(50, 36.89401110924625)	(52, 36.89666162099332)	(54, 36.88703393561573)	(56, 36.88589797720168)	(58, 36.87570039007585)	(60, 36.86474110236581)	(62, 36.8553722392694)	(64, 36.77849898275842)	(66, 36.80033931685375)	(68, 36.80261819096121)	(70, 36.79018547501191)	(72, 36.7696433010845)	(74, 36.757638750895424)	(76, 36.74673382049649)	(78, 36.73419704673933)	(80, 36.70014946366791)	(82, 36.68116828046692)	(84, 36.67321309643902)	(86, 36.6429789987024)	(88, 36.64318847740196)
IPF_SRR21498200	(1, 36.90532831794873)	(2, 36.8649688752805)	(3, 36.92714518002606)	(4, 36.965648536278856)	(5, 36.983424426109416)	(6, 36.9916697037697)	(7, 36.996179344692706)	(8, 37.00195542711014)	(9, 36.99417881812608)	(10, 36.955907815492026)	(12, 36.98351614865268)	(14, 36.98663928601466)	(16, 36.973663593402804)	(18, 36.973666335937324)	(20, 36.981570168050325)	(22, 36.909558220351066)	(24, 36.94081747640506)	(26, 36.94673997969306)	(28, 36.94887351918372)	(30, 36.938532488063885)	(32, 36.92654700277544)	(34, 36.89647541653005)	(36, 36.862613647583096)	(38, 36.90526386838759)	(40, 36.92929944088863)	(42, 36.889559353932)	(44, 36.90543603861001)	(46, 36.90579500590559)	(48, 36.856190784108904)	(50, 36.88685365601908)	(52, 36.88915720481161)	(54, 36.877746204885625)	(56, 36.88121518380147)	(58, 36.67666783468816)	(60, 36.75900722193209)	(62, 36.806227200647044)	(64, 36.81273837097862)	(66, 36.80631205302899)	(68, 36.706578638310596)	(70, 36.73294906381321)	(72, 36.740982912845524)	(74, 36.74459187348026)	(76, 36.729938418451695)	(78, 36.70375294867233)	(80, 36.68524860613612)	(82, 36.65082228752541)	(84, 36.58287625233148)	(86, 36.540086965995776)	(88, 36.578795777888715)
IPF_SRR21498230	(1, 36.90066810731789)	(2, 36.865832448862726)	(3, 36.91173009888009)	(4, 36.94720347923646)	(5, 36.97820722854189)	(6, 36.983817640753)	(7, 36.987189253336815)	(8, 36.993078552676735)	(9, 36.9857852558484)	(10, 36.943498662935426)	(12, 36.97398421339487)	(14, 36.97458382072179)	(16, 36.96540604372313)	(18, 36.96182964830474)	(20, 36.972143691148176)	(22, 36.89756329675397)	(24, 36.92656888618324)	(26, 36.936072297105625)	(28, 36.937248005558615)	(30, 36.92670461125259)	(32, 36.91555550066349)	(34, 36.88622945664288)	(36, 36.85450046799916)	(38, 36.89742690766764)	(40, 36.921983583375564)	(42, 36.88472094288285)	(44, 36.8958367198199)	(46, 36.8980581222025)	(48, 36.84805113674393)	(50, 36.879494291222144)	(52, 36.881103386362994)	(54, 36.873027706120425)	(56, 36.87524163055224)	(58, 36.67484964230198)	(60, 36.75620726544091)	(62, 36.80633196472057)	(64, 36.82377301738428)	(66, 36.82176055943235)	(68, 36.721223948609605)	(70, 36.746874426195404)	(72, 36.75531704120823)	(74, 36.7599383251476)	(76, 36.74515939632723)	(78, 36.72177382502604)	(80, 36.70254578191144)	(82, 36.66662794873075)	(84, 36.601848952035866)	(86, 36.561448432598596)	(88, 36.5994511136017)
IPF_SRR21498285	(1, 37.062053589913745)	(2, 37.05628308884182)	(3, 37.05457066912708)	(4, 37.05358709547905)	(5, 37.06627599765954)	(6, 37.07916889869452)	(7, 37.079583833665275)	(8, 37.08274418998906)	(9, 37.0753083125089)	(10, 37.0781615866038)	(12, 37.073627435656356)	(14, 37.05131470866427)	(16, 37.04816172318114)	(18, 37.04010116695583)	(20, 37.00345638229169)	(22, 37.019424549798806)	(24, 37.024371467822704)	(26, 37.0066639987114)	(28, 36.99622645477089)	(30, 37.0019814553985)	(32, 37.00897443207131)	(34, 37.002744012221726)	(36, 37.00042133025897)	(38, 37.00659885348742)	(40, 36.997284278799015)	(42, 36.98221188522041)	(44, 36.974578187384544)	(46, 36.967557895243445)	(48, 36.95414036378567)	(50, 36.95413724695018)	(52, 36.953721531048686)	(54, 36.942538446448154)	(56, 36.94028971238837)	(58, 36.93033912400428)	(60, 36.919006128904314)	(62, 36.907932517091936)	(64, 36.8315558721381)	(66, 36.85362663703089)	(68, 36.854258338398054)	(70, 36.84187980216171)	(72, 36.8206644388147)	(74, 36.80988095950313)	(76, 36.79607793676484)	(78, 36.78450962759716)	(80, 36.748762411066295)	(82, 36.728846190183276)	(84, 36.72243601645283)	(86, 36.69218141138904)	(88, 36.69107666195992)
IPF_SRR21498410	(1, 36.904590806913426)	(2, 36.87095625610757)	(3, 36.92282290921554)	(4, 36.9604995742627)	(5, 36.978694013516396)	(6, 36.995239390681405)	(7, 36.99813857626145)	(8, 37.01168104960542)	(9, 36.999227038360395)	(10, 36.959256403949524)	(12, 36.98958949884678)	(14, 36.99304160694901)	(16, 36.98086919941976)	(18, 36.98190884441365)	(20, 36.99125521959151)	(22, 36.91517281979477)	(24, 36.94467747248497)	(26, 36.954396711842044)	(28, 36.95789691275992)	(30, 36.947348796622144)	(32, 36.93692743112805)	(34, 36.90450374732846)	(36, 36.87951735672614)	(38, 36.92168867202699)	(40, 36.94303072812233)	(42, 36.90593870947275)	(44, 36.918219615552985)	(46, 36.91966500746452)	(48, 36.8722111599089)	(50, 36.90298547471116)	(52, 36.907663245866665)	(54, 36.897009258741235)	(56, 36.8970188572807)	(58, 36.6926012630383)	(60, 36.77982690472187)	(62, 36.83161645781246)	(64, 36.8508858231875)	(66, 36.8492988711657)	(68, 36.74615883239463)	(70, 36.7759591533579)	(72, 36.78794823247361)	(74, 36.793131565046494)	(76, 36.782066802811975)	(78, 36.75394323887222)	(80, 36.733903671491674)	(82, 36.70082660908048)	(84, 36.63598667239897)	(86, 36.59404204028989)	(88, 36.63000522048888)
IPF_SRR21498439	(1, 36.96740590670882)	(2, 36.937141233069106)	(3, 36.98675905710071)	(4, 37.02077036219512)	(5, 37.04187887551267)	(6, 37.05559933507813)	(7, 37.05631535007532)	(8, 37.068791970674205)	(9, 37.056996394141365)	(10, 37.01751450923188)	(12, 37.04945482392877)	(14, 37.054063577745566)	(16, 37.03927694932564)	(18, 37.0415530234889)	(20, 37.05414981961816)	(22, 36.978323801778835)	(24, 37.01202570304167)	(26, 37.02126617887157)	(28, 37.022304637708565)	(30, 37.01273905076445)	(32, 36.99700850356719)	(34, 36.96644064973619)	(36, 36.939078563382296)	(38, 36.982352719775264)	(40, 37.00933383043426)	(42, 36.969546098059084)	(44, 36.98452447387271)	(46, 36.983883142558994)	(48, 36.93851680575515)	(50, 36.971189230952234)	(52, 36.97442641839913)	(54, 36.964657214565236)	(56, 36.9657625763119)	(58, 36.76255425897016)	(60, 36.84939004203758)	(62, 36.90319082567561)	(64, 36.922243231141636)	(66, 36.92233205713596)	(68, 36.81900877257577)	(70, 36.85140280288011)	(72, 36.85971838880567)	(74, 36.86633117449753)	(76, 36.85477861262417)	(78, 36.83107701956482)	(80, 36.81564099723151)	(82, 36.7818216653187)	(84, 36.71718731103115)	(86, 36.67166939698027)	(88, 36.7164329277391)
IPF_SRR21498445	(1, 36.953427154144684)	(2, 36.914542939542294)	(3, 36.96409791078725)	(4, 36.9964426845731)	(5, 37.0229945154708)	(6, 37.03190609472434)	(7, 37.04066569770641)	(8, 37.04977178279468)	(9, 37.04303605168621)	(10, 37.00037607435476)	(12, 37.029620651166276)	(14, 37.03554802316344)	(16, 37.02483429084333)	(18, 37.02028704778509)	(20, 37.03059169329225)	(22, 36.958104959988006)	(24, 36.98710343041078)	(26, 36.99908264029477)	(28, 36.99965113861752)	(30, 36.99025359218669)	(32, 36.975603049875275)	(34, 36.94510444576693)	(36, 36.917889689019674)	(38, 36.96045196731946)	(40, 36.98379341101075)	(42, 36.950554475463264)	(44, 36.958281918660276)	(46, 36.961590599717404)	(48, 36.91024105934896)	(50, 36.940738423244284)	(52, 36.94343378187307)	(54, 36.93581271008009)	(56, 36.93543117588884)	(58, 36.73295876767176)	(60, 36.820219389325445)	(62, 36.87149665301219)	(64, 36.89196705978905)	(66, 36.88538843520897)	(68, 36.78699619658484)	(70, 36.81401640982314)	(72, 36.82364522004423)	(74, 36.82872591091608)	(76, 36.8173045444161)	(78, 36.79046468443728)	(80, 36.77482604739941)	(82, 36.74086417424229)	(84, 36.677003155666974)	(86, 36.637926109522425)	(88, 36.67607739887379)
IPF_SRR21498583	(1, 37.014322728849834)	(2, 37.00183569125691)	(3, 36.99831927285769)	(4, 37.014768372506445)	(5, 37.02116551531903)	(6, 37.03317596516329)	(7, 37.03228735804702)	(8, 37.03567585795541)	(9, 37.02762527727856)	(10, 37.029837901688424)	(12, 37.02768022131605)	(14, 37.000691856294665)	(16, 36.99500776769807)	(18, 36.98865570092511)	(20, 36.94951861226224)	(22, 36.96462785708995)	(24, 36.96979856614336)	(26, 36.9552693403012)	(28, 36.942584942751)	(30, 36.945284753870204)	(32, 36.95286958941332)	(34, 36.94449799423806)	(36, 36.94255424231319)	(38, 36.94568361590731)	(40, 36.93333265922319)	(42, 36.91846183009696)	(44, 36.91071874110662)	(46, 36.903357702008876)	(48, 36.890410401503246)	(50, 36.88698904073641)	(52, 36.886424920906435)	(54, 36.87539962129451)	(56, 36.87276578128899)	(58, 36.860242831895164)	(60, 36.846220684791284)	(62, 36.83581239139137)	(64, 36.7427864381001)	(66, 36.76912867766016)	(68, 36.76917291587749)	(70, 36.755742465518914)	(72, 36.73102655381912)	(74, 36.72001203664165)	(76, 36.70565790882792)	(78, 36.69280287552766)	(80, 36.656932326099025)	(82, 36.6368210543896)	(84, 36.623786512130096)	(86, 36.596212840251695)	(88, 36.59798251006197)
IPF_SRR21498648	(1, 37.02952368620573)	(2, 37.00140559681148)	(3, 37.04904526963435)	(4, 37.07809516216799)	(5, 37.106855320908934)	(6, 37.11463559621757)	(7, 37.11927561736305)	(8, 37.129225016947956)	(9, 37.11966861730901)	(10, 37.078820566765316)	(12, 37.10708512822927)	(14, 37.11143822463545)	(16, 37.09994504956508)	(18, 37.098697562330216)	(20, 37.10985137699797)	(22, 37.03350424862637)	(24, 37.065197192872816)	(26, 37.075978607319485)	(28, 37.07596001406132)	(30, 37.06773082526778)	(32, 37.05457308541609)	(34, 37.02117879116534)	(36, 36.99481716272766)	(38, 37.03737726443144)	(40, 37.06227323582084)	(42, 37.024580554822826)	(44, 37.03715039992895)	(46, 37.03760051729387)	(48, 36.98912762572922)	(50, 37.01966877812415)	(52, 37.02433072160346)	(54, 37.01336834442919)	(56, 37.01377660862599)	(58, 36.81274700327636)	(60, 36.89663226178938)	(62, 36.948656551222626)	(64, 36.96905421314313)	(66, 36.96858005820927)	(68, 36.86766160817592)	(70, 36.89393173006789)	(72, 36.90598606226841)	(74, 36.90989296205855)	(76, 36.897787148607634)	(78, 36.87243668730012)	(80, 36.85827539667977)	(82, 36.822710798624826)	(84, 36.761171747495666)	(86, 36.72019590362612)	(88, 36.762098145495045)
