Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
IPF_SRR21498155	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 0.5)	(4.0, 2.5)	(5.0, 6.5)	(6.0, 11.0)	(7.0, 12.5)	(8.0, 11.0)	(9.0, 15.0)	(10.0, 22.0)	(11.0, 23.5)	(12.0, 40.0)	(13.0, 74.0)	(14.0, 108.0)	(15.0, 155.0)	(16.0, 253.5)	(17.0, 324.5)	(18.0, 423.0)	(19.0, 657.5)	(20.0, 1059.5)	(21.0, 1603.5)	(22.0, 2371.0)	(23.0, 3487.0)	(24.0, 4949.0)	(25.0, 5805.0)	(26.0, 6706.5)	(27.0, 9039.0)	(28.0, 11888.0)	(29.0, 15441.5)	(30.0, 20205.5)	(31.0, 26465.0)	(32.0, 34455.5)	(33.0, 38939.5)	(34.0, 45013.5)	(35.0, 57423.5)	(36.0, 70943.0)	(37.0, 85029.5)	(38.0, 96873.5)	(39.0, 107729.0)	(40.0, 119322.5)	(41.0, 131152.5)	(42.0, 137608.0)	(43.0, 140892.0)	(44.0, 147321.5)	(45.0, 149675.5)	(46.0, 147011.5)	(47.0, 144579.5)	(48.0, 144864.5)	(49.0, 144799.0)	(50.0, 143662.5)	(51.0, 142729.5)	(52.0, 140360.0)	(53.0, 134303.0)	(54.0, 130343.0)	(55.0, 128539.0)	(56.0, 122304.0)	(57.0, 116579.0)	(58.0, 114475.5)	(59.0, 111031.5)	(60.0, 104377.5)	(61.0, 96160.5)	(62.0, 86611.5)	(63.0, 75653.5)	(64.0, 64366.0)	(65.0, 55146.5)	(66.0, 46331.0)	(67.0, 41490.0)	(68.0, 37211.0)	(69.0, 29407.0)	(70.0, 22457.5)	(71.0, 16764.5)	(72.0, 12638.0)	(73.0, 9592.0)	(74.0, 7284.0)	(75.0, 6269.5)	(76.0, 5674.5)	(77.0, 4365.5)	(78.0, 3295.5)	(79.0, 2562.5)	(80.0, 1788.5)	(81.0, 1224.0)	(82.0, 793.0)	(83.0, 574.0)	(84.0, 429.0)	(85.0, 214.0)	(86.0, 97.0)	(87.0, 34.5)	(88.0, 10.5)	(89.0, 6.0)	(90.0, 2.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498185	(0.0, 1.0)	(1.0, 0.5)	(2.0, 1.5)	(3.0, 2.0)	(4.0, 2.5)	(5.0, 3.5)	(6.0, 6.0)	(7.0, 10.5)	(8.0, 14.0)	(9.0, 26.0)	(10.0, 31.5)	(11.0, 35.0)	(12.0, 44.5)	(13.0, 66.5)	(14.0, 98.0)	(15.0, 151.0)	(16.0, 267.5)	(17.0, 345.5)	(18.0, 462.5)	(19.0, 742.0)	(20.0, 1197.0)	(21.0, 1802.5)	(22.0, 2650.0)	(23.0, 3834.5)	(24.0, 5365.5)	(25.0, 6271.5)	(26.0, 7380.5)	(27.0, 9564.5)	(28.0, 12271.5)	(29.0, 15732.0)	(30.0, 19805.5)	(31.0, 25005.0)	(32.0, 31895.0)	(33.0, 35987.5)	(34.0, 41579.0)	(35.0, 53113.0)	(36.0, 65989.5)	(37.0, 80848.0)	(38.0, 94903.0)	(39.0, 107628.0)	(40.0, 122102.0)	(41.0, 137227.5)	(42.0, 144946.0)	(43.0, 151521.0)	(44.0, 162273.5)	(45.0, 164461.0)	(46.0, 161152.0)	(47.0, 160353.5)	(48.0, 162909.0)	(49.0, 165017.5)	(50.0, 164761.0)	(51.0, 164899.0)	(52.0, 163850.0)	(53.0, 157999.5)	(54.0, 153776.0)	(55.0, 150701.0)	(56.0, 142640.5)	(57.0, 135688.0)	(58.0, 133109.0)	(59.0, 129848.0)	(60.0, 122033.5)	(61.0, 112082.0)	(62.0, 102316.0)	(63.0, 91290.0)	(64.0, 77985.5)	(65.0, 67404.5)	(66.0, 58656.5)	(67.0, 53425.0)	(68.0, 48685.0)	(69.0, 38893.0)	(70.0, 30577.0)	(71.0, 23403.0)	(72.0, 16534.5)	(73.0, 12156.5)	(74.0, 9679.5)	(75.0, 8788.5)	(76.0, 7679.5)	(77.0, 5664.5)	(78.0, 4208.5)	(79.0, 2911.5)	(80.0, 1755.0)	(81.0, 1115.5)	(82.0, 662.5)	(83.0, 459.0)	(84.0, 316.0)	(85.0, 137.5)	(86.0, 64.0)	(87.0, 30.0)	(88.0, 12.5)	(89.0, 5.5)	(90.0, 1.5)	(91.0, 0.5)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498200	(0.0, 2.0)	(1.0, 1.5)	(2.0, 2.0)	(3.0, 3.5)	(4.0, 5.0)	(5.0, 10.0)	(6.0, 15.0)	(7.0, 22.5)	(8.0, 27.5)	(9.0, 29.5)	(10.0, 39.0)	(11.0, 56.0)	(12.0, 81.5)	(13.0, 116.5)	(14.0, 178.5)	(15.0, 271.5)	(16.0, 447.5)	(17.0, 579.0)	(18.0, 780.0)	(19.0, 1198.5)	(20.0, 1890.0)	(21.0, 2955.5)	(22.0, 4549.0)	(23.0, 6916.5)	(24.0, 10233.5)	(25.0, 12313.5)	(26.0, 15157.0)	(27.0, 21192.5)	(28.0, 28006.0)	(29.0, 35727.0)	(30.0, 44297.5)	(31.0, 53048.0)	(32.0, 62066.0)	(33.0, 66948.0)	(34.0, 71417.0)	(35.0, 79599.5)	(36.0, 86738.5)	(37.0, 93890.0)	(38.0, 99962.5)	(39.0, 104822.0)	(40.0, 110150.5)	(41.0, 115385.0)	(42.0, 117994.0)	(43.0, 120300.5)	(44.0, 124030.5)	(45.0, 124994.0)	(46.0, 121935.5)	(47.0, 119618.5)	(48.0, 119999.5)	(49.0, 118838.0)	(50.0, 117558.5)	(51.0, 116629.5)	(52.0, 114562.0)	(53.0, 109698.0)	(54.0, 106060.5)	(55.0, 104911.0)	(56.0, 101455.5)	(57.0, 96949.0)	(58.0, 94571.5)	(59.0, 92414.0)	(60.0, 88644.0)	(61.0, 81843.0)	(62.0, 71986.0)	(63.0, 61861.0)	(64.0, 52623.0)	(65.0, 45697.0)	(66.0, 39135.0)	(67.0, 35311.0)	(68.0, 31965.5)	(69.0, 25626.5)	(70.0, 19908.5)	(71.0, 15255.0)	(72.0, 11424.0)	(73.0, 8658.0)	(74.0, 6774.5)	(75.0, 5905.0)	(76.0, 5304.5)	(77.0, 4110.0)	(78.0, 3030.5)	(79.0, 2200.5)	(80.0, 1494.5)	(81.0, 946.0)	(82.0, 570.5)	(83.0, 434.0)	(84.0, 304.5)	(85.0, 122.5)	(86.0, 49.5)	(87.0, 25.5)	(88.0, 9.5)	(89.0, 4.0)	(90.0, 4.5)	(91.0, 3.5)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498230	(0.0, 1.0)	(1.0, 1.5)	(2.0, 3.0)	(3.0, 4.0)	(4.0, 6.5)	(5.0, 11.5)	(6.0, 13.5)	(7.0, 20.0)	(8.0, 28.5)	(9.0, 30.5)	(10.0, 35.5)	(11.0, 43.5)	(12.0, 70.0)	(13.0, 130.5)	(14.0, 191.0)	(15.0, 270.0)	(16.0, 423.0)	(17.0, 526.5)	(18.0, 716.5)	(19.0, 1185.5)	(20.0, 1992.0)	(21.0, 3047.0)	(22.0, 4897.5)	(23.0, 7682.5)	(24.0, 11232.0)	(25.0, 13466.5)	(26.0, 16581.0)	(27.0, 23063.0)	(28.0, 30251.0)	(29.0, 37964.5)	(30.0, 46239.0)	(31.0, 54611.5)	(32.0, 62938.0)	(33.0, 67432.5)	(34.0, 71860.0)	(35.0, 80118.0)	(36.0, 87970.0)	(37.0, 95362.0)	(38.0, 101631.0)	(39.0, 107001.0)	(40.0, 113432.5)	(41.0, 121784.5)	(42.0, 126495.0)	(43.0, 128759.0)	(44.0, 133646.5)	(45.0, 135270.5)	(46.0, 133180.0)	(47.0, 132754.0)	(48.0, 134988.0)	(49.0, 135959.5)	(50.0, 135227.0)	(51.0, 135762.0)	(52.0, 136152.5)	(53.0, 133338.5)	(54.0, 131467.5)	(55.0, 130593.0)	(56.0, 126686.5)	(57.0, 122316.0)	(58.0, 120159.0)	(59.0, 117789.5)	(60.0, 112500.0)	(61.0, 104672.0)	(62.0, 95548.5)	(63.0, 84276.0)	(64.0, 71678.5)	(65.0, 61982.0)	(66.0, 53092.5)	(67.0, 48014.5)	(68.0, 43490.0)	(69.0, 34315.5)	(70.0, 26096.0)	(71.0, 19637.0)	(72.0, 14386.0)	(73.0, 10666.0)	(74.0, 8183.0)	(75.0, 7198.0)	(76.0, 6303.0)	(77.0, 4644.0)	(78.0, 3418.0)	(79.0, 2516.5)	(80.0, 1693.0)	(81.0, 1130.5)	(82.0, 693.5)	(83.0, 483.0)	(84.0, 350.5)	(85.0, 183.0)	(86.0, 104.5)	(87.0, 47.5)	(88.0, 18.0)	(89.0, 9.0)	(90.0, 5.0)	(91.0, 1.5)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498285	(0.0, 0.0)	(1.0, 0.5)	(2.0, 2.0)	(3.0, 3.0)	(4.0, 5.0)	(5.0, 8.0)	(6.0, 8.0)	(7.0, 11.0)	(8.0, 16.5)	(9.0, 22.5)	(10.0, 33.0)	(11.0, 42.0)	(12.0, 49.0)	(13.0, 75.5)	(14.0, 126.5)	(15.0, 194.0)	(16.0, 348.0)	(17.0, 466.0)	(18.0, 592.0)	(19.0, 907.0)	(20.0, 1417.0)	(21.0, 2107.0)	(22.0, 3184.5)	(23.0, 4685.0)	(24.0, 6688.0)	(25.0, 7909.5)	(26.0, 9210.5)	(27.0, 12333.0)	(28.0, 16308.5)	(29.0, 21373.0)	(30.0, 28202.0)	(31.0, 37113.5)	(32.0, 48763.5)	(33.0, 55618.0)	(34.0, 63959.0)	(35.0, 81792.0)	(36.0, 99944.0)	(37.0, 118744.5)	(38.0, 136048.5)	(39.0, 150311.5)	(40.0, 164674.0)	(41.0, 179289.0)	(42.0, 187028.5)	(43.0, 191134.0)	(44.0, 200209.5)	(45.0, 203158.5)	(46.0, 197258.0)	(47.0, 192272.0)	(48.0, 193324.0)	(49.0, 191454.5)	(50.0, 187110.0)	(51.0, 185153.0)	(52.0, 181048.5)	(53.0, 172415.0)	(54.0, 165655.0)	(55.0, 161038.0)	(56.0, 151611.0)	(57.0, 143188.5)	(58.0, 139717.5)	(59.0, 135173.5)	(60.0, 125682.5)	(61.0, 114664.0)	(62.0, 103393.5)	(63.0, 90150.5)	(64.0, 76154.5)	(65.0, 64937.5)	(66.0, 54352.0)	(67.0, 48511.5)	(68.0, 43623.5)	(69.0, 34549.5)	(70.0, 26593.0)	(71.0, 20162.5)	(72.0, 14997.0)	(73.0, 11080.5)	(74.0, 8197.0)	(75.0, 6904.5)	(76.0, 5932.5)	(77.0, 4169.5)	(78.0, 2768.5)	(79.0, 1760.0)	(80.0, 990.0)	(81.0, 516.5)	(82.0, 265.0)	(83.0, 161.5)	(84.0, 97.0)	(85.0, 41.0)	(86.0, 19.5)	(87.0, 9.0)	(88.0, 3.5)	(89.0, 0.5)	(90.0, 1.0)	(91.0, 1.0)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498410	(0.0, 1.0)	(1.0, 2.0)	(2.0, 3.5)	(3.0, 3.5)	(4.0, 4.0)	(5.0, 8.5)	(6.0, 15.0)	(7.0, 21.5)	(8.0, 24.5)	(9.0, 33.0)	(10.0, 49.5)	(11.0, 62.5)	(12.0, 73.5)	(13.0, 105.5)	(14.0, 164.0)	(15.0, 225.0)	(16.0, 339.5)	(17.0, 439.0)	(18.0, 597.0)	(19.0, 956.0)	(20.0, 1584.0)	(21.0, 2450.0)	(22.0, 3817.0)	(23.0, 5934.0)	(24.0, 8853.5)	(25.0, 10719.5)	(26.0, 13267.5)	(27.0, 18568.5)	(28.0, 24649.5)	(29.0, 31888.0)	(30.0, 40108.0)	(31.0, 48588.5)	(32.0, 57540.5)	(33.0, 62420.0)	(34.0, 66697.5)	(35.0, 75415.5)	(36.0, 83795.0)	(37.0, 91705.5)	(38.0, 98075.5)	(39.0, 103079.0)	(40.0, 110344.5)	(41.0, 119452.5)	(42.0, 124117.0)	(43.0, 126118.5)	(44.0, 131003.5)	(45.0, 133757.5)	(46.0, 131319.0)	(47.0, 127489.5)	(48.0, 128529.5)	(49.0, 129410.5)	(50.0, 127652.0)	(51.0, 126479.0)	(52.0, 124528.0)	(53.0, 120311.5)	(54.0, 117339.0)	(55.0, 114763.0)	(56.0, 109248.5)	(57.0, 105082.0)	(58.0, 103290.5)	(59.0, 100325.0)	(60.0, 94147.5)	(61.0, 87780.5)	(62.0, 81565.5)	(63.0, 73018.5)	(64.0, 63016.5)	(65.0, 54239.5)	(66.0, 45893.0)	(67.0, 41403.5)	(68.0, 37010.0)	(69.0, 29508.5)	(70.0, 22898.5)	(71.0, 17268.5)	(72.0, 13117.0)	(73.0, 9998.0)	(74.0, 7610.5)	(75.0, 6438.5)	(76.0, 5761.0)	(77.0, 4409.5)	(78.0, 3223.0)	(79.0, 2381.0)	(80.0, 1651.0)	(81.0, 1073.0)	(82.0, 660.5)	(83.0, 487.5)	(84.0, 351.5)	(85.0, 167.0)	(86.0, 66.0)	(87.0, 20.5)	(88.0, 9.5)	(89.0, 7.0)	(90.0, 5.0)	(91.0, 1.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498439	(0.0, 0.0)	(1.0, 1.5)	(2.0, 3.0)	(3.0, 3.5)	(4.0, 7.0)	(5.0, 14.0)	(6.0, 18.0)	(7.0, 21.5)	(8.0, 24.5)	(9.0, 29.5)	(10.0, 40.0)	(11.0, 51.5)	(12.0, 72.5)	(13.0, 97.5)	(14.0, 136.0)	(15.0, 214.0)	(16.0, 359.5)	(17.0, 466.5)	(18.0, 631.5)	(19.0, 1008.0)	(20.0, 1703.5)	(21.0, 2690.0)	(22.0, 4210.5)	(23.0, 6538.5)	(24.0, 9686.5)	(25.0, 11631.5)	(26.0, 14287.0)	(27.0, 19957.0)	(28.0, 26129.0)	(29.0, 32923.0)	(30.0, 40456.5)	(31.0, 47768.0)	(32.0, 54921.0)	(33.0, 58674.0)	(34.0, 62796.0)	(35.0, 69946.5)	(36.0, 75857.5)	(37.0, 81873.5)	(38.0, 87974.5)	(39.0, 93202.5)	(40.0, 98174.5)	(41.0, 104641.5)	(42.0, 108513.5)	(43.0, 110579.0)	(44.0, 114264.0)	(45.0, 116347.0)	(46.0, 116342.0)	(47.0, 116612.0)	(48.0, 117942.5)	(49.0, 119228.5)	(50.0, 119905.0)	(51.0, 119643.0)	(52.0, 119272.0)	(53.0, 116397.0)	(54.0, 116844.0)	(55.0, 121983.5)	(56.0, 122546.0)	(57.0, 120301.0)	(58.0, 119229.5)	(59.0, 118666.0)	(60.0, 117664.5)	(61.0, 109086.0)	(62.0, 94104.5)	(63.0, 78559.5)	(64.0, 64175.5)	(65.0, 55377.5)	(66.0, 46570.5)	(67.0, 40423.5)	(68.0, 36744.0)	(69.0, 28649.5)	(70.0, 21186.0)	(71.0, 15466.5)	(72.0, 10901.0)	(73.0, 8022.5)	(74.0, 5972.0)	(75.0, 5089.5)	(76.0, 4449.5)	(77.0, 3382.0)	(78.0, 2587.5)	(79.0, 1908.0)	(80.0, 1274.5)	(81.0, 816.5)	(82.0, 493.5)	(83.0, 349.5)	(84.0, 247.5)	(85.0, 119.5)	(86.0, 61.0)	(87.0, 27.0)	(88.0, 14.5)	(89.0, 7.5)	(90.0, 4.0)	(91.0, 3.5)	(92.0, 1.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.5)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498445	(0.0, 0.0)	(1.0, 1.0)	(2.0, 1.5)	(3.0, 4.0)	(4.0, 6.0)	(5.0, 5.5)	(6.0, 15.5)	(7.0, 25.5)	(8.0, 28.5)	(9.0, 38.5)	(10.0, 44.0)	(11.0, 45.0)	(12.0, 61.0)	(13.0, 101.5)	(14.0, 178.5)	(15.0, 269.0)	(16.0, 393.5)	(17.0, 475.5)	(18.0, 635.0)	(19.0, 1024.0)	(20.0, 1692.0)	(21.0, 2671.0)	(22.0, 4236.5)	(23.0, 6653.0)	(24.0, 10016.5)	(25.0, 12107.5)	(26.0, 14702.0)	(27.0, 20456.5)	(28.0, 27378.0)	(29.0, 34700.0)	(30.0, 42587.0)	(31.0, 50939.0)	(32.0, 59505.0)	(33.0, 64170.5)	(34.0, 68474.5)	(35.0, 76428.5)	(36.0, 83994.0)	(37.0, 91126.0)	(38.0, 96934.0)	(39.0, 101933.5)	(40.0, 108249.0)	(41.0, 115430.5)	(42.0, 118976.0)	(43.0, 121456.5)	(44.0, 126065.0)	(45.0, 127197.0)	(46.0, 124443.5)	(47.0, 122351.0)	(48.0, 123543.5)	(49.0, 123856.0)	(50.0, 122510.5)	(51.0, 121368.5)	(52.0, 120008.0)	(53.0, 116691.5)	(54.0, 114058.5)	(55.0, 112504.0)	(56.0, 108091.0)	(57.0, 103774.0)	(58.0, 101791.0)	(59.0, 99096.0)	(60.0, 94178.5)	(61.0, 87252.0)	(62.0, 78206.5)	(63.0, 67994.5)	(64.0, 57920.0)	(65.0, 49684.5)	(66.0, 41499.5)	(67.0, 37033.5)	(68.0, 33381.5)	(69.0, 26393.5)	(70.0, 20405.0)	(71.0, 15349.5)	(72.0, 11238.5)	(73.0, 8472.0)	(74.0, 6445.5)	(75.0, 5570.0)	(76.0, 4928.5)	(77.0, 3691.5)	(78.0, 2656.0)	(79.0, 1874.0)	(80.0, 1193.0)	(81.0, 728.5)	(82.0, 433.5)	(83.0, 314.0)	(84.0, 222.0)	(85.0, 94.5)	(86.0, 37.0)	(87.0, 15.0)	(88.0, 5.0)	(89.0, 3.5)	(90.0, 2.0)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498583	(0.0, 1.0)	(1.0, 1.5)	(2.0, 2.0)	(3.0, 4.5)	(4.0, 10.0)	(5.0, 15.5)	(6.0, 17.0)	(7.0, 22.0)	(8.0, 30.5)	(9.0, 35.0)	(10.0, 38.0)	(11.0, 47.5)	(12.0, 79.0)	(13.0, 110.5)	(14.0, 156.5)	(15.0, 235.0)	(16.0, 414.0)	(17.0, 569.0)	(18.0, 734.5)	(19.0, 1175.5)	(20.0, 2013.0)	(21.0, 3087.0)	(22.0, 4817.5)	(23.0, 7661.0)	(24.0, 11427.5)	(25.0, 13759.0)	(26.0, 17087.0)	(27.0, 24264.5)	(28.0, 32387.0)	(29.0, 41210.0)	(30.0, 51052.5)	(31.0, 61481.0)	(32.0, 72049.0)	(33.0, 77677.5)	(34.0, 83737.0)	(35.0, 94553.0)	(36.0, 104064.5)	(37.0, 112926.5)	(38.0, 120332.5)	(39.0, 126550.5)	(40.0, 133788.5)	(41.0, 142611.5)	(42.0, 147628.5)	(43.0, 149967.0)	(44.0, 155221.5)	(45.0, 157191.0)	(46.0, 153146.5)	(47.0, 149949.5)	(48.0, 150579.0)	(49.0, 150341.5)	(50.0, 149163.5)	(51.0, 148554.0)	(52.0, 147602.0)	(53.0, 143951.0)	(54.0, 140463.5)	(55.0, 137126.5)	(56.0, 131485.5)	(57.0, 126420.0)	(58.0, 123633.0)	(59.0, 119982.5)	(60.0, 112928.5)	(61.0, 105073.5)	(62.0, 96325.0)	(63.0, 85180.0)	(64.0, 73119.0)	(65.0, 62733.0)	(66.0, 52990.0)	(67.0, 47829.5)	(68.0, 42869.0)	(69.0, 33749.0)	(70.0, 25995.0)	(71.0, 19748.0)	(72.0, 14834.5)	(73.0, 11280.5)	(74.0, 8479.5)	(75.0, 7160.0)	(76.0, 6284.5)	(77.0, 4661.5)	(78.0, 3389.0)	(79.0, 2507.5)	(80.0, 1676.5)	(81.0, 1031.0)	(82.0, 627.5)	(83.0, 468.5)	(84.0, 319.0)	(85.0, 135.5)	(86.0, 58.0)	(87.0, 26.5)	(88.0, 13.0)	(89.0, 8.0)	(90.0, 5.5)	(91.0, 2.5)	(92.0, 1.5)	(93.0, 1.5)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
IPF_SRR21498648	(0.0, 0.0)	(1.0, 1.5)	(2.0, 3.0)	(3.0, 8.5)	(4.0, 13.5)	(5.0, 13.0)	(6.0, 12.0)	(7.0, 21.0)	(8.0, 29.5)	(9.0, 39.5)	(10.0, 51.5)	(11.0, 62.0)	(12.0, 84.0)	(13.0, 129.0)	(14.0, 189.0)	(15.0, 290.5)	(16.0, 456.0)	(17.0, 547.5)	(18.0, 738.0)	(19.0, 1205.0)	(20.0, 2028.5)	(21.0, 3184.5)	(22.0, 5040.0)	(23.0, 7881.0)	(24.0, 11699.0)	(25.0, 14056.0)	(26.0, 17116.5)	(27.0, 24236.0)	(28.0, 32288.5)	(29.0, 40812.5)	(30.0, 50582.0)	(31.0, 60636.0)	(32.0, 70689.0)	(33.0, 76119.0)	(34.0, 81962.5)	(35.0, 91983.5)	(36.0, 100657.0)	(37.0, 108946.5)	(38.0, 115703.0)	(39.0, 121156.0)	(40.0, 127674.0)	(41.0, 134564.5)	(42.0, 137653.5)	(43.0, 140226.5)	(44.0, 144128.5)	(45.0, 144261.5)	(46.0, 141160.0)	(47.0, 138193.0)	(48.0, 137335.0)	(49.0, 135769.0)	(50.0, 134005.5)	(51.0, 133336.5)	(52.0, 131372.0)	(53.0, 126326.5)	(54.0, 121704.0)	(55.0, 118545.5)	(56.0, 113427.0)	(57.0, 107714.0)	(58.0, 104718.5)	(59.0, 102176.0)	(60.0, 96367.5)	(61.0, 88458.0)	(62.0, 79942.5)	(63.0, 70073.5)	(64.0, 59423.5)	(65.0, 51191.0)	(66.0, 43531.0)	(67.0, 39008.0)	(68.0, 35023.5)	(69.0, 27607.5)	(70.0, 21223.0)	(71.0, 16192.5)	(72.0, 12300.0)	(73.0, 9363.5)	(74.0, 7103.5)	(75.0, 6137.5)	(76.0, 5432.5)	(77.0, 4077.0)	(78.0, 3003.5)	(79.0, 2188.0)	(80.0, 1454.5)	(81.0, 926.0)	(82.0, 518.0)	(83.0, 348.5)	(84.0, 249.5)	(85.0, 114.0)	(86.0, 47.0)	(87.0, 22.5)	(88.0, 13.0)	(89.0, 4.5)	(90.0, 0.5)	(91.0, 1.0)	(92.0, 2.0)	(93.0, 1.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
