Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
IPF_SRR21498165	(14.0, 4.0)	(15.0, 1059.0)	(16.0, 4281.0)	(17.0, 3096.0)	(18.0, 2164.0)	(19.0, 1793.0)	(20.0, 1823.0)	(21.0, 2121.0)	(22.0, 2583.0)	(23.0, 3490.0)	(24.0, 4815.0)	(25.0, 6452.0)	(26.0, 9029.0)	(27.0, 11968.0)	(28.0, 15662.0)	(29.0, 20060.0)	(30.0, 25550.0)	(31.0, 32601.0)	(32.0, 41631.0)	(33.0, 54277.0)	(34.0, 74320.0)	(35.0, 108644.0)	(36.0, 197347.0)	(37.0, 1857507.0)	(38.0, 313693.0)
IPF_SRR21498185	(14.0, 7.0)	(15.0, 1206.0)	(16.0, 4410.0)	(17.0, 3353.0)	(18.0, 2250.0)	(19.0, 1867.0)	(20.0, 1955.0)	(21.0, 2377.0)	(22.0, 3143.0)	(23.0, 4363.0)	(24.0, 6264.0)	(25.0, 8841.0)	(26.0, 12405.0)	(27.0, 16515.0)	(28.0, 22056.0)	(29.0, 28534.0)	(30.0, 36817.0)	(31.0, 47166.0)	(32.0, 60089.0)	(33.0, 78470.0)	(34.0, 106784.0)	(35.0, 159732.0)	(36.0, 293249.0)	(37.0, 2671932.0)	(38.0, 395510.0)
IPF_SRR21498200	(14.0, 6.0)	(15.0, 1304.0)	(16.0, 4043.0)	(17.0, 2754.0)	(18.0, 1817.0)	(19.0, 1530.0)	(20.0, 1595.0)	(21.0, 2050.0)	(22.0, 2882.0)	(23.0, 3984.0)	(24.0, 5504.0)	(25.0, 7729.0)	(26.0, 10373.0)	(27.0, 13953.0)	(28.0, 17987.0)	(29.0, 23704.0)	(30.0, 30030.0)	(31.0, 39282.0)	(32.0, 48706.0)	(33.0, 63905.0)	(34.0, 88094.0)	(35.0, 133323.0)	(36.0, 266925.0)	(37.0, 2232584.0)	(38.0, 277572.0)
IPF_SRR21498205	(14.0, 6.0)	(15.0, 663.0)	(16.0, 2023.0)	(17.0, 1450.0)	(18.0, 1004.0)	(19.0, 948.0)	(20.0, 1031.0)	(21.0, 1418.0)	(22.0, 2100.0)	(23.0, 3188.0)	(24.0, 4680.0)	(25.0, 6822.0)	(26.0, 9342.0)	(27.0, 12833.0)	(28.0, 16809.0)	(29.0, 22200.0)	(30.0, 28509.0)	(31.0, 37481.0)	(32.0, 47884.0)	(33.0, 62989.0)	(34.0, 87626.0)	(35.0, 133872.0)	(36.0, 273381.0)	(37.0, 2330028.0)	(38.0, 292139.0)
IPF_SRR21498230	(14.0, 5.0)	(15.0, 887.0)	(16.0, 2913.0)	(17.0, 2092.0)	(18.0, 1410.0)	(19.0, 1342.0)	(20.0, 1520.0)	(21.0, 2012.0)	(22.0, 2826.0)	(23.0, 4158.0)	(24.0, 5801.0)	(25.0, 8510.0)	(26.0, 11706.0)	(27.0, 15789.0)	(28.0, 21236.0)	(29.0, 27118.0)	(30.0, 35339.0)	(31.0, 46136.0)	(32.0, 58048.0)	(33.0, 76915.0)	(34.0, 106772.0)	(35.0, 162084.0)	(36.0, 325750.0)	(37.0, 2563775.0)	(38.0, 280820.0)
IPF_SRR21498265	(14.0, 10.0)	(15.0, 1930.0)	(16.0, 7194.0)	(17.0, 5250.0)	(18.0, 3266.0)	(19.0, 2830.0)	(20.0, 2660.0)	(21.0, 3093.0)	(22.0, 3794.0)	(23.0, 4853.0)	(24.0, 6652.0)	(25.0, 8983.0)	(26.0, 11984.0)	(27.0, 15712.0)	(28.0, 20393.0)	(29.0, 26301.0)	(30.0, 32942.0)	(31.0, 42136.0)	(32.0, 53705.0)	(33.0, 69302.0)	(34.0, 93657.0)	(35.0, 138668.0)	(36.0, 253264.0)	(37.0, 2235896.0)	(38.0, 321110.0)
IPF_SRR21498280	(14.0, 18.0)	(15.0, 2189.0)	(16.0, 8394.0)	(17.0, 6683.0)	(18.0, 4282.0)	(19.0, 3568.0)	(20.0, 3533.0)	(21.0, 4124.0)	(22.0, 5165.0)	(23.0, 6793.0)	(24.0, 9650.0)	(25.0, 13526.0)	(26.0, 18155.0)	(27.0, 23926.0)	(28.0, 30864.0)	(29.0, 39929.0)	(30.0, 50350.0)	(31.0, 64582.0)	(32.0, 81350.0)	(33.0, 106873.0)	(34.0, 144756.0)	(35.0, 216644.0)	(36.0, 400947.0)	(37.0, 3606816.0)	(38.0, 475397.0)
IPF_SRR21498285	(14.0, 4.0)	(15.0, 1126.0)	(16.0, 4038.0)	(17.0, 2840.0)	(18.0, 1788.0)	(19.0, 1588.0)	(20.0, 1647.0)	(21.0, 2205.0)	(22.0, 3128.0)	(23.0, 4617.0)	(24.0, 6449.0)	(25.0, 9471.0)	(26.0, 13142.0)	(27.0, 17929.0)	(28.0, 23926.0)	(29.0, 31451.0)	(30.0, 40571.0)	(31.0, 51853.0)	(32.0, 67191.0)	(33.0, 87813.0)	(34.0, 120398.0)	(35.0, 180686.0)	(36.0, 338400.0)	(37.0, 3160588.0)	(38.0, 439922.0)
IPF_SRR21498295	(14.0, 4.0)	(15.0, 451.0)	(16.0, 1420.0)	(17.0, 1114.0)	(18.0, 727.0)	(19.0, 637.0)	(20.0, 719.0)	(21.0, 1080.0)	(22.0, 1559.0)	(23.0, 2354.0)	(24.0, 3451.0)	(25.0, 5094.0)	(26.0, 6997.0)	(27.0, 9761.0)	(28.0, 13203.0)	(29.0, 17086.0)	(30.0, 21958.0)	(31.0, 27940.0)	(32.0, 36294.0)	(33.0, 47923.0)	(34.0, 65665.0)	(35.0, 98285.0)	(36.0, 184008.0)	(37.0, 1712813.0)	(38.0, 236365.0)
IPF_SRR21498340	(14.0, 6.0)	(15.0, 753.0)	(16.0, 2104.0)	(17.0, 1498.0)	(18.0, 1024.0)	(19.0, 971.0)	(20.0, 1033.0)	(21.0, 1439.0)	(22.0, 2083.0)	(23.0, 3033.0)	(24.0, 4454.0)	(25.0, 6424.0)	(26.0, 8790.0)	(27.0, 11764.0)	(28.0, 15692.0)	(29.0, 20671.0)	(30.0, 26536.0)	(31.0, 34924.0)	(32.0, 44303.0)	(33.0, 58354.0)	(34.0, 80558.0)	(35.0, 122474.0)	(36.0, 247432.0)	(37.0, 2109605.0)	(38.0, 267488.0)
