Sample	Unique Reads	Duplicate Reads
IPF_SRR21498165	1909372.0	886598.0
IPF_SRR21498185	2402458.0	1566837.0
IPF_SRR21498200	2312179.0	969457.0
IPF_SRR21498205	1979772.0	1400654.0
IPF_SRR21498230	2424247.0	1340717.0
IPF_SRR21498265	2147793.0	1217792.0
IPF_SRR21498280	3241079.0	2087435.0
IPF_SRR21498285	2889262.0	1723509.0
IPF_SRR21498295	1729921.0	766987.0
IPF_SRR21498340	2139003.0	934410.0
IPF_SRR21498365	2126572.0	1364795.0
IPF_SRR21498375	2396588.0	1440062.0
IPF_SRR21498421	2201138.0	1071230.0
IPF_SRR21498538	2575788.0	1199565.0
IPF_SRR21498628	2382048.0	1040583.0
IPF_SRR21498633	2527681.0	1328511.0
IPF_SRR21498643	2276566.0	1376095.0
IPF_SRR21498668	2872901.0	1757191.0
IPF_SRR21498748	2419057.0	1186079.0
IPF_SRR21498828	2481210.0	1258099.0
NDC_SRR21498140	2332717.0	1457018.0
NDC_SRR21498150	2382717.0	1188815.0
NDC_SRR21498180	1561593.0	852641.0
NDC_SRR21498190	2176706.0	1100515.0
NDC_SRR21498195	2248696.0	925524.0
NDC_SRR21498225	2226632.0	1275222.0
NDC_SRR21498320	2214385.0	1125335.0
NDC_SRR21498385	2320805.0	1099413.0
NDC_SRR21498400	2370919.0	1179287.0
NDC_SRR21498523	2981514.0	2077630.0
NDC_SRR21498578	2294681.0	1373154.0
NDC_SRR21498623	2050509.0	1711355.0
NDC_SRR21498663	2108075.0	1450384.0
NDC_SRR21498728	1759526.0	1375676.0
