Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IPF_SRR21498155	(1.0, 55.72376793544893)	(2.0, 12.306423048488673)	(3.0, 5.275693757489195)	(4.0, 3.1526048591292275)	(5.0, 2.2026096674933378)	(6.0, 1.64356663664333)	(7.0, 1.3057131875974868)	(8.0, 1.0676386404969724)	(9.0, 0.9393308298848687)	('>10', 10.368409555065146)	('>50', 2.815138781705804)	('>100', 3.0313859325555486)	('>500', 0.167717168001518)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498185	(1.0, 49.92881468081896)	(2.0, 12.382777723010078)	(3.0, 5.337139932491178)	(4.0, 3.2075476667559415)	(5.0, 2.1373348169545494)	(6.0, 1.7141826539017742)	(7.0, 1.2660102068363377)	(8.0, 1.052579578521326)	(9.0, 0.9011018297196055)	('>10', 11.466298576079266)	('>50', 3.953224019481821)	('>100', 5.855823651126708)	('>500', 0.6762363838418327)	('>1k', 0.12092828046059959)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498200	(1.0, 60.62492504298845)	(2.0, 11.904259581225315)	(3.0, 4.963005268635867)	(4.0, 2.795189613450968)	(5.0, 2.0321337429043864)	(6.0, 1.4512338239554607)	(7.0, 1.1904744502215825)	(8.0, 0.9228830563898245)	(9.0, 0.7797985222960471)	('>10', 8.31949810433866)	('>50', 2.319028700370184)	('>100', 2.583574454102542)	('>500', 0.06151612555655472)	('>1k', 0.05247951356412781)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498230	(1.0, 54.02721190375354)	(2.0, 11.962390075472765)	(3.0, 5.313355583857303)	(4.0, 3.0926633149455176)	(5.0, 2.193707389328885)	(6.0, 1.6073177236339684)	(7.0, 1.3816493703680373)	(8.0, 1.141983671312002)	(9.0, 0.998525610797398)	('>10', 11.285066949145735)	('>50', 3.329605577771058)	('>100', 3.484760318439622)	('>500', 0.18176251117412837)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498285	(1.0, 51.89047515200912)	(2.0, 12.458744852334663)	(3.0, 5.479322503957876)	(4.0, 3.2965694573014126)	(5.0, 2.3332794434319846)	(6.0, 1.7499706470044354)	(7.0, 1.3878056670618022)	(8.0, 1.1106608847614716)	(9.0, 0.9267326523507677)	('>10', 10.857711527946323)	('>50', 3.1845603714287387)	('>100', 4.700490359327833)	('>500', 0.5935429933464905)	('>1k', 0.030133487737010918)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498410	(1.0, 54.136602373353305)	(2.0, 12.284877993158744)	(3.0, 5.435018192523492)	(4.0, 3.3469153009478143)	(5.0, 2.211114270408756)	(6.0, 1.6977009886898473)	(7.0, 1.275162483531101)	(8.0, 1.0882834582016916)	(9.0, 0.8961715979673771)	('>10', 10.360636225843516)	('>50', 3.160655955249456)	('>100', 3.7993718518242403)	('>500', 0.30748930830064247)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498439	(1.0, 55.27495499899834)	(2.0, 11.290007202821691)	(3.0, 4.649277798948878)	(4.0, 2.753874335137906)	(5.0, 1.914087815317534)	(6.0, 1.4614292802012434)	(7.0, 1.205563015976109)	(8.0, 1.0084140451351644)	(9.0, 0.8165043941728807)	('>10', 10.03925488519325)	('>50', 3.2562451631323803)	('>100', 5.069894629642293)	('>500', 0.7785473178366181)	('>1k', 0.4819451174857665)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498445	(1.0, 57.79814675868222)	(2.0, 12.020713454767654)	(3.0, 5.14169233000497)	(4.0, 3.0540941799974144)	(5.0, 2.1030238902262135)	(6.0, 1.5367037691181722)	(7.0, 1.2376375137344773)	(8.0, 0.991406642424243)	(9.0, 0.8552694896487008)	('>10', 9.35018318928116)	('>50', 2.8085001224458415)	('>100', 2.975820954981708)	('>500', 0.1268077046871907)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498583	(1.0, 53.41382088256067)	(2.0, 12.658267258160016)	(3.0, 5.702298863554988)	(4.0, 3.297616855425592)	(5.0, 2.332816863672211)	(6.0, 1.7432323484150272)	(7.0, 1.3065178744438464)	(8.0, 1.1909482071874784)	(9.0, 0.9634457923368237)	('>10', 11.281100474470213)	('>50', 2.840199294957179)	('>100', 3.0958970482356305)	('>500', 0.12205922394817577)	('>1k', 0.05177901263218386)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498648	(1.0, 55.91953952814631)	(2.0, 12.550025444345142)	(3.0, 5.624265699150147)	(4.0, 3.2324964834409236)	(5.0, 2.22740641205742)	(6.0, 1.6049280594995237)	(7.0, 1.2914076463213175)	(8.0, 1.0843250991088291)	(9.0, 0.9157142820248977)	('>10', 10.112187474468001)	('>50', 2.658133585165419)	('>100', 2.6758696136937905)	('>500', 0.10370067257833226)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498668	(1.0, 50.82703338178934)	(2.0, 12.924804321335648)	(3.0, 5.8794693183917)	(4.0, 3.4503670362758436)	(5.0, 2.390101789385095)	(6.0, 1.718129492765784)	(7.0, 1.4141373620326818)	(8.0, 1.1864638089715014)	(9.0, 0.9744384161489924)	('>10', 11.814974281167562)	('>50', 3.5090560139084714)	('>100', 3.771962471213809)	('>500', 0.1390623066135146)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498793	(1.0, 57.265636497891116)	(2.0, 12.666857570459078)	(3.0, 5.536508605421565)	(4.0, 3.1455842127400353)	(5.0, 2.1702754916070184)	(6.0, 1.5458909943194983)	(7.0, 1.2380172918066532)	(8.0, 1.0809625092767141)	(9.0, 0.8942015930010663)	('>10', 9.710444141849557)	('>50', 2.3822542041950046)	('>100', 2.2863892008046385)	('>500', 0.041882990545335744)	('>1k', 0.03509469608273127)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498140	(1.0, 50.65529608547781)	(2.0, 12.835687765148695)	(3.0, 5.583454588144273)	(4.0, 3.196856879004386)	(5.0, 2.195822434856909)	(6.0, 1.6097155115492965)	(7.0, 1.352218938787239)	(8.0, 1.062040921277427)	(9.0, 0.8645101230347155)	('>10', 11.313898459695158)	('>50', 3.9075197993994886)	('>100', 5.072832881388694)	('>500', 0.35014561223595286)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498150	(1.0, 56.33206931339344)	(2.0, 12.552861924542446)	(3.0, 5.200080947340015)	(4.0, 2.9823807548042787)	(5.0, 1.9505188349853837)	(6.0, 1.5041587161590806)	(7.0, 1.1604828347223366)	(8.0, 0.9807251837263029)	(9.0, 0.8211704878571212)	('>10', 10.148148687786408)	('>50', 3.284585573856172)	('>100', 3.0649329952041677)	('>500', 0.017883745622825964)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498190	(1.0, 55.79085318486933)	(2.0, 12.786841766647008)	(3.0, 5.327908006681572)	(4.0, 3.0802000011143265)	(5.0, 2.1382821667196863)	(6.0, 1.6235912706064086)	(7.0, 1.213498244587111)	(8.0, 1.0319327033932741)	(9.0, 0.845053843376336)	('>10', 9.839320983600212)	('>50', 3.1906223684575004)	('>100', 3.0732241433975434)	('>500', 0.02038217090553345)	('>1k', 0.03828914564412805)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498225	(1.0, 53.29409854308529)	(2.0, 12.163991607370567)	(3.0, 5.314994038573727)	(4.0, 2.9225235726230743)	(5.0, 2.1157887926696364)	(6.0, 1.502033550021408)	(7.0, 1.211223918999028)	(8.0, 0.9886359933376446)	(9.0, 0.8357524066013261)	('>10', 10.541449472369235)	('>50', 3.872962382794767)	('>100', 4.9611387056166825)	('>500', 0.181255912309152)	('>1k', 0.09415110362834746)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498260	(1.0, 55.84578101827397)	(2.0, 12.514595216962206)	(3.0, 5.306275770177259)	(4.0, 3.051923513232624)	(5.0, 2.104527863078153)	(6.0, 1.6359785879688942)	(7.0, 1.2913567845898097)	(8.0, 1.132792677266415)	(9.0, 0.960457851723724)	('>10', 11.279167807276368)	('>50', 2.8355522099518127)	('>100', 2.026743584228802)	('>500', 0.01484711526999738)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498370	(1.0, 56.82220317060115)	(2.0, 13.10872910427912)	(3.0, 5.519409445005218)	(4.0, 3.293287459353658)	(5.0, 2.202933487136329)	(6.0, 1.639745791359706)	(7.0, 1.3510347658753599)	(8.0, 1.0601308466201576)	(9.0, 0.8622062661803829)	('>10', 9.535764098742836)	('>50', 2.5097997904008476)	('>100', 2.0363387047149706)	('>500', 0.058417069730183784)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498400	(1.0, 56.1787726412951)	(2.0, 12.755136659170896)	(3.0, 5.362747217979707)	(4.0, 3.1251153396068188)	(5.0, 2.0778073446311978)	(6.0, 1.558997571838197)	(7.0, 1.2275671943097113)	(8.0, 1.029006143661253)	(9.0, 0.845938043944907)	('>10', 9.6662352082951)	('>50', 2.960481448354098)	('>100', 3.1557073123575083)	('>500', 0.056487874555468755)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498528	(1.0, 58.27048095904597)	(2.0, 11.934936535838988)	(3.0, 4.824867317621319)	(4.0, 2.8218835040546453)	(5.0, 1.920770241384881)	(6.0, 1.3754517544461717)	(7.0, 1.1920957744214484)	(8.0, 0.9366754387468361)	(9.0, 0.8174218318642507)	('>10', 10.232986889792564)	('>50', 3.151799745910034)	('>100', 2.469781142350634)	('>500', 0.0508488645223274)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498546	(1.0, 51.6062628014101)	(2.0, 12.015315116356847)	(3.0, 5.207505815812237)	(4.0, 3.0383918627358013)	(5.0, 2.0604338385920964)	(6.0, 1.413286354339575)	(7.0, 1.1643409347202431)	(8.0, 0.9995408463870669)	(9.0, 0.7830422069246479)	('>10', 10.188303398660375)	('>50', 3.814188640731083)	('>100', 6.7520499705423775)	('>500', 0.8298835482537363)	('>1k', 0.1274546645338204)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498683	(1.0, 54.801989274231566)	(2.0, 12.68633943162725)	(3.0, 5.442870136167497)	(4.0, 3.0816556081684037)	(5.0, 2.117935317870698)	(6.0, 1.5289820981274693)	(7.0, 1.2171622479271693)	(8.0, 1.0240878924112282)	(9.0, 0.8665072125149452)	('>10', 10.730767840803189)	('>50', 3.2945475404039346)	('>100', 3.1940240181635495)	('>500', 0.013131381583125684)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498728	(1.0, 46.1480984394913)	(2.0, 11.270478853367868)	(3.0, 5.160415156588051)	(4.0, 3.2160392639779607)	(5.0, 1.9806669118410916)	(6.0, 1.575174528244987)	(7.0, 1.3183420967560078)	(8.0, 1.0519282165260382)	(9.0, 0.9625558551916994)	('>10', 11.54400213244647)	('>50', 4.811859732163569)	('>100', 9.403965713191303)	('>500', 1.2134609244763024)	('>1k', 0.343012175737368)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498778	(1.0, 54.13200890851376)	(2.0, 13.03303544521421)	(3.0, 5.826295442827663)	(4.0, 3.3105172969613017)	(5.0, 2.2035651247891463)	(6.0, 1.6273193287574552)	(7.0, 1.231538305137087)	(8.0, 0.9946365534162002)	(9.0, 0.8366799386367573)	('>10', 9.538417363090208)	('>50', 3.040703627342463)	('>100', 3.9738165292178764)	('>500', 0.20847198236762654)	('>1k', 0.04299415372814514)	('>5k', 0.0)	('>10k+', 0.0)
