Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
IPF_SRR21498155	IPF_SRR21498155.fastq	Conventional base calls	Sanger / Illumina 1.9	3554314.0	310.7 Mbp	0.0	50-88	49.0	66.1890173239056	87.43860503039404	88	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
IPF_SRR21498185	IPF_SRR21498185.fastq	Conventional base calls	Sanger / Illumina 1.9	3969295.0	346.7 Mbp	0.0	50-88	50.0	60.52603885386587	87.3685387455455	88	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
IPF_SRR21498200	IPF_SRR21498200.fastq	Conventional base calls	Sanger / Illumina 1.9	3281636.0	285.8 Mbp	0.0	50-88	48.0	70.4581133913444	87.12038964711503	88	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
IPF_SRR21498230	IPF_SRR21498230.fastq	Conventional base calls	Sanger / Illumina 1.9	3764964.0	328 Mbp	0.0	50-88	48.0	64.38964543682076	87.12722458966407	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
IPF_SRR21498285	IPF_SRR21498285.fastq	Conventional base calls	Sanger / Illumina 1.9	4612771.0	402.7 Mbp	0.0	50-88	49.0	62.63614640624632	87.31875373826274	88	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
IPF_SRR21498410	IPF_SRR21498410.fastq	Conventional base calls	Sanger / Illumina 1.9	3451659.0	301 Mbp	0.0	50-88	48.0	64.7076470531752	87.21956543215886	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
IPF_SRR21498439	IPF_SRR21498439.fastq	Conventional base calls	Sanger / Illumina 1.9	3374231.0	294.2 Mbp	0.0	50-88	49.0	64.78642710021347	87.21012935984525	88	pass	pass	fail	pass	pass	warn	pass	warn	warn	pass	pass
IPF_SRR21498445	IPF_SRR21498445.fastq	Conventional base calls	Sanger / Illumina 1.9	3362367.0	293.3 Mbp	0.0	50-88	48.0	67.92971286773567	87.23541838234792	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
IPF_SRR21498583	IPF_SRR21498583.fastq	Conventional base calls	Sanger / Illumina 1.9	4104176.0	356.1 Mbp	0.0	50-88	48.0	64.35371032078905	86.77888423888254	88	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
IPF_SRR21498648	IPF_SRR21498648.fastq	Conventional base calls	Sanger / Illumina 1.9	3737914.0	325.7 Mbp	0.0	50-88	47.0	66.61921585317529	87.15812830364743	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
IPF_SRR21498668	IPF_SRR21498668.fastq	Conventional base calls	Sanger / Illumina 1.9	4630092.0	404.7 Mbp	0.0	50-88	50.0	62.048458523401884	87.40967371706653	88	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
IPF_SRR21498793	IPF_SRR21498793.fastq	Conventional base calls	Sanger / Illumina 1.9	3818899.0	333.5 Mbp	0.0	50-88	48.0	67.92021751505173	87.33476035894115	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
NDC_SRR21498140	NDC_SRR21498140.fastq	Conventional base calls	Sanger / Illumina 1.9	3789735.0	331.6 Mbp	0.0	50-88	49.0	61.553549938247635	87.50445004729882	88	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
NDC_SRR21498150	NDC_SRR21498150.fastq	Conventional base calls	Sanger / Illumina 1.9	3571532.0	312.5 Mbp	0.0	50-88	49.0	66.71414260531151	87.51631036765176	88	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
NDC_SRR21498190	NDC_SRR21498190.fastq	Conventional base calls	Sanger / Illumina 1.9	3277221.0	285.3 Mbp	0.0	50-88	47.0	66.41926036424553	87.08425797344762	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
NDC_SRR21498225	NDC_SRR21498225.fastq	Conventional base calls	Sanger / Illumina 1.9	3501854.0	304.6 Mbp	0.0	50-88	48.0	63.58437093376226	87.0088764408796	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
NDC_SRR21498260	NDC_SRR21498260.fastq	Conventional base calls	Sanger / Illumina 1.9	3384767.0	296.1 Mbp	0.0	50-88	51.0	66.43462430844822	87.50208714514174	88	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
NDC_SRR21498370	NDC_SRR21498370.fastq	Conventional base calls	Sanger / Illumina 1.9	3418105.0	297.9 Mbp	0.0	50-88	48.0	67.74909316729604	87.16924202152947	88	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
NDC_SRR21498400	NDC_SRR21498400.fastq	Conventional base calls	Sanger / Illumina 1.9	3550206.0	308.8 Mbp	0.0	50-88	48.0	66.78256750955627	87.0078570088609	88	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
