Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
IPF_SRR21498155	33.8109826760944	49.0	87.43860503039404	88	0.0	3.5543139999999998
IPF_SRR21498185	39.47396114613413	50.0	87.3685387455455	88	0.0	3.969295
IPF_SRR21498200	29.541886608655602	48.0	87.12038964711503	88	9.090909090909092	3.2816359999999998
IPF_SRR21498230	35.61035456317924	48.0	87.12722458966407	88	9.090909090909092	3.764964
IPF_SRR21498285	37.36385359375368	49.0	87.31875373826274	88	0.0	4.6127709999999995
IPF_SRR21498410	35.292352946824806	48.0	87.21956543215886	88	9.090909090909092	3.451659
IPF_SRR21498439	35.21357289978653	49.0	87.21012935984525	88	9.090909090909092	3.374231
IPF_SRR21498445	32.070287132264326	48.0	87.23541838234792	88	9.090909090909092	3.362367
IPF_SRR21498583	35.64628967921095	48.0	86.77888423888254	88	0.0	4.104176
IPF_SRR21498648	33.38078414682471	47.0	87.15812830364743	88	9.090909090909092	3.737914
IPF_SRR21498668	37.951541476598116	50.0	87.40967371706653	88	0.0	4.630091999999999
IPF_SRR21498793	32.07978248494827	48.0	87.33476035894115	88	9.090909090909092	3.818899
NDC_SRR21498140	38.446450061752365	49.0	87.50445004729882	88	0.0	3.789735
NDC_SRR21498150	33.28585739468849	49.0	87.51631036765176	88	0.0	3.571532
NDC_SRR21498190	33.58073963575447	47.0	87.08425797344762	88	9.090909090909092	3.277221
NDC_SRR21498225	36.41562906623774	48.0	87.0088764408796	88	9.090909090909092	3.501854
NDC_SRR21498260	33.56537569155178	51.0	87.50208714514174	88	0.0	3.3847669999999996
NDC_SRR21498370	32.25090683270396	48.0	87.16924202152947	88	9.090909090909092	3.4181049999999997
NDC_SRR21498400	33.21743249044373	48.0	87.0078570088609	88	0.0	3.5502059999999998
NDC_SRR21498528	31.848281444840666	50.0	87.19506965365494	88	0.0	2.5114259999999997
NDC_SRR21498546	38.229581889800954	47.0	86.84293509720013	88	9.090909090909092	4.248091
NDC_SRR21498683	34.5546005582718	49.0	87.44513173586374	88	0.0	3.88239
NDC_SRR21498728	43.8784135165482	47.0	86.92174188457395	88	0.0	3.135202
NDC_SRR21498778	34.88870970438562	48.0	87.06172715012836	88	9.090909090909092	3.530359
