.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
IPF_SRR21498155	1	1	1	1	0.25	0.5	1	1	0.5	1	1
IPF_SRR21498185	1	1	1	1	0.25	1	1	1	0.5	1	1
IPF_SRR21498200	1	1	0.25	1	0.5	1	1	1	1	1	1
IPF_SRR21498230	1	1	0.25	1	0.5	1	1	1	0.5	1	1
IPF_SRR21498285	1	1	1	1	0.25	0.5	1	1	0.5	1	1
IPF_SRR21498410	1	1	0.25	1	0.5	1	1	1	0.5	1	1
IPF_SRR21498439	1	1	0.25	1	0.5	0.5	1	1	0.5	1	1
IPF_SRR21498445	1	1	0.25	1	0.5	1	1	1	1	1	1
IPF_SRR21498583	1	1	1	1	0.5	1	1	1	0.5	1	1
IPF_SRR21498648	1	1	0.25	1	0.5	1	1	1	0.5	1	1
IPF_SRR21498668	1	1	1	1	0.25	1	1	1	0.5	1	1
IPF_SRR21498793	1	1	0.25	1	0.5	1	1	1	1	1	1
NDC_SRR21498140	1	1	1	1	0.25	0.5	1	1	0.5	1	1
NDC_SRR21498150	1	1	1	1	0.5	1	1	1	0.5	1	1
NDC_SRR21498190	1	1	0.25	1	0.5	1	1	1	0.5	1	1
NDC_SRR21498225	1	1	0.25	1	0.5	1	1	1	0.5	1	1
NDC_SRR21498260	1	1	1	1	0.5	1	1	1	0.5	1	1
NDC_SRR21498370	1	1	0.25	1	0.5	1	1	1	0.5	1	1
NDC_SRR21498400	1	1	1	1	0.5	1	1	1	0.5	1	1
NDC_SRR21498528	1	1	1	1	0.25	1	1	1	1	1	1
NDC_SRR21498546	1	1	0.25	1	0.25	1	1	1	0.5	1	1
NDC_SRR21498683	1	1	1	1	0.25	1	1	1	0.5	1	1
NDC_SRR21498728	1	1	1	1	0.5	1	1	1	0.5	0.5	1
NDC_SRR21498778	1	1	0.25	1	0.25	1	1	1	0.5	1	1
