Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
IPF_SRR21498155 - illumina_universal_adapter	(1, 2.8059251036859472e-05)	(2, 2.8059251036859472e-05)	(3, 2.8059251036859472e-05)	(4, 2.8059251036859472e-05)	(5, 2.8059251036859472e-05)	(6, 2.8059251036859472e-05)	(7, 2.8059251036859472e-05)	(8, 2.8059251036859472e-05)	(9, 2.8059251036859472e-05)	(10, 7.014812759214869e-05)	(12, 8.417775311057842e-05)	(14, 8.417775311057842e-05)	(16, 9.820737862900815e-05)	(18, 0.00011223700414743789)	(20, 0.00012626662966586764)	(22, 0.00014029625518429737)	(24, 0.00014029625518429737)	(26, 0.00016835550622115684)	(28, 0.00023850363381330554)	(30, 0.00036477026347917315)	(32, 0.0006032738972924787)	(34, 0.0009399849097347923)	(36, 0.0014169921773614035)	(38, 0.0022026512063934686)	(40, 0.003563524881681153)	(42, 0.00531722807148487)	(44, 0.007561968154433628)	(46, 0.010031182245677263)	(48, 0.013945447765319158)	(50, 0.019978186738243947)	(52, 0.027455977139566996)	(54, 0.03553704143818252)	(56, 0.044501972144459126)	(58, 0.05558537630401862)	(60, 0.07152303089295481)	(62, 0.09374595771414751)	(64, 0.11887301701765515)	(66, 0.15062205956586167)	(68, 0.18726744142000012)	(70, 0.23527681994406668)	(72, 0.29681075746789953)	(74, 0.37837900023205)	(76, 0.47871888193985945)	(78, 0.5973393656981829)	(80, 0.7452116186624324)	(82, 0.9307393865181472)	(84, 1.1660723249642877)	(86, 1.454254862738353)	(88, 1.7930142005063572)
IPF_SRR21498155 - polya	(1, 0.003002339860943964)	(2, 0.00583632421566677)	(3, 0.008586130817278999)	(4, 0.01332814424250825)	(5, 0.016414661856562793)	(6, 0.01980983123202279)	(7, 0.02286828959504047)	(8, 0.027526125267159144)	(9, 0.03583166357406955)	(10, 0.04629776421081813)	(12, 0.05141857752504499)	(14, 0.059092782683626055)	(16, 0.06485895877170067)	(18, 0.07044274972803571)	(20, 0.07629310356922091)	(22, 0.0821855462869614)	(24, 0.08807798900470189)	(26, 0.0962011421798727)	(28, 0.10369296220671419)	(30, 0.11166178950118227)	(32, 0.11811541723965996)	(34, 0.1246953116078035)	(36, 0.1300686581813621)	(38, 0.135582301010105)	(40, 0.1412081808429953)	(42, 0.14698838655658836)	(44, 0.15208114061977834)	(46, 0.15821208697133216)	(48, 0.16372572980007505)	(50, 0.16811700258734355)	(52, 0.17236797911942775)	(54, 0.1778675923226522)	(56, 0.18360570915968996)	(58, 0.18879667060150895)	(60, 0.19387539503918055)	(62, 0.19916456385962855)	(64, 0.20748413179205738)	(66, 0.22062989090282603)	(68, 0.22577876346808975)	(70, 0.2304646583912453)	(72, 0.2353329384461404)	(74, 0.24011704074792495)	(76, 0.2460375427167023)	(78, 0.25237893345103257)	(80, 0.2568543839914116)	(82, 0.26117550865108796)	(84, 0.2661840849611674)	(86, 0.27189414254716826)	(88, 0.27635556346202894)
IPF_SRR21498185 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 5.0255776775900945e-05)	(5, 5.0255776775900945e-05)	(6, 5.0255776775900945e-05)	(7, 5.0255776775900945e-05)	(8, 5.0255776775900945e-05)	(9, 7.538366516385143e-05)	(10, 7.538366516385143e-05)	(12, 7.538366516385143e-05)	(14, 8.794760935782665e-05)	(16, 0.00011307549774577713)	(18, 0.00012563944193975238)	(20, 0.00012563944193975238)	(22, 0.00015076733032770286)	(24, 0.00015076733032770286)	(26, 0.0001758952187156533)	(28, 0.0003015346606554057)	(30, 0.0004397380467891333)	(32, 0.0006784529864746628)	(34, 0.001155882865845722)	(36, 0.0018343358523203847)	(38, 0.0028520153320323784)	(40, 0.004208921304981705)	(42, 0.006181460543435817)	(44, 0.008380150777381483)	(46, 0.011307549774577713)	(48, 0.015114424865352211)	(50, 0.021094862301684423)	(52, 0.029826803516497212)	(54, 0.03948847660166417)	(56, 0.05090910187398766)	(58, 0.0650937948689857)	(60, 0.08363817649929314)	(62, 0.10861529755691593)	(64, 0.14138206401480335)	(66, 0.17882261771284955)	(68, 0.22581176899831693)	(70, 0.28527691686840173)	(72, 0.3593790597244677)	(74, 0.45392273978413133)	(76, 0.57537838830729)	(78, 0.7204039961383462)	(80, 0.8948669252158863)	(82, 1.1092329410534918)	(84, 1.3816066872346808)	(86, 1.716925793827686)	(88, 2.106081401291875)
IPF_SRR21498185 - polya	(1, 0.001005115535518019)	(2, 0.003065602383329958)	(3, 0.005126089231141897)	(4, 0.008618865717067013)	(5, 0.011634212323621069)	(6, 0.014674686818563076)	(7, 0.017262859322521976)	(8, 0.02176075134396511)	(9, 0.028997583199694848)	(10, 0.03790541963322329)	(12, 0.04325765985985674)	(14, 0.04898681841230945)	(16, 0.054351622583136874)	(18, 0.059653607032994424)	(20, 0.06516917853414955)	(22, 0.07054654664917095)	(24, 0.07665262352744293)	(26, 0.08378894382962085)	(28, 0.08988245676369885)	(30, 0.09514674938097448)	(32, 0.10014719917017662)	(34, 0.10558738700616789)	(36, 0.11048732524181823)	(38, 0.11483444993293367)	(40, 0.1194328535079286)	(42, 0.12418202441325124)	(44, 0.12904427081631964)	(46, 0.13422061582423744)	(48, 0.13854261262696493)	(50, 0.14244999927129123)	(52, 0.1467343042414368)	(54, 0.15075476638350888)	(56, 0.15492599585590866)	(58, 0.15903440560733856)	(60, 0.16284128069811304)	(62, 0.1673768645521381)	(64, 0.1768626424185894)	(66, 0.1943767806249909)	(68, 0.19842237065545093)	(70, 0.20259360012785071)	(72, 0.20677739354444447)	(74, 0.21054657680263703)	(76, 0.215119852489244)	(78, 0.2200951743900582)	(80, 0.22396486920180259)	(82, 0.22701790764093854)	(84, 0.230334788908148)	(86, 0.235423186306708)	(88, 0.23980800283040535)
IPF_SRR21498200 - illumina_universal_adapter	(1, 3.0344381419164237e-05)	(2, 3.0344381419164237e-05)	(3, 3.0344381419164237e-05)	(4, 3.0344381419164237e-05)	(5, 3.0344381419164237e-05)	(6, 3.0344381419164237e-05)	(7, 3.0344381419164237e-05)	(8, 3.0344381419164237e-05)	(9, 6.0688762838328474e-05)	(10, 7.586095354791059e-05)	(12, 9.10331442574927e-05)	(14, 9.10331442574927e-05)	(16, 9.10331442574927e-05)	(18, 0.00012137752567665695)	(20, 0.00015172190709582118)	(22, 0.0001668940978054033)	(24, 0.0002427550513533139)	(26, 0.00027309943277247813)	(28, 0.00042482133986829933)	(30, 0.0008344704890270165)	(32, 0.001547563452377376)	(34, 0.002488239276371467)	(36, 0.0036261535795901263)	(38, 0.00544681646473998)	(40, 0.008678493085880971)	(42, 0.013290839061593935)	(44, 0.01805490694440272)	(46, 0.02342586245559479)	(48, 0.0316491898201883)	(50, 0.043362121047985695)	(52, 0.05882258338104987)	(54, 0.0766954240369376)	(56, 0.09796683541177173)	(58, 0.12418438095792964)	(60, 0.1593383468320314)	(62, 0.20226047434943922)	(64, 0.2539369559062759)	(66, 0.31526295075440686)	(68, 0.3879377442533052)	(70, 0.4781819345938996)	(72, 0.5907747618497086)	(74, 0.7347740238743524)	(76, 0.9085411240711965)	(78, 1.1149891230564803)	(80, 1.3583662342288871)	(82, 1.6519632966500106)	(84, 2.019206172775446)	(86, 2.459351425260423)	(88, 2.958395122079998)
IPF_SRR21498200 - polya	(1, 0.004885445408485442)	(2, 0.011288109887929096)	(3, 0.01690182045047448)	(4, 0.024609293330942195)	(5, 0.02900922863672101)	(6, 0.0336822633752723)	(7, 0.039629762133428496)	(8, 0.0487027321777586)	(9, 0.06263080324915499)	(10, 0.07895608045266533)	(12, 0.08881800441389372)	(14, 0.10160816118207144)	(16, 0.11128801885478484)	(18, 0.12093753214607907)	(20, 0.13139117154498114)	(22, 0.14395374545251513)	(24, 0.15733561765836657)	(26, 0.17572431279838008)	(28, 0.19123029170357303)	(30, 0.20632662145960723)	(32, 0.2180547248781142)	(34, 0.23048074906926197)	(36, 0.24110128256596947)	(38, 0.25025011356384746)	(40, 0.26068858077203994)	(42, 0.27099049826384625)	(44, 0.28249101882170946)	(46, 0.29267155878783907)	(48, 0.3012741909201721)	(50, 0.3092092466612836)	(52, 0.31688637516033213)	(54, 0.3259441730139526)	(56, 0.33547230877957024)	(58, 0.3443935569168045)	(60, 0.35117552616398773)	(62, 0.3589285156165842)	(64, 0.41467114428358887)	(66, 0.5155055237394717)	(68, 0.5238350564390322)	(70, 0.5329990596276198)	(72, 0.5425271953932373)	(74, 0.550492595515768)	(76, 0.5610069236775084)	(78, 0.571809523462731)	(80, 0.5797445792038424)	(82, 0.5871486082701184)	(84, 0.5954933131603886)	(86, 0.605097309879554)	(88, 0.6133661538162762)
IPF_SRR21498230 - illumina_universal_adapter	(1, 2.6457112227366073e-05)	(2, 2.6457112227366073e-05)	(3, 5.2914224454732146e-05)	(4, 0.00013228556113683036)	(5, 0.00013228556113683036)	(6, 0.00015874267336419643)	(7, 0.00015874267336419643)	(8, 0.00015874267336419643)	(9, 0.00015874267336419643)	(10, 0.00015874267336419643)	(12, 0.00018519978559156252)	(14, 0.00018519978559156252)	(16, 0.00019842834170524554)	(18, 0.00027779967838734376)	(20, 0.0003307139028420759)	(22, 0.00037039957118312504)	(24, 0.0004365423517515402)	(26, 0.0005555993567746875)	(28, 0.0008201704790483482)	(30, 0.0012567128307998884)	(32, 0.0020901118659619198)	(34, 0.0034129674773302233)	(36, 0.0055427650116331925)	(38, 0.008519190137211877)	(40, 0.01289784221084096)	(42, 0.018228950324655224)	(44, 0.024300857580835736)	(46, 0.03168239189227087)	(48, 0.04225200822710362)	(50, 0.05620813492703922)	(52, 0.07368305755321451)	(54, 0.09336714905037487)	(56, 0.11664940781045702)	(58, 0.14503788923042082)	(60, 0.18001419159499876)	(62, 0.22346999842844753)	(64, 0.27921513389150787)	(66, 0.3458473710361293)	(68, 0.42449113713197495)	(70, 0.5196441412576971)	(72, 0.6356585783746973)	(74, 0.7818341234308949)	(76, 0.9576945484061972)	(78, 1.1654357936154756)	(80, 1.4098333678157697)	(82, 1.7088648787655747)	(84, 2.076579053057622)	(86, 2.5157935731441263)	(88, 3.017843734770625)
IPF_SRR21498230 - polya	(1, 0.003968566834104911)	(2, 0.010080159758626474)	(3, 0.014524954612823974)	(4, 0.021245061118574958)	(5, 0.02444637169808625)	(6, 0.028203281634372232)	(7, 0.03296556183529813)	(8, 0.041008523952417414)	(9, 0.05328462402591527)	(10, 0.06762437885314768)	(12, 0.07708279647443106)	(14, 0.08889589708395002)	(16, 0.09842045748580179)	(18, 0.10692641906689998)	(20, 0.11593506578031813)	(22, 0.12556545463107938)	(24, 0.13655838476154997)	(26, 0.1520622525267865)	(28, 0.16591255077781264)	(30, 0.17837385063690206)	(32, 0.18926095231846318)	(34, 0.2012724812696874)	(36, 0.2115510693700191)	(38, 0.22048034474675518)	(40, 0.22978001969467435)	(42, 0.23978080811661873)	(44, 0.24994033921192726)	(46, 0.2600337275266674)	(48, 0.2687513460055846)	(50, 0.27656942266877127)	(52, 0.28413615676579795)	(54, 0.2926553469030098)	(56, 0.30116130848410805)	(58, 0.30913812782065886)	(60, 0.3163609194587298)	(62, 0.3244832529125312)	(64, 0.3610734391229785)	(66, 0.4160380897753315)	(68, 0.4250864221570907)	(70, 0.43320875561089206)	(72, 0.4410929750546472)	(74, 0.4478395386726255)	(76, 0.4569010996104984)	(78, 0.4656980894260976)	(80, 0.47206102491677915)	(82, 0.4784636460758017)	(84, 0.4857261233822137)	(86, 0.4946421702028361)	(88, 0.5019840188459301)
IPF_SRR21498285 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.1626886891814095e-05)	(5, 2.1626886891814095e-05)	(6, 2.1626886891814095e-05)	(7, 4.325377378362819e-05)	(8, 6.488066067544228e-05)	(9, 8.650754756725638e-05)	(10, 8.650754756725638e-05)	(12, 8.650754756725638e-05)	(14, 0.00010813443445907046)	(16, 0.00010813443445907046)	(18, 0.00010813443445907046)	(20, 0.00010813443445907046)	(22, 0.00012976132135088456)	(24, 0.0001622016516886057)	(26, 0.0002054554254722339)	(28, 0.00028114952959358325)	(30, 0.0004974183985117242)	(32, 0.0007569410412134932)	(34, 0.0013949342045220092)	(36, 0.0019572332637091757)	(38, 0.0028547490697194604)	(40, 0.004574086577618681)	(42, 0.006466439180652414)	(44, 0.00882376985186015)	(46, 0.012165123876645428)	(48, 0.01680409111493955)	(50, 0.023205649634916524)	(52, 0.03221324802535709)	(54, 0.043448415765654516)	(56, 0.05659756299587748)	(58, 0.07314213146811527)	(60, 0.09482308557715889)	(62, 0.12350033759570439)	(64, 0.15879541700314498)	(66, 0.20279531838454076)	(68, 0.25469984692489456)	(70, 0.31968864203479597)	(72, 0.403557709401251)	(74, 0.5113461136700524)	(76, 0.6445461100367355)	(78, 0.806174649222708)	(80, 0.9982646585958008)	(82, 1.2353710330342045)	(84, 1.5313674204790182)	(86, 1.894353090071226)	(88, 2.320186492971046)
IPF_SRR21498285 - polya	(1, 0.0012976132135088456)	(2, 0.004109108509444678)	(3, 0.0065745736151114845)	(4, 0.011700145808471424)	(5, 0.014576521765082699)	(6, 0.017582659043044856)	(7, 0.02112946849330237)	(8, 0.02688222040652492)	(9, 0.0360520204486541)	(10, 0.0469519714421284)	(12, 0.05333190307521356)	(14, 0.06070667150532216)	(16, 0.06616746044550523)	(18, 0.07236356354000996)	(20, 0.07855966663451469)	(22, 0.08511261336273437)	(24, 0.09189264240331808)	(26, 0.10096512145443409)	(28, 0.11052420546061592)	(30, 0.1190668257828825)	(32, 0.12629020600474838)	(34, 0.1341191390595851)	(36, 0.14044500347544073)	(38, 0.1459490461894074)	(40, 0.15111787215655098)	(42, 0.1568489971828817)	(44, 0.16347763801522275)	(46, 0.16966292766628155)	(48, 0.17486419396376285)	(50, 0.17943828054138153)	(52, 0.18412050155345927)	(54, 0.1895380367198587)	(56, 0.19497719877314995)	(58, 0.20004870374928035)	(60, 0.20444977523176455)	(62, 0.20962941464235402)	(64, 0.22039960431447742)	(66, 0.23652244849232484)	(68, 0.24163720724223886)	(70, 0.24680603320938244)	(72, 0.25101246270984023)	(74, 0.2553919073054326)	(76, 0.26089595001939936)	(78, 0.26671358259329736)	(80, 0.27229331941138535)	(82, 0.2768349656586663)	(84, 0.2812576640280423)	(86, 0.2871834310363993)	(88, 0.29211436124773293)
