Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
IPF_SRR21498155	(1, 0.13670467105157935)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0003928295145160326)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.010395952509156434)	(30, 0.032127842437204096)	(32, 0.03866564792879236)	(34, 0.025449740690431544)	(36, 0.010367893258119576)	(38, 0.010438041385711723)	(40, 0.026852703242274515)	(42, 0.015558854699938576)	(44, 0.012528455587957756)	(46, 0.006313331483293382)	(48, 0.0)	(50, 0.0)	(52, 1.4029625518429738e-05)	(54, 2.8059251036859476e-05)	(56, 1.4029625518429738e-05)	(58, 0.0010943107904375195)	(60, 0.009259552842163626)	(62, 0.0007716294035136356)	(64, 0.00014029625518429737)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.4029625518429738e-05)	(74, 0.00016835550622115684)	(76, 2.8059251036859476e-05)	(78, 0.0011363996669928088)	(80, 0.0009259552842163627)	(82, 0.00014029625518429737)	(84, 9.820737862900815e-05)	(86, 1.4029625518429738e-05)	(88, 0.00028059251036859474)	(90, 0.0)	(92, 0.0016554958111747089)	(94, 0.0018519105684327254)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498185	(1, 0.12960964830504856)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00042717410259515806)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.010302434239059695)	(30, 0.03153549992687785)	(32, 0.03913668616423287)	(34, 0.025781213486037183)	(36, 0.010654224676491)	(38, 0.010779864118430753)	(40, 0.027602985394163594)	(42, 0.016446202949913585)	(44, 0.01273983941269089)	(46, 0.006897605362492405)	(48, 0.0)	(50, 1.2563944193975236e-05)	(52, 0.0)	(54, 3.7691832581925714e-05)	(56, 5.0255776775900945e-05)	(58, 0.0013192141403674)	(60, 0.008819888824170617)	(62, 0.0007287087632505638)	(64, 0.00018845916290962856)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.2563944193975236e-05)	(74, 0.0001382033861337276)	(76, 2.5127888387950473e-05)	(78, 0.0013443420287553504)	(80, 0.0008292203168023656)	(82, 7.538366516385143e-05)	(84, 0.00018845916290962856)	(86, 2.5127888387950473e-05)	(88, 0.00023871493968552948)	(90, 0.0)	(92, 0.0014448535823071524)	(94, 0.0021484344571697654)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498200	(1, 0.11300247640496763)	(2, 0.0022454842250181533)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00042482133986829933)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0017448019316019436)	(16, 0.000379304767739553)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0017296297408923615)	(30, 0.007722645071177298)	(32, 0.005704743706802877)	(34, 0.00033378819561080664)	(36, 0.0012289474474761516)	(38, 0.011803964372054889)	(40, 0.02922163930665516)	(42, 0.03019265951206842)	(44, 0.028660268250400623)	(46, 0.028463029771176054)	(48, 0.006630247340087386)	(50, 0.00016689409780540332)	(52, 0.0)	(54, 1.5172190709582119e-05)	(56, 3.0344381419164237e-05)	(58, 0.00013654971638623906)	(60, 0.003034438141916424)	(62, 0.00012137752567665695)	(64, 0.0001517219070958212)	(66, 0.0)	(68, 6.0688762838328474e-05)	(70, 0.4873004212103585)	(72, 0.0)	(74, 4.551657212874636e-05)	(76, 0.0)	(78, 0.0005310266748353741)	(80, 3.0344381419164237e-05)	(82, 0.0005310266748353741)	(84, 4.551657212874636e-05)	(86, 0.0)	(88, 7.58609535479106e-05)	(90, 0.0)	(92, 0.0)	(94, 1.5172190709582119e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498230	(1, 0.10852707435665564)	(2, 0.0015874267336419645)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0005026851323199555)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0019049120803703572)	(16, 0.00030425679061470986)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.001825540743688259)	(30, 0.008042962117119287)	(32, 0.00592639313893)	(34, 0.000370399571183125)	(36, 0.0011641129380041072)	(38, 0.012487756971316785)	(40, 0.030214022163652057)	(42, 0.031153249647723553)	(44, 0.02948645157739949)	(46, 0.02948645157739949)	(48, 0.007222791638070937)	(50, 9.259989279578125e-05)	(52, 0.0)	(54, 0.0)	(56, 1.3228556113683037e-05)	(58, 6.614278056841518e-05)	(60, 0.0029896536816923663)	(62, 0.00013228556113683036)	(64, 7.937133668209821e-05)	(66, 0.0)	(68, 5.2914224454732146e-05)	(70, 0.48985343288968286)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.00044977090786522326)	(80, 1.3228556113683037e-05)	(82, 0.0005688279128883706)	(84, 1.3228556113683037e-05)	(86, 0.0)	(88, 9.259989279578125e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498285	(1, 0.13583847656748432)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0003784705206067466)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.011581197930566446)	(30, 0.03449488459244348)	(32, 0.041858839579106175)	(34, 0.028320408384830555)	(36, 0.01182990712982231)	(38, 0.011548757600228726)	(40, 0.028039258855236972)	(42, 0.015841694648253826)	(44, 0.011873160903605937)	(46, 0.006498879510990135)	(48, 0.0)	(50, 0.0)	(52, 2.162688689181409e-05)	(54, 0.0)	(56, 3.244033033772114e-05)	(58, 0.0010380905708070765)	(60, 0.008575060652604287)	(62, 0.0006271797198626087)	(64, 0.00017301509513451273)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.0813443445907046e-05)	(74, 8.650754756725637e-05)	(76, 1.0813443445907046e-05)	(78, 0.0009191426929020989)	(80, 0.0007893813715512144)	(82, 0.00010813443445907048)	(84, 0.000237895755809955)	(86, 2.162688689181409e-05)	(88, 0.0002595226427017691)	(90, 0.0)	(92, 0.0014381879783056373)	(94, 0.0019680467071550825)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498410	(1, 0.10844257972623375)	(2, 0.001848288975360575)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00037543369812011683)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0018049697025005619)	(16, 0.0003609939405001123)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0020360058244206333)	(30, 0.008144023297682533)	(32, 0.006064698200401887)	(34, 0.0004476324862201393)	(36, 0.0013717769739004268)	(38, 0.012735866220843963)	(40, 0.030554527123929507)	(42, 0.03130539452016974)	(44, 0.029861418758169292)	(46, 0.0298902982734093)	(48, 0.00726319808286226)	(50, 0.00012995781858004044)	(52, 0.0)	(54, 0.0)	(56, 1.4439757620004493e-05)	(58, 7.219878810002247e-05)	(60, 0.0030467888578209483)	(62, 0.00020215660668006292)	(64, 0.00015883733382004943)	(66, 0.0)	(68, 7.219878810002247e-05)	(70, 0.4965543850367145)	(72, 0.0)	(74, 1.4439757620004493e-05)	(76, 0.0)	(78, 0.0006209095776601932)	(80, 2.8879515240008986e-05)	(82, 0.0005920300624201843)	(84, 2.8879515240008986e-05)	(86, 0.0)	(88, 7.219878810002247e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498439	(1, 0.11407021550468835)	(2, 0.001890340184438129)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0004430484807276864)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.001875571901747206)	(16, 0.00041351191534584066)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.002274315534402124)	(30, 0.008668981939571732)	(32, 0.006793410037824525)	(34, 0.00036920706727307207)	(36, 0.0015949745306196711)	(38, 0.012641649983429986)	(40, 0.030969088802865283)	(42, 0.03186995404701158)	(44, 0.030215906385628218)	(46, 0.030245442951010063)	(48, 0.007280763366624981)	(50, 0.0001476828269092288)	(52, 0.0)	(54, 1.4768282690922882e-05)	(56, 5.907313076369153e-05)	(58, 0.00019198767498199748)	(60, 0.0031899490612393422)	(62, 0.00023629252305476612)	(64, 0.0001772193922910746)	(66, 0.0)	(68, 7.38414134546144e-05)	(70, 0.49553495741122644)	(72, 0.0)	(74, 2.9536565381845765e-05)	(76, 0.0)	(78, 0.0006498044384006068)	(80, 5.907313076369153e-05)	(82, 0.0006645727210915297)	(84, 4.430484807276865e-05)	(86, 2.9536565381845765e-05)	(88, 0.0001624511096001517)	(90, 0.0)	(92, 0.0)	(94, 5.907313076369153e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498445	(1, 0.11307491732100794)	(2, 0.0013637771884547367)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00038541529238938214)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0016454268252008234)	(16, 0.00034094429711368417)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0018826054666712124)	(30, 0.008138192135452721)	(32, 0.006196292008413913)	(34, 0.0003705916272974828)	(36, 0.001423071848822334)	(38, 0.011725519087692357)	(40, 0.030077216471463705)	(42, 0.031174167688264254)	(44, 0.02976591950453382)	(46, 0.029676977513982423)	(48, 0.0067744149469979855)	(50, 0.00019270764619469107)	(52, 0.0)	(54, 1.4823665091899312e-05)	(56, 2.9647330183798623e-05)	(58, 0.00017788398110279175)	(60, 0.0031722643296664527)	(62, 0.00023717864147038898)	(64, 0.00023717864147038898)	(66, 0.0)	(68, 4.4470995275697936e-05)	(70, 0.49425064149410686)	(72, 0.0)	(74, 2.9647330183798623e-05)	(76, 0.0)	(78, 0.0008301252451463615)	(80, 1.4823665091899312e-05)	(82, 0.0005929466036759725)	(84, 1.4823665091899312e-05)	(86, 0.0)	(88, 5.9294660367597246e-05)	(90, 0.0)	(92, 0.0)	(94, 2.9647330183798623e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498583	(1, 0.13245809287467478)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.000363230602032929)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.01026731835079746)	(30, 0.03252124656868158)	(32, 0.039773750922605725)	(34, 0.025668295876993652)	(36, 0.010473149025282787)	(38, 0.010049379989577703)	(40, 0.026225249466777477)	(42, 0.015316223719055173)	(44, 0.01151441008444385)	(46, 0.005678505078448124)	(48, 0.0)	(50, 2.4215373468861933e-05)	(52, 2.4215373468861933e-05)	(54, 2.4215373468861933e-05)	(56, 3.63230602032929e-05)	(58, 0.0011744456132398039)	(60, 0.008209011605944196)	(62, 0.0007748919510035819)	(64, 4.8430746937723867e-05)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0001573999275476026)	(76, 6.0538433672154837e-05)	(78, 0.0010291533724266324)	(80, 0.0007627842642691509)	(82, 0.00010896918060987872)	(84, 8.475380714101678e-05)	(86, 1.2107686734430967e-05)	(88, 0.0003026921683607742)	(90, 0.0)	(92, 0.0014287070346628542)	(94, 0.0018766914438368)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498648	(1, 0.11461200356025372)	(2, 0.0014669909694703174)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.000586796387788127)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.001640362629498628)	(16, 0.00041342472775981673)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0023338492696118687)	(30, 0.009508768738475787)	(32, 0.006814839867266657)	(34, 0.0003467433200566205)	(36, 0.001440318406389039)	(38, 0.011962644541953409)	(40, 0.028833040690862063)	(42, 0.029859934369491282)	(44, 0.028592987623130554)	(46, 0.02848629737080544)	(48, 0.006721485896482182)	(50, 0.000160035378487671)	(52, 0.0)	(54, 0.0)	(56, 2.66725630812785e-05)	(58, 0.00014669909694703175)	(60, 0.003054008472806388)	(62, 0.00017337166002831026)	(64, 0.000213380504650228)	(66, 0.0)	(68, 5.3345126162557e-05)	(70, 0.49001499264770804)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.000586796387788127)	(80, 0.0)	(82, 0.0005734601062474878)	(84, 4.000884462191775e-05)	(86, 0.0)	(88, 4.000884462191775e-05)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
