Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
IPF_SRR21498155	(1, 32.783696284422035)	(2, 32.86453919554688)	(3, 32.86382817412561)	(4, 32.84743427611482)	(5, 32.88896421238945)	(6, 36.57856576260695)	(7, 36.76926765635386)	(8, 36.87545143827512)	(9, 36.92009679319238)	(10, 36.95980063340953)	(12, 36.948986317467416)	(14, 36.92988652558288)	(16, 36.939407730940964)	(18, 36.95988467086639)	(20, 36.96050618327685)	(22, 36.95625380378222)	(24, 36.95361833862858)	(26, 36.929268801171304)	(28, 36.92293737147109)	(30, 36.91409912828325)	(32, 36.87377910691332)	(34, 36.89021860120705)	(36, 36.8987459478934)	(38, 36.88061013157825)	(40, 36.86590231396225)	(42, 36.876785936254436)	(44, 36.88503325161544)	(46, 36.87993236036945)	(48, 36.878602772759066)	(50, 36.884079657968954)	(52, 36.87635985652744)	(54, 36.86061903758453)	(56, 36.851535416246364)	(58, 36.847176411597786)	(60, 36.83492939029773)	(62, 36.83142184362187)	(64, 36.8352262571737)	(66, 36.82610461555038)	(68, 36.825465004923)	(70, 36.81436771143417)	(72, 36.80130795392783)	(74, 36.79388600143608)	(76, 36.71822872049535)	(78, 36.74154273129311)	(80, 36.743046987741195)	(82, 36.73172255461523)	(84, 36.707949494470505)	(86, 36.697853775947436)	(88, 36.6838332696856)	(90, 36.67135546104576)	(92, 36.63948267720048)	(94, 36.62158943311053)	(96, 36.614693591575715)	(98, 36.58630310108036)	(100, 36.582893902079384)
IPF_SRR21498185	(1, 32.75702563195383)	(2, 32.839615472949575)	(3, 32.84582457417024)	(4, 32.82386405611359)	(5, 32.86452499998744)	(6, 36.560461217365784)	(7, 36.773726380413116)	(8, 36.895746903867234)	(9, 36.952547239173775)	(10, 36.982608737167816)	(12, 36.97257617645005)	(14, 36.95861386526728)	(16, 36.967748732172396)	(18, 36.98903092288201)	(20, 36.98959328502413)	(22, 36.98734182622457)	(24, 36.98575085397128)	(26, 36.95801644972086)	(28, 36.95330170402262)	(30, 36.94370347885564)	(32, 36.906618233499394)	(34, 36.92362943701971)	(36, 36.933284325575016)	(38, 36.915767297661446)	(40, 36.90382652509949)	(42, 36.911770455734455)	(44, 36.91913053988273)	(46, 36.91456794354869)	(48, 36.915471291136235)	(50, 36.92066962304649)	(52, 36.9115686787907)	(54, 36.896241169431825)	(56, 36.891114703282355)	(58, 36.88440178789951)	(60, 36.87008278634109)	(62, 36.868916852319884)	(64, 36.87212153756544)	(66, 36.862736648170866)	(68, 36.86179435235631)	(70, 36.851510387115226)	(72, 36.84012644855994)	(74, 36.830986681716595)	(76, 36.754292848452195)	(78, 36.77586124581055)	(80, 36.77805415663017)	(82, 36.76603963371579)	(84, 36.74566493669531)	(86, 36.73383409864505)	(88, 36.72319130715778)	(90, 36.710987822522725)	(92, 36.67515796647035)	(94, 36.65759269301108)	(96, 36.652796658593914)	(98, 36.62321058024817)	(100, 36.623443767052414)
IPF_SRR21498200	(1, 32.89564051375465)	(2, 32.917668410558264)	(3, 32.88427047403689)	(4, 32.91996456990025)	(5, 32.95873922736529)	(6, 36.62229165016691)	(7, 36.78199807434555)	(8, 36.862842485653935)	(9, 36.867147746489685)	(10, 36.93326997426493)	(12, 36.912125098960615)	(14, 36.86280045868567)	(16, 36.941110962423636)	(18, 36.96054911799504)	(20, 36.96480992431201)	(22, 36.922732887817126)	(24, 36.95013674695487)	(26, 36.95278945277853)	(28, 36.93942472514818)	(30, 36.93881025142444)	(32, 36.94649602807219)	(34, 36.874383667682906)	(36, 36.90512920182442)	(38, 36.90697247127373)	(40, 36.90361441030398)	(42, 36.89269286054359)	(44, 36.88113134777908)	(46, 36.850625230806955)	(48, 36.82201821694594)	(50, 36.86731494403131)	(52, 36.89265857139259)	(54, 36.85297676864503)	(56, 36.868935485720996)	(58, 36.86916352374736)	(60, 36.81834169169319)	(62, 36.849763753818465)	(64, 36.85236502591562)	(66, 36.84126626496774)	(68, 36.84459731943804)	(70, 36.640347315720845)	(72, 36.72268861536463)	(74, 36.76990143841471)	(76, 36.77633884721088)	(78, 36.770028884816675)	(80, 36.67023668314063)	(82, 36.696951876542066)	(84, 36.70528838844935)	(86, 36.70954585688436)	(88, 36.69566861265184)	(90, 36.669801241267265)	(92, 36.65127584468896)	(94, 36.61966534395508)	(96, 36.55554053508675)	(98, 36.51339810644991)	(100, 36.550346335597325)
IPF_SRR21498230	(1, 32.830985881955776)	(2, 32.86143643070274)	(3, 32.834404934568916)	(4, 32.864304381668184)	(5, 32.90489435410517)	(6, 36.58649332672258)	(7, 36.78192037361676)	(8, 36.8700667407113)	(9, 36.88875419279086)	(10, 36.93227151241024)	(12, 36.91760831938603)	(14, 36.865492967435)	(16, 36.93945964523129)	(18, 36.96259162759392)	(20, 36.966489157081696)	(22, 36.92054995340902)	(24, 36.95086530631251)	(26, 36.95098462788865)	(28, 36.94133598363045)	(30, 36.93745194726992)	(32, 36.947402731749754)	(34, 36.8726591408529)	(36, 36.901112839054505)	(38, 36.90666327662869)	(40, 36.90221583606326)	(42, 36.89099696219438)	(44, 36.879966595250096)	(46, 36.8506404737728)	(48, 36.82410597449217)	(50, 36.86963509292532)	(52, 36.89570090446284)	(54, 36.858603138554315)	(56, 36.86974396394213)	(58, 36.87163948374766)	(60, 36.82057223029752)	(62, 36.85282702181283)	(64, 36.85441682968657)	(66, 36.84669637976751)	(68, 36.848931873465155)	(70, 36.648449269281016)	(72, 36.72960077275933)	(74, 36.77967958849666)	(76, 36.79714154713784)	(78, 36.79517009542022)	(80, 36.69444747231395)	(82, 36.72026895242006)	(84, 36.7290480836849)	(86, 36.73466122461507)	(88, 36.72050137815098)	(90, 36.69694370085261)	(92, 36.67611996924625)	(94, 36.642255923879716)	(96, 36.58087701093896)	(98, 36.54171678084674)	(100, 36.57679996994472)
IPF_SRR21498285	(1, 32.82834307336229)	(2, 32.916157317435555)	(3, 32.93008892543352)	(4, 32.91640083618196)	(5, 32.955648445437745)	(6, 36.66654995356707)	(7, 36.874031818341074)	(8, 36.97435245856613)	(9, 37.027585310499376)	(10, 37.056954731032896)	(12, 37.05298781930476)	(14, 37.04089255027278)	(16, 37.04545268750835)	(18, 37.064740302179516)	(20, 37.064180382077886)	(22, 37.0633620206779)	(24, 37.05868704467293)	(26, 37.036098842658774)	(28, 37.028851456592456)	(30, 37.01694563908964)	(32, 36.97895033471933)	(34, 36.99523592122104)	(36, 37.003007434891174)	(38, 36.98536876221108)	(40, 36.97199696618031)	(42, 36.98051071460857)	(44, 36.988494279904685)	(46, 36.98302527274748)	(48, 36.98255175205899)	(50, 36.98934021558546)	(52, 36.980165225090474)	(54, 36.96508393178534)	(56, 36.95736853988669)	(58, 36.9500158308812)	(60, 36.934062974034326)	(62, 36.935958462535964)	(64, 36.93627994620961)	(66, 36.92531489828659)	(68, 36.92323244534778)	(70, 36.91343449237587)	(72, 36.902030094245646)	(74, 36.89115858260844)	(76, 36.814989660185375)	(78, 36.83698863766617)	(80, 36.83769616127083)	(82, 36.82584376217864)	(84, 36.804552092033646)	(86, 36.79480799001011)	(88, 36.78159428652251)	(90, 36.770137767594875)	(92, 36.73410996925954)	(94, 36.71608471597625)	(96, 36.71253758212269)	(98, 36.68332127994837)	(100, 36.68063965410822)
IPF_SRR21498410	(1, 32.836798682632036)	(2, 32.85554235440826)	(3, 32.831236199201655)	(4, 32.86474885507162)	(5, 32.906068510296414)	(6, 36.59963288360227)	(7, 36.7856856949942)	(8, 36.874374686296264)	(9, 36.89722993465721)	(10, 36.94902101331287)	(12, 36.92777117720412)	(14, 36.87870430322104)	(16, 36.9514962765641)	(18, 36.97880864490961)	(20, 36.98752737056057)	(22, 36.94127653810854)	(24, 36.97142675201911)	(26, 36.97447642882845)	(28, 36.96171283827298)	(30, 36.96237981067745)	(32, 36.971563352126196)	(34, 36.895253853826915)	(36, 36.92406651298914)	(38, 36.92962986280497)	(40, 36.927600643666636)	(42, 36.916437700243335)	(44, 36.90609450186013)	(46, 36.87357010300168)	(48, 36.85405852491522)	(50, 36.89882408389846)	(52, 36.92171730882194)	(54, 36.88479253822637)	(56, 36.897183005444944)	(58, 36.898454859296116)	(60, 36.84992427791104)	(62, 36.881279922787726)	(64, 36.88624763260174)	(66, 36.87576581254538)	(68, 36.875480771729954)	(70, 36.67107791635453)	(72, 36.75808539788174)	(74, 36.809904489667204)	(76, 36.82912741699883)	(78, 36.82767217822588)	(80, 36.72438719112637)	(82, 36.75431329999867)	(84, 36.76602610939214)	(86, 36.77155538138)	(88, 36.76067921154303)	(90, 36.73220704186548)	(92, 36.71130996903538)	(94, 36.67940474698368)	(96, 36.617469305407226)	(98, 36.57622242656083)	(100, 36.60981551188075)
IPF_SRR21498439	(1, 32.909149660004594)	(2, 32.93840680947793)	(3, 32.90555830901982)	(4, 32.945699387470704)	(5, 32.98630802975159)	(6, 36.6787490910122)	(7, 36.854118903579064)	(8, 36.93483170360411)	(9, 36.948616123302166)	(10, 37.00239571081812)	(12, 36.98470508034832)	(14, 36.944234521510595)	(16, 37.01366523965674)	(18, 37.03850209443785)	(20, 37.04554789442686)	(22, 37.000021266327074)	(24, 37.03190096744066)	(26, 37.036040369396105)	(28, 37.02078857312988)	(30, 37.022697669033334)	(32, 37.035039965926615)	(34, 36.95929181949378)	(36, 36.992432584266346)	(38, 36.997300653289756)	(40, 36.992661788013706)	(42, 36.98237449765686)	(44, 36.966779781866556)	(46, 36.9360236517001)	(48, 36.91419051793549)	(50, 36.960132134778895)	(52, 36.988889230200314)	(54, 36.949376246812264)	(56, 36.96440607578964)	(58, 36.96359736462949)	(60, 36.917102823282136)	(62, 36.95044414133365)	(64, 36.953934034216346)	(66, 36.944353258503426)	(68, 36.94536119379708)	(70, 36.742124222523756)	(72, 36.82855397246129)	(74, 36.88227566830909)	(76, 36.90137918038394)	(78, 36.90132645761473)	(80, 36.79784554384791)	(82, 36.83043604240741)	(84, 36.83837458508509)	(86, 36.84508824639639)	(88, 36.833741774804956)	(90, 36.80899899398459)	(92, 36.793024881011945)	(94, 36.76038978223872)	(96, 36.699161368299116)	(98, 36.65517315220724)	(100, 36.69737868889549)
IPF_SRR21498445	(1, 32.89313768071901)	(2, 32.92524573930806)	(3, 32.896444247454404)	(4, 32.93123716826491)	(5, 32.97009236625719)	(6, 36.664590859431634)	(7, 36.8445039038122)	(8, 36.92225284132601)	(9, 36.93682539353125)	(10, 36.986311234707536)	(12, 36.974868254676494)	(14, 36.9212353449541)	(16, 36.991564000432845)	(18, 37.01837081991174)	(20, 37.02857869216732)	(22, 36.9824252109037)	(24, 37.01149738288193)	(26, 37.01698154601932)	(28, 37.005899966943225)	(30, 37.00085043366632)	(32, 37.010972625137676)	(34, 36.938100080492504)	(36, 36.96665475832238)	(38, 36.97484735330872)	(40, 36.96963179498278)	(42, 36.959482624440966)	(44, 36.94494979965816)	(46, 36.91446597005323)	(48, 36.89261396063131)	(50, 36.93764380808098)	(52, 36.96242023015222)	(54, 36.929607009814745)	(56, 36.937059459203056)	(58, 36.94035935528916)	(60, 36.88787187016841)	(62, 36.91923578076985)	(64, 36.921954144474405)	(66, 36.91441868256159)	(68, 36.91403682494882)	(70, 36.71139954669232)	(72, 36.79853141949934)	(74, 36.8497065655495)	(76, 36.87014484203161)	(78, 36.86328237451397)	(80, 36.764666904833554)	(82, 36.79184298180988)	(84, 36.80129069651955)	(86, 36.80635683230136)	(88, 36.79486078354929)	(90, 36.767591613956185)	(92, 36.75086192200677)	(94, 36.718246449361615)	(96, 36.657115433362435)	(98, 36.618429966335455)	(100, 36.6544075944601)
IPF_SRR21498583	(1, 32.76284359193415)	(2, 32.84233103965316)	(3, 32.855274398926)	(4, 32.83573525622771)	(5, 32.878086007194874)	(6, 36.59075946191503)	(7, 36.812472031243644)	(8, 36.91451028765926)	(9, 36.96380164897007)	(10, 37.006201799299106)	(12, 36.99651068576)	(14, 36.975477575595555)	(16, 36.9934310956391)	(18, 37.00816094408961)	(20, 37.00678260503176)	(22, 37.005060407670655)	(24, 37.00266853415627)	(26, 36.97551740988491)	(28, 36.966327675653474)	(30, 36.95623543445286)	(32, 36.91594420099922)	(34, 36.931347600062765)	(36, 36.93891490427178)	(38, 36.92423736102797)	(40, 36.90886023564464)	(42, 36.91412138876136)	(44, 36.922752958634334)	(46, 36.91497352775372)	(48, 36.914630274834806)	(50, 36.918523501504254)	(52, 36.90645552798232)	(54, 36.891407247370694)	(56, 36.88370918014495)	(58, 36.87598048047175)	(60, 36.86084696174552)	(62, 36.85886287512035)	(64, 36.85903952626981)	(66, 36.848533565413476)	(68, 36.84595898690627)	(70, 36.83337728423618)	(72, 36.81950018016238)	(74, 36.8096469446979)	(76, 36.717207056941)	(78, 36.743958022165785)	(80, 36.74420199205348)	(82, 36.73147911375608)	(84, 36.7069100747577)	(86, 36.69757250567124)	(88, 36.68427487548455)	(90, 36.672092000015496)	(92, 36.63582681455479)	(94, 36.618687294290396)	(96, 36.61075603301815)	(98, 36.58373542960979)	(100, 36.58530325396502)
IPF_SRR21498648	(1, 32.96364929740468)	(2, 33.0000354745089)	(3, 32.97438713784994)	(4, 33.01650551548596)	(5, 33.05492307499445)	(6, 36.754243271379195)	(7, 36.929128332636736)	(8, 37.003030536617295)	(9, 37.02262793561563)	(10, 37.07307055346369)	(12, 37.05330365032697)	(14, 37.01151134477462)	(16, 37.07876954665444)	(18, 37.103500080417774)	(20, 37.111035479576685)	(22, 37.065237088412346)	(24, 37.093339167511964)	(26, 37.09744967620842)	(28, 37.08540061256208)	(30, 37.083643424106285)	(32, 37.09444781259644)	(34, 37.01789248876618)	(36, 37.04900843413117)	(38, 37.05609960175196)	(40, 37.050497563328)	(42, 37.04162613548435)	(44, 37.028499633652345)	(46, 36.994977156283355)	(48, 36.97394677383347)	(50, 37.019036608359556)	(52, 37.04549459067084)	(54, 37.00794348937405)	(56, 37.02056414604722)	(58, 37.020828337784536)	(60, 36.971350599905946)	(62, 37.002540561633495)	(64, 37.007434976958905)	(66, 36.996520564146046)	(68, 36.99706068354844)	(70, 36.79619721266381)	(72, 36.87995386180038)	(74, 36.93186587114859)	(76, 36.952345598533654)	(78, 36.951928306284245)	(80, 36.85138394594432)	(82, 36.877951019038605)	(84, 36.88971348599464)	(86, 36.89409912217927)	(88, 36.88289704577359)	(90, 36.85735073166842)	(92, 36.84274243559443)	(94, 36.808697576077485)	(96, 36.75045229998845)	(98, 36.710844077264014)	(100, 36.74985670165485)
