Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
IPF_SRR21498155	(13.0, 1.0)	(14.0, 63.0)	(15.0, 1857.0)	(16.0, 6026.0)	(17.0, 5313.0)	(18.0, 3482.0)	(19.0, 2583.0)	(20.0, 2309.0)	(21.0, 2469.0)	(22.0, 2941.0)	(23.0, 4049.0)	(24.0, 5714.0)	(25.0, 8075.0)	(26.0, 11526.0)	(27.0, 15662.0)	(28.0, 20794.0)	(29.0, 27294.0)	(30.0, 34883.0)	(31.0, 44906.0)	(32.0, 58419.0)	(33.0, 76223.0)	(34.0, 105256.0)	(35.0, 160168.0)	(36.0, 326123.0)	(37.0, 2637751.0)
IPF_SRR21498185	(14.0, 74.0)	(15.0, 1929.0)	(16.0, 5115.0)	(17.0, 4400.0)	(18.0, 2763.0)	(19.0, 2164.0)	(20.0, 1823.0)	(21.0, 2097.0)	(22.0, 2640.0)	(23.0, 3909.0)	(24.0, 5604.0)	(25.0, 8488.0)	(26.0, 12072.0)	(27.0, 16911.0)	(28.0, 22963.0)	(29.0, 30445.0)	(30.0, 39475.0)	(31.0, 51413.0)	(32.0, 66262.0)	(33.0, 87486.0)	(34.0, 120807.0)	(35.0, 183630.0)	(36.0, 372020.0)	(37.0, 2935152.0)	
IPF_SRR21498200	(14.0, 204.0)	(15.0, 3040.0)	(16.0, 5140.0)	(17.0, 3491.0)	(18.0, 2293.0)	(19.0, 1678.0)	(20.0, 1515.0)	(21.0, 1794.0)	(22.0, 2247.0)	(23.0, 3472.0)	(24.0, 5017.0)	(25.0, 7362.0)	(26.0, 10220.0)	(27.0, 14088.0)	(28.0, 18879.0)	(29.0, 24632.0)	(30.0, 32417.0)	(31.0, 41891.0)	(32.0, 54748.0)	(33.0, 71304.0)	(34.0, 99355.0)	(35.0, 154470.0)	(36.0, 341900.0)	(37.0, 2394346.0)	
IPF_SRR21498230	(14.0, 154.0)	(15.0, 2229.0)	(16.0, 3822.0)	(17.0, 2677.0)	(18.0, 1695.0)	(19.0, 1395.0)	(20.0, 1381.0)	(21.0, 1622.0)	(22.0, 2239.0)	(23.0, 3596.0)	(24.0, 5295.0)	(25.0, 7963.0)	(26.0, 11424.0)	(27.0, 16079.0)	(28.0, 22169.0)	(29.0, 28838.0)	(30.0, 38038.0)	(31.0, 49997.0)	(32.0, 64934.0)	(33.0, 86042.0)	(34.0, 120817.0)	(35.0, 188028.0)	(36.0, 416802.0)	(37.0, 2702466.0)	
IPF_SRR21498285	(14.0, 55.0)	(15.0, 1639.0)	(16.0, 4585.0)	(17.0, 3606.0)	(18.0, 2232.0)	(19.0, 1724.0)	(20.0, 1610.0)	(21.0, 1745.0)	(22.0, 2400.0)	(23.0, 3949.0)	(24.0, 5921.0)	(25.0, 8834.0)	(26.0, 12985.0)	(27.0, 18187.0)	(28.0, 24772.0)	(29.0, 33352.0)	(30.0, 43617.0)	(31.0, 56691.0)	(32.0, 73469.0)	(33.0, 97526.0)	(34.0, 135970.0)	(35.0, 208177.0)	(36.0, 429202.0)	(37.0, 3451626.0)	
IPF_SRR21498410	(14.0, 94.0)	(15.0, 1373.0)	(16.0, 2649.0)	(17.0, 2097.0)	(18.0, 1625.0)	(19.0, 1351.0)	(20.0, 1321.0)	(21.0, 1619.0)	(22.0, 2209.0)	(23.0, 3360.0)	(24.0, 4916.0)	(25.0, 7404.0)	(26.0, 10624.0)	(27.0, 14597.0)	(28.0, 19544.0)	(29.0, 26304.0)	(30.0, 34078.0)	(31.0, 44342.0)	(32.0, 59352.0)	(33.0, 79063.0)	(34.0, 110011.0)	(35.0, 170690.0)	(36.0, 370455.0)	(37.0, 2493584.0)	
IPF_SRR21498439	(14.0, 123.0)	(15.0, 1475.0)	(16.0, 2710.0)	(17.0, 1950.0)	(18.0, 1314.0)	(19.0, 1004.0)	(20.0, 1062.0)	(21.0, 1312.0)	(22.0, 1692.0)	(23.0, 2793.0)	(24.0, 4448.0)	(25.0, 6492.0)	(26.0, 9401.0)	(27.0, 13472.0)	(28.0, 18167.0)	(29.0, 24278.0)	(30.0, 31503.0)	(31.0, 41210.0)	(32.0, 54151.0)	(33.0, 71802.0)	(34.0, 100537.0)	(35.0, 156106.0)	(36.0, 344721.0)	(37.0, 2493911.0)	
IPF_SRR21498445	(14.0, 101.0)	(15.0, 1508.0)	(16.0, 2799.0)	(17.0, 2088.0)	(18.0, 1429.0)	(19.0, 1137.0)	(20.0, 1211.0)	(21.0, 1400.0)	(22.0, 1995.0)	(23.0, 2986.0)	(24.0, 4509.0)	(25.0, 6673.0)	(26.0, 9716.0)	(27.0, 13612.0)	(28.0, 18221.0)	(29.0, 24565.0)	(30.0, 31786.0)	(31.0, 41823.0)	(32.0, 55170.0)	(33.0, 73017.0)	(34.0, 102342.0)	(35.0, 159403.0)	(36.0, 351189.0)	(37.0, 2464305.0)	
IPF_SRR21498583	(14.0, 106.0)	(15.0, 2713.0)	(16.0, 6655.0)	(17.0, 4810.0)	(18.0, 2768.0)	(19.0, 1891.0)	(20.0, 1699.0)	(21.0, 1879.0)	(22.0, 2621.0)	(23.0, 3934.0)	(24.0, 5939.0)	(25.0, 8796.0)	(26.0, 12694.0)	(27.0, 17884.0)	(28.0, 24371.0)	(29.0, 31905.0)	(30.0, 41386.0)	(31.0, 53338.0)	(32.0, 69703.0)	(33.0, 90870.0)	(34.0, 124252.0)	(35.0, 188227.0)	(36.0, 376897.0)	(37.0, 3054270.0)	
IPF_SRR21498648	(13.0, 1.0)	(14.0, 104.0)	(15.0, 1427.0)	(16.0, 2350.0)	(17.0, 1507.0)	(18.0, 943.0)	(19.0, 728.0)	(20.0, 696.0)	(21.0, 980.0)	(22.0, 1569.0)	(23.0, 2603.0)	(24.0, 4091.0)	(25.0, 6536.0)	(26.0, 9503.0)	(27.0, 13603.0)	(28.0, 18592.0)	(29.0, 24945.0)	(30.0, 32905.0)	(31.0, 43348.0)	(32.0, 57529.0)	(33.0, 76130.0)	(34.0, 108391.0)	(35.0, 168923.0)	(36.0, 381282.0)	(37.0, 2790485.0)
IPF_SRR21498668	(13.0, 1.0)	(14.0, 65.0)	(15.0, 1415.0)	(16.0, 3699.0)	(17.0, 2896.0)	(18.0, 1787.0)	(19.0, 1319.0)	(20.0, 1236.0)	(21.0, 1409.0)	(22.0, 2104.0)	(23.0, 3424.0)	(24.0, 5456.0)	(25.0, 8595.0)	(26.0, 12695.0)	(27.0, 18152.0)	(28.0, 24610.0)	(29.0, 32871.0)	(30.0, 42727.0)	(31.0, 55803.0)	(32.0, 72960.0)	(33.0, 96418.0)	(34.0, 133731.0)	(35.0, 203890.0)	(36.0, 417180.0)	(37.0, 3495692.0)
IPF_SRR21498793	(14.0, 81.0)	(15.0, 1169.0)	(16.0, 2115.0)	(17.0, 1478.0)	(18.0, 920.0)	(19.0, 695.0)	(20.0, 722.0)	(21.0, 936.0)	(22.0, 1555.0)	(23.0, 2741.0)	(24.0, 4512.0)	(25.0, 6880.0)	(26.0, 10227.0)	(27.0, 14767.0)	(28.0, 20121.0)	(29.0, 27395.0)	(30.0, 36043.0)	(31.0, 47236.0)	(32.0, 62560.0)	(33.0, 83182.0)	(34.0, 116410.0)	(35.0, 181951.0)	(36.0, 400780.0)	(37.0, 2803506.0)	
NDC_SRR21498140	(14.0, 38.0)	(15.0, 1090.0)	(16.0, 3299.0)	(17.0, 2673.0)	(18.0, 1711.0)	(19.0, 1331.0)	(20.0, 1203.0)	(21.0, 1407.0)	(22.0, 1846.0)	(23.0, 2984.0)	(24.0, 4615.0)	(25.0, 7251.0)	(26.0, 10708.0)	(27.0, 14876.0)	(28.0, 20621.0)	(29.0, 27138.0)	(30.0, 35747.0)	(31.0, 46164.0)	(32.0, 60574.0)	(33.0, 79910.0)	(34.0, 110300.0)	(35.0, 169635.0)	(36.0, 348236.0)	(37.0, 2843331.0)	
NDC_SRR21498150	(14.0, 93.0)	(15.0, 2948.0)	(16.0, 8828.0)	(17.0, 7581.0)	(18.0, 4878.0)	(19.0, 3489.0)	(20.0, 3049.0)	(21.0, 3146.0)	(22.0, 3804.0)	(23.0, 4980.0)	(24.0, 6696.0)	(25.0, 9374.0)	(26.0, 12824.0)	(27.0, 17141.0)	(28.0, 22140.0)	(29.0, 29057.0)	(30.0, 36670.0)	(31.0, 46744.0)	(32.0, 59806.0)	(33.0, 78762.0)	(34.0, 108011.0)	(35.0, 163960.0)	(36.0, 327584.0)	(37.0, 2621003.0)	
NDC_SRR21498190	(14.0, 94.0)	(15.0, 1602.0)	(16.0, 2811.0)	(17.0, 2130.0)	(18.0, 1415.0)	(19.0, 1244.0)	(20.0, 1163.0)	(21.0, 1423.0)	(22.0, 2030.0)	(23.0, 3169.0)	(24.0, 4606.0)	(25.0, 6785.0)	(26.0, 9861.0)	(27.0, 13554.0)	(28.0, 18115.0)	(29.0, 23524.0)	(30.0, 31073.0)	(31.0, 40363.0)	(32.0, 52520.0)	(33.0, 69793.0)	(34.0, 97497.0)	(35.0, 152925.0)	(36.0, 342067.0)	(37.0, 2409195.0)	
