Sample	Unique Reads	Duplicate Reads
IPF_SRR21498165	1976504.0	827435.0
IPF_SRR21498185	2532923.0	1446719.0
IPF_SRR21498200	2390453.0	905050.0
IPF_SRR21498205	2077250.0	1315044.0
IPF_SRR21498230	2526651.0	1253051.0
IPF_SRR21498265	2216501.0	1160567.0
IPF_SRR21498280	3371344.0	1972546.0
IPF_SRR21498285	3035288.0	1588586.0
IPF_SRR21498295	1808459.0	693601.0
IPF_SRR21498340	2214680.0	869100.0
IPF_SRR21498365	2221322.0	1279822.0
IPF_SRR21498375	2507531.0	1351710.0
IPF_SRR21498421	2281002.0	1002442.0
IPF_SRR21498538	2664204.0	1123404.0
IPF_SRR21498628	2474660.0	965914.0
IPF_SRR21498633	2630795.0	1242653.0
IPF_SRR21498643	2389000.0	1277812.0
IPF_SRR21498668	3033663.0	1606472.0
IPF_SRR21498748	2525477.0	1091766.0
IPF_SRR21498828	2575271.0	1175415.0
NDC_SRR21498140	2452986.0	1343702.0
NDC_SRR21498150	2468135.0	1114433.0
NDC_SRR21498180	1633588.0	787323.0
NDC_SRR21498190	2262061.0	1026898.0
NDC_SRR21498195	2326389.0	858692.0
NDC_SRR21498225	2324131.0	1193374.0
NDC_SRR21498320	2297518.0	1057724.0
NDC_SRR21498385	2404720.0	1025985.0
NDC_SRR21498400	2464650.0	1101014.0
NDC_SRR21498523	3161128.0	1912472.0
NDC_SRR21498578	2400423.0	1281090.0
NDC_SRR21498623	2170041.0	1619785.0
NDC_SRR21498663	2211164.0	1360806.0
NDC_SRR21498728	1855161.0	1299596.0
