Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IPF_SRR21498155	(1.0, 58.712247551706085)	(2.0, 11.771148349926191)	(3.0, 5.018590535579499)	(4.0, 2.9724767299095074)	(5.0, 2.052977003779712)	(6.0, 1.5158854550542908)	(7.0, 1.2503299542947848)	(8.0, 0.9846559579121817)	(9.0, 0.859166044537603)	('>10', 9.427432335023708)	('>50', 2.5592941059921825)	('>100', 2.712017338568619)	('>500', 0.1637786377155892)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498185	(1.0, 53.58627131617365)	(2.0, 11.891747005554494)	(3.0, 5.03318178210406)	(4.0, 2.9756697752076606)	(5.0, 2.0273954083856323)	(6.0, 1.5143569366664018)	(7.0, 1.22537962632858)	(8.0, 0.9715101546985365)	(9.0, 0.8315744746400612)	('>10', 10.538625807954512)	('>50', 3.5776404231491545)	('>100', 5.129720990194581)	('>500', 0.6088328833905833)	('>1k', 0.08809341555213603)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498200	(1.0, 63.2565269022911)	(2.0, 11.299538581316773)	(3.0, 4.6256862552562845)	(4.0, 2.665406969281207)	(5.0, 1.9367310017771902)	(6.0, 1.320775116983882)	(7.0, 1.1076225685066914)	(8.0, 0.8452679415200858)	(9.0, 0.7084497454713915)	('>10', 7.673881262537111)	('>50', 2.1824530414417587)	('>100', 2.29614940554679)	('>500', 0.029977639372159366)	('>1k', 0.0515335686975762)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498230	(1.0, 56.95979098904338)	(2.0, 11.51500295402643)	(3.0, 5.0520895970757405)	(4.0, 2.9731659686077623)	(5.0, 1.9976278586465952)	(6.0, 1.56518336444369)	(7.0, 1.3014934594025382)	(8.0, 1.0543242972906133)	(9.0, 0.9329632391890016)	('>10', 10.337373641364426)	('>50', 3.022926768521572)	('>100', 3.1376231839848465)	('>500', 0.15043467840334873)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498285	(1.0, 55.51290231293407)	(2.0, 11.843281192317015)	(3.0, 5.168955862894183)	(4.0, 3.061783291695855)	(5.0, 2.179248378280118)	(6.0, 1.5777630471917132)	(7.0, 1.3140263949265616)	(8.0, 1.0797997960426091)	(9.0, 0.8116478991190076)	('>10', 9.890861946722062)	('>50', 2.9244064966417618)	('>100', 4.12635376195358)	('>500', 0.480131036330459)	('>1k', 0.02883858295086297)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498410	(1.0, 57.006478065925684)	(2.0, 11.857739155993647)	(3.0, 5.20886123853318)	(4.0, 3.090939345078101)	(5.0, 2.10939232479395)	(6.0, 1.567718916253684)	(7.0, 1.2308668175510584)	(8.0, 0.9750316952040428)	(9.0, 0.8624223990445289)	('>10', 9.438204875763434)	('>50', 2.9037981388723315)	('>100', 3.452418411766401)	('>500', 0.29612861521996553)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498439	(1.0, 57.80575702715998)	(2.0, 10.865416476972733)	(3.0, 4.475778067914633)	(4.0, 2.5965365908937676)	(5.0, 1.8397198250987592)	(6.0, 1.4148944796602567)	(7.0, 1.1158419331485907)	(8.0, 0.9582169326753145)	(9.0, 0.7644746727501138)	('>10', 9.376191891818156)	('>50', 3.016437943482796)	('>100', 4.601354603311777)	('>500', 0.7039884983063284)	('>1k', 0.46539105680679554)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498445	(1.0, 60.357417806874025)	(2.0, 11.520820865098157)	(3.0, 4.9019181332583805)	(4.0, 2.8238795919914406)	(5.0, 1.9915053259641915)	(6.0, 1.4372258923497576)	(7.0, 1.2067562845142537)	(8.0, 0.9011493886337971)	(9.0, 0.8246611917211923)	('>10', 8.631289758472537)	('>50', 2.591615863205104)	('>100', 2.6874913347604887)	('>500', 0.12426856315665506)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498583	(1.0, 56.684505934954174)	(2.0, 12.134611264200423)	(3.0, 5.3349205519327)	(4.0, 3.097289573720286)	(5.0, 2.2253915754566673)	(6.0, 1.5617222340705013)	(7.0, 1.237686389531241)	(8.0, 1.0894628268855577)	(9.0, 0.8958980934325846)	('>10', 10.307954539576002)	('>50', 2.487648163138411)	('>100', 2.7980985340340467)	('>500', 0.09407226742425093)	('>1k', 0.050738051643172376)	('>5k', 0.0)	('>10k+', 0.0)
IPF_SRR21498648	(1.0, 59.160982426386724)	(2.0, 12.02391341761732)	(3.0, 5.207130032432538)	(4.0, 3.0387332952506516)	(5.0, 2.048500601836322)	(6.0, 1.5052511159370947)	(7.0, 1.22510768587039)	(8.0, 1.0285819447062472)	(9.0, 0.8000432509398343)	('>10', 9.141011434117985)	('>50', 2.40597137727033)	('>100', 2.3533614822147233)	('>500', 0.06141193541990443)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
