Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
IPF_SRR21498155	IPF_SRR21498155.fastq	Conventional base calls	Sanger / Illumina 1.9	3563887.0	356.3 Mbp	0.0	100.0	49.0	68.64439705680002	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
IPF_SRR21498185	IPF_SRR21498185.fastq	Conventional base calls	Sanger / Illumina 1.9	3979642.0	397.9 Mbp	0.0	100.0	50.0	63.64700480132499	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
IPF_SRR21498200	IPF_SRR21498200.fastq	Conventional base calls	Sanger / Illumina 1.9	3295503.0	329.5 Mbp	0.0	100.0	48.0	72.536811050038	100.0	100	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
IPF_SRR21498230	IPF_SRR21498230.fastq	Conventional base calls	Sanger / Illumina 1.9	3779702.0	377.9 Mbp	0.0	100.0	49.0	66.84787710890193	100.0	100	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
IPF_SRR21498285	IPF_SRR21498285.fastq	Conventional base calls	Sanger / Illumina 1.9	4623874.0	462.3 Mbp	0.0	100.0	49.0	65.64381809155984	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
IPF_SRR21498410	IPF_SRR21498410.fastq	Conventional base calls	Sanger / Illumina 1.9	3462662.0	346.2 Mbp	0.0	100.0	49.0	67.10168700969751	100.0	100	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
IPF_SRR21498439	IPF_SRR21498439.fastq	Conventional base calls	Sanger / Illumina 1.9	3385634.0	338.5 Mbp	0.0	100.0	49.0	66.91973020854678	100.0	100	pass	pass	fail	pass	warn	warn	pass	pass	warn	pass	pass
IPF_SRR21498445	IPF_SRR21498445.fastq	Conventional base calls	Sanger / Illumina 1.9	3372985.0	337.2 Mbp	0.0	100.0	48.0	70.00076131111442	100.0	100	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
IPF_SRR21498583	IPF_SRR21498583.fastq	Conventional base calls	Sanger / Illumina 1.9	4129608.0	412.9 Mbp	0.0	100.0	48.0	67.04612842839182	100.0	100	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
IPF_SRR21498648	IPF_SRR21498648.fastq	Conventional base calls	Sanger / Illumina 1.9	3749171.0	374.9 Mbp	0.0	100.0	48.0	69.27443040344234	100.0	100	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	pass
