Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
IPF_SRR21498155	31.355602943199983	49.0	100.0	100	9.090909090909092	3.563887
IPF_SRR21498185	36.35299519867501	50.0	100.0	100	9.090909090909092	3.9796419999999997
IPF_SRR21498200	27.463188949962003	48.0	100.0	100	9.090909090909092	3.295503
IPF_SRR21498230	33.152122891098074	49.0	100.0	100	9.090909090909092	3.779702
IPF_SRR21498285	34.35618190844016	49.0	100.0	100	9.090909090909092	4.623874
IPF_SRR21498410	32.898312990302486	49.0	100.0	100	9.090909090909092	3.462662
IPF_SRR21498439	33.08026979145322	49.0	100.0	100	9.090909090909092	3.385634
IPF_SRR21498445	29.999238688885583	48.0	100.0	100	9.090909090909092	3.372985
IPF_SRR21498583	32.953871571608175	48.0	100.0	100	0.0	4.129608
IPF_SRR21498648	30.725569596557662	48.0	100.0	100	9.090909090909092	3.749171
IPF_SRR21498668	34.621247938061856	50.0	100.0	100	9.090909090909092	4.640135
IPF_SRR21498793	29.489618080539387	48.0	100.0	100	9.090909090909092	3.827982
NDC_SRR21498140	35.39143742574031	50.0	100.0	100	9.090909090909092	3.7966879999999996
NDC_SRR21498150	31.10711287048369	49.0	100.0	100	0.0	3.5825679999999998
NDC_SRR21498190	31.222608978134417	48.0	100.0	100	9.090909090909092	3.2889589999999997
NDC_SRR21498225	33.92673479360893	48.0	100.0	100	9.090909090909092	3.517505
NDC_SRR21498260	31.07871940007476	51.0	100.0	100	0.0	3.3939809999999997
NDC_SRR21498370	30.02925794274846	48.0	100.0	100	9.090909090909092	3.429957
NDC_SRR21498400	30.878258419335808	48.0	100.0	100	0.0	3.565664
NDC_SRR21498528	29.423034798869665	50.0	100.0	100	9.090909090909092	2.5201439999999997
NDC_SRR21498546	35.79983015350109	48.0	100.0	100	18.181818181818183	4.270824
NDC_SRR21498683	32.419502035410105	49.0	100.0	100	9.090909090909092	3.891861
NDC_SRR21498728	41.19481426899022	47.0	100.0	100	0.0	3.154757
NDC_SRR21498778	32.58704076016605	48.0	100.0	100	18.181818181818183	3.544866
