Module	Section	Sample Name	Source
FastQC	all_sections	IPF_SRR21498155	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498155_fastqc.zip
FastQC	all_sections	IPF_SRR21498185	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498185_fastqc.zip
FastQC	all_sections	IPF_SRR21498200	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498200_fastqc.zip
FastQC	all_sections	IPF_SRR21498230	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498230_fastqc.zip
FastQC	all_sections	IPF_SRR21498285	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498285_fastqc.zip
FastQC	all_sections	IPF_SRR21498410	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498410_fastqc.zip
FastQC	all_sections	IPF_SRR21498439	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498439_fastqc.zip
FastQC	all_sections	IPF_SRR21498445	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498445_fastqc.zip
FastQC	all_sections	IPF_SRR21498583	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498583_fastqc.zip
FastQC	all_sections	IPF_SRR21498648	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498648_fastqc.zip
FastQC	all_sections	IPF_SRR21498668	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498668_fastqc.zip
FastQC	all_sections	IPF_SRR21498793	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/IPF_SRR21498793_fastqc.zip
FastQC	all_sections	NDC_SRR21498140	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498140_fastqc.zip
FastQC	all_sections	NDC_SRR21498150	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498150_fastqc.zip
FastQC	all_sections	NDC_SRR21498190	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498190_fastqc.zip
FastQC	all_sections	NDC_SRR21498225	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498225_fastqc.zip
FastQC	all_sections	NDC_SRR21498260	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498260_fastqc.zip
FastQC	all_sections	NDC_SRR21498370	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498370_fastqc.zip
FastQC	all_sections	NDC_SRR21498400	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498400_fastqc.zip
FastQC	all_sections	NDC_SRR21498528	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498528_fastqc.zip
FastQC	all_sections	NDC_SRR21498546	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498546_fastqc.zip
FastQC	all_sections	NDC_SRR21498683	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498683_fastqc.zip
FastQC	all_sections	NDC_SRR21498728	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498728_fastqc.zip
FastQC	all_sections	NDC_SRR21498778	/export/space3/users/hectorjl/4to/transcriptomica_proyecto_final/data/raw_qcs/zips/NDC_SRR21498778_fastqc.zip
