"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","defense response to virus","27","591","185","12477","5.91e-7","1.79e-3","3.08","1.79e-3","1.78e-3","1.71e-7","ENSG00000187608,ENSG00000103490,ENSG00000121060,ENSG00000239839,ENSG00000111335,ENSG00000027697,ENSG00000204397,ENSG00000111331,ENSG00000138496,ENSG00000092929,ENSG00000119922,ENSG00000142748,ENSG00000163840,ENSG00000176171,ENSG00000180644,ENSG00000130303,ENSG00000152778,ENSG00000134321,ENSG00000138646,ENSG00000137752,ENSG00000157601,ENSG00000172936,ENSG00000164342,ENSG00000126709,ENSG00000088888,ENSG00000119917,ENSG00000185745"
"GOTERM_BP_DIRECT","signal transduction","81","591","999","12477","1.73e-6","2.54e-3","1.71","5.24e-3","2.53e-3","9.82e-7","ENSG00000149177,ENSG00000103490,ENSG00000066027,ENSG00000169583,ENSG00000170890,ENSG00000171388,ENSG00000027697,ENSG00000204397,ENSG00000008853,ENSG00000120907,ENSG00000139567,ENSG00000141574,ENSG00000128917,ENSG00000126458,ENSG00000140600,ENSG00000123143,ENSG00000180448,ENSG00000168539,ENSG00000140961,ENSG00000239697,ENSG00000143674,ENSG00000073008,ENSG00000001617,ENSG00000132669,ENSG00000172322,ENSG00000131370,ENSG00000138769,ENSG00000137752,ENSG00000150630,ENSG00000067606,ENSG00000119535,ENSG00000164342,ENSG00000102837,ENSG00000088888,ENSG00000185585,ENSG00000171509,ENSG00000164823,ENSG00000163219,ENSG00000013588,ENSG00000154146,ENSG00000155511,ENSG00000197471,ENSG00000105538,ENSG00000047365,ENSG00000133121,ENSG00000076641,ENSG00000114646,ENSG00000005844,ENSG00000137486,ENSG00000137962,ENSG00000006451,ENSG00000169248,ENSG00000169245,ENSG00000120217,ENSG00000033327,ENSG00000145555,ENSG00000103034,ENSG00000123094,ENSG00000133019,ENSG00000198431,ENSG00000071242,ENSG00000157927,ENSG00000198873,ENSG00000130669,ENSG00000115604,ENSG00000112576,ENSG00000115602,ENSG00000171132,ENSG00000113389,ENSG00000138669,ENSG00000116016,ENSG00000157601,ENSG00000172936,ENSG00000164161,ENSG00000164086,ENSG00000187266,ENSG00000182010,ENSG00000171608,ENSG00000078902,ENSG00000053747,ENSG00000127533"
"GOTERM_BP_DIRECT","innate immune response","39","591","364","12477","3.72e-6","2.54e-3","2.26","1.12e-2","2.53e-3","1.52e-6","ENSG00000177663,ENSG00000156587,ENSG00000187608,ENSG00000110446,ENSG00000103490,ENSG00000121060,ENSG00000239839,ENSG00000111335,ENSG00000196821,ENSG00000173369,ENSG00000111331,ENSG00000163220,ENSG00000163221,ENSG00000138496,ENSG00000119922,ENSG00000102921,ENSG00000163840,ENSG00000100342,ENSG00000068079,ENSG00000173193,ENSG00000130303,ENSG00000132109,ENSG00000173372,ENSG00000152778,ENSG00000134321,ENSG00000138646,ENSG00000157601,ENSG00000172936,ENSG00000163154,ENSG00000164342,ENSG00000143546,ENSG00000126709,ENSG00000088888,ENSG00000171608,ENSG00000168067,ENSG00000000938,ENSG00000162722,ENSG00000119917,ENSG00000078902"
"GOTERM_BP_DIRECT","angiogenesis","30","591","243","12477","4.09e-6","2.54e-3","2.61","1.23e-2","2.53e-3","1.42e-6","ENSG00000105974,ENSG00000149177,ENSG00000105538,ENSG00000166292,ENSG00000171388,ENSG00000005961,ENSG00000139567,ENSG00000154764,ENSG00000174804,ENSG00000172889,ENSG00000170989,ENSG00000128917,ENSG00000127329,ENSG00000140105,ENSG00000177283,ENSG00000163421,ENSG00000125266,ENSG00000120156,ENSG00000239697,ENSG00000132622,ENSG00000131477,ENSG00000154133,ENSG00000114019,ENSG00000113389,ENSG00000116016,ENSG00000150630,ENSG00000165197,ENSG00000163251,ENSG00000124440,ENSG00000162367"
"GOTERM_BP_DIRECT","G protein-coupled receptor signaling pathway","35","591","310","12477","4.19e-6","2.54e-3","2.38","1.26e-2","2.53e-3","1.60e-6","ENSG00000177464,ENSG00000105971,ENSG00000180772,ENSG00000132376,ENSG00000120907,ENSG00000170214,ENSG00000117114,ENSG00000122679,ENSG00000170989,ENSG00000169245,ENSG00000084234,ENSG00000169860,ENSG00000163421,ENSG00000168539,ENSG00000133019,ENSG00000131477,ENSG00000043591,ENSG00000069122,ENSG00000114812,ENSG00000198873,ENSG00000134243,ENSG00000169252,ENSG00000113389,ENSG00000171596,ENSG00000181072,ENSG00000139874,ENSG00000171873,ENSG00000174837,ENSG00000121797,ENSG00000171509,ENSG00000124126,ENSG00000125910,ENSG00000169418,ENSG00000013588,ENSG00000127533"
"GOTERM_BP_DIRECT","cholesterol biosynthetic process via lathosterol","8","591","19","12477","1.56e-5","7.88e-3","8.89","4.62e-2","7.85e-3","1.15e-6","ENSG00000052802,ENSG00000067064,ENSG00000112972,ENSG00000167508,ENSG00000147155,ENSG00000109929,ENSG00000172893,ENSG00000160752"
"GOTERM_BP_DIRECT","cholesterol biosynthetic process via desmosterol","8","591","20","12477","2.31e-5","9.97e-3","8.44","6.74e-2","9.93e-3","1.84e-6","ENSG00000052802,ENSG00000067064,ENSG00000112972,ENSG00000167508,ENSG00000147155,ENSG00000109929,ENSG00000172893,ENSG00000160752"
"GOTERM_BP_DIRECT","negative regulation of viral genome replication","10","591","38","12477","5.28e-5","2.00e-2","5.56","1.48e-1","1.99e-2","7.47e-6","ENSG00000187608,ENSG00000130303,ENSG00000088888,ENSG00000102921,ENSG00000152778,ENSG00000134321,ENSG00000111335,ENSG00000185745,ENSG00000111331,ENSG00000157601"
"GOTERM_BP_DIRECT","defense response to bacterium","15","591","92","12477","9.95e-5","3.35e-2","3.44","2.60e-1","3.33e-2","2.51e-5","ENSG00000197471,ENSG00000187608,ENSG00000103490,ENSG00000239839,ENSG00000111335,ENSG00000204397,ENSG00000137752,ENSG00000111331,ENSG00000172936,ENSG00000163220,ENSG00000164342,ENSG00000143546,ENSG00000163221,ENSG00000138772,ENSG00000088888"
"GOTERM_BP_DIRECT","vasculogenesis","11","591","53","12477","1.60e-4","4.85e-2","4.38","3.84e-1","4.82e-2","3.04e-5","ENSG00000173706,ENSG00000103241,ENSG00000131477,ENSG00000174804,ENSG00000172889,ENSG00000105974,ENSG00000149177,ENSG00000164690,ENSG00000105538,ENSG00000166292,ENSG00000112531"
"GOTERM_BP_DIRECT","antiviral innate immune response","12","591","67","12477","2.77e-4","7.50e-2","3.78","5.68e-1","7.47e-2","6.26e-5","ENSG00000119922,ENSG00000132109,ENSG00000088888,ENSG00000169245,ENSG00000121060,ENSG00000152778,ENSG00000136014,ENSG00000119917,ENSG00000111335,ENSG00000185745,ENSG00000111331,ENSG00000157601"
"GOTERM_BP_DIRECT","farnesyl diphosphate biosynthetic process, mevalonate pathway","5","591","8","12477","2.97e-4","7.50e-2","13.19","5.94e-1","7.47e-2","1.17e-5","ENSG00000067064,ENSG00000120437,ENSG00000112972,ENSG00000167508,ENSG00000160752"
"GOTERM_BP_DIRECT","positive regulation of inflammatory response","14","591","93","12477","4.13e-4","9.62e-2","3.18","7.14e-1","9.58e-2","1.14e-4","ENSG00000177464,ENSG00000177663,ENSG00000068079,ENSG00000245848,ENSG00000103490,ENSG00000115602,ENSG00000204397,ENSG00000137752,ENSG00000163220,ENSG00000164342,ENSG00000143546,ENSG00000163221,ENSG00000162545,ENSG00000056736"
