"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","plasma membrane","260","620","3637","13004","2.13e-14","1.05e-11","1.50","1.05e-11","1.03e-11","1.39e-14","ENSG00000104267,ENSG00000076944,ENSG00000106688,ENSG00000149177,ENSG00000169583,ENSG00000088808,ENSG00000154764,ENSG00000170214,ENSG00000171303,ENSG00000141574,ENSG00000174804,ENSG00000134470,ENSG00000115271,ENSG00000168497,ENSG00000128917,ENSG00000164690,ENSG00000084453,ENSG00000144285,ENSG00000277494,ENSG00000102882,ENSG00000074416,ENSG00000105227,ENSG00000134243,ENSG00000137752,ENSG00000119535,ENSG00000164342,ENSG00000167972,ENSG00000163251,ENSG00000184730,ENSG00000187688,ENSG00000187446,ENSG00000124440,ENSG00000143862,ENSG00000177663,ENSG00000137726,ENSG00000114646,ENSG00000174951,ENSG00000005844,ENSG00000110047,ENSG00000113555,ENSG00000133246,ENSG00000005961,ENSG00000117114,ENSG00000196616,ENSG00000086730,ENSG00000127249,ENSG00000161640,ENSG00000033327,ENSG00000161643,ENSG00000133019,ENSG00000177674,ENSG00000093010,ENSG00000043591,ENSG00000131634,ENSG00000130303,ENSG00000124780,ENSG00000161647,ENSG00000173193,ENSG00000130669,ENSG00000115604,ENSG00000113303,ENSG00000138821,ENSG00000115602,ENSG00000169252,ENSG00000174837,ENSG00000000938,ENSG00000158769,ENSG00000046653,ENSG00000065054,ENSG00000107738,ENSG00000090013,ENSG00000049245,ENSG00000066027,ENSG00000027697,ENSG00000132376,ENSG00000139567,ENSG00000135643,ENSG00000136732,ENSG00000120156,ENSG00000146094,ENSG00000133116,ENSG00000073008,ENSG00000126264,ENSG00000114812,ENSG00000115109,ENSG00000213853,ENSG00000152778,ENSG00000172322,ENSG00000114019,ENSG00000095370,ENSG00000243566,ENSG00000171596,ENSG00000263155,ENSG00000169710,ENSG00000102837,ENSG00000126709,ENSG00000124767,ENSG00000124406,ENSG00000166448,ENSG00000177464,ENSG00000124171,ENSG00000008516,ENSG00000136155,ENSG00000198722,ENSG00000152642,ENSG00000177105,ENSG00000137486,ENSG00000157654,ENSG00000197879,ENSG00000111331,ENSG00000112782,ENSG00000196549,ENSG00000122679,ENSG00000006451,ENSG00000099282,ENSG00000084234,ENSG00000164713,ENSG00000127329,ENSG00000125266,ENSG00000145555,ENSG00000162654,ENSG00000103034,ENSG00000188906,ENSG00000137819,ENSG00000154133,ENSG00000179776,ENSG00000174640,ENSG00000106537,ENSG00000171132,ENSG00000169174,ENSG00000140090,ENSG00000268500,ENSG00000115363,ENSG00000167434,ENSG00000164161,ENSG00000160360,ENSG00000187266,ENSG00000182010,ENSG00000169738,ENSG00000166900,ENSG00000053747,ENSG00000165810,ENSG00000135604,ENSG00000024422,ENSG00000180772,ENSG00000176834,ENSG00000204397,ENSG00000008853,ENSG00000197415,ENSG00000007402,ENSG00000138434,ENSG00000120907,ENSG00000135049,ENSG00000169860,ENSG00000126458,ENSG00000168539,ENSG00000168899,ENSG00000180644,ENSG00000183019,ENSG00000115306,ENSG00000181072,ENSG00000067606,ENSG00000063245,ENSG00000214063,ENSG00000144791,ENSG00000107242,ENSG00000149564,ENSG00000108576,ENSG00000154342,ENSG00000110203,ENSG00000076641,ENSG00000072163,ENSG00000171840,ENSG00000133401,ENSG00000136237,ENSG00000170745,ENSG00000084710,ENSG00000170989,ENSG00000138772,ENSG00000120217,ENSG00000161921,ENSG00000182985,ENSG00000124134,ENSG00000131477,ENSG00000160712,ENSG00000140848,ENSG00000198873,ENSG00000112972,ENSG00000169891,ENSG00000113389,ENSG00000099994,ENSG00000139874,ENSG00000175538,ENSG00000157601,ENSG00000172936,ENSG00000121797,ENSG00000102934,ENSG00000171608,ENSG00000184113,ENSG00000125910,ENSG00000169418,ENSG00000146950,ENSG00000127533,ENSG00000072786,ENSG00000115993,ENSG00000078081,ENSG00000177283,ENSG00000072415,ENSG00000142347,ENSG00000123143,ENSG00000180448,ENSG00000239697,ENSG00000102683,ENSG00000164414,ENSG00000104067,ENSG00000001617,ENSG00000140945,ENSG00000105707,ENSG00000171873,ENSG00000173930,ENSG00000170786,ENSG00000143546,ENSG00000166961,ENSG00000150625,ENSG00000171509,ENSG00000124126,ENSG00000013588,ENSG00000155511,ENSG00000105971,ENSG00000197471,ENSG00000160867,ENSG00000154783,ENSG00000105974,ENSG00000105854,ENSG00000166292,ENSG00000204175,ENSG00000117834,ENSG00000171885,ENSG00000066405,ENSG00000005884,ENSG00000196814,ENSG00000163220,ENSG00000111052,ENSG00000163221,ENSG00000087589,ENSG00000102104,ENSG00000101255,ENSG00000052802,ENSG00000129353,ENSG00000140807,ENSG00000129474,ENSG00000069122,ENSG00000135917,ENSG00000169692,ENSG00000138741,ENSG00000171777,ENSG00000173706,ENSG00000109084,ENSG00000145147,ENSG00000056736"
"GOTERM_CC_DIRECT","membrane","252","620","3918","13004","1.05e-8","2.59e-6","1.35","5.17e-6","2.53e-6","7.51e-9","ENSG00000106688,ENSG00000149177,ENSG00000169583,ENSG00000176435,ENSG00000170214,ENSG00000171303,ENSG00000141574,ENSG00000174804,ENSG00000134470,ENSG00000115271,ENSG00000128917,ENSG00000164690,ENSG00000084453,ENSG00000127946,ENSG00000144285,ENSG00000169905,ENSG00000039523,ENSG00000100342,ENSG00000074416,ENSG00000134243,ENSG00000119535,ENSG00000164342,ENSG00000167972,ENSG00000163251,ENSG00000084444,ENSG00000184730,ENSG00000187688,ENSG00000187446,ENSG00000143862,ENSG00000174151,ENSG00000214212,ENSG00000137726,ENSG00000133121,ENSG00000114646,ENSG00000174951,ENSG00000005844,ENSG00000110047,ENSG00000175489,ENSG00000113555,ENSG00000172893,ENSG00000117114,ENSG00000168952,ENSG00000138496,ENSG00000169248,ENSG00000127249,ENSG00000161640,ENSG00000161643,ENSG00000133019,ENSG00000177674,ENSG00000093010,ENSG00000043591,ENSG00000068079,ENSG00000130303,ENSG00000124780,ENSG00000161647,ENSG00000173193,ENSG00000115604,ENSG00000198113,ENSG00000179178,ENSG00000133935,ENSG00000113303,ENSG00000138821,ENSG00000169252,ENSG00000004866,ENSG00000198911,ENSG00000157445,ENSG00000133135,ENSG00000174837,ENSG00000171208,ENSG00000169255,ENSG00000050555,ENSG00000046653,ENSG00000107738,ENSG00000049245,ENSG00000027697,ENSG00000132376,ENSG00000139567,ENSG00000135643,ENSG00000136732,ENSG00000100300,ENSG00000133116,ENSG00000073008,ENSG00000126264,ENSG00000111666,ENSG00000114812,ENSG00000213853,ENSG00000243566,ENSG00000171596,ENSG00000168743,ENSG00000169710,ENSG00000126709,ENSG00000124406,ENSG00000240849,ENSG00000177464,ENSG00000170271,ENSG00000008516,ENSG00000111335,ENSG00000136155,ENSG00000198722,ENSG00000152642,ENSG00000157654,ENSG00000197879,ENSG00000111331,ENSG00000112782,ENSG00000139304,ENSG00000196549,ENSG00000122679,ENSG00000006451,ENSG00000099282,ENSG00000135185,ENSG00000084234,ENSG00000127329,ENSG00000125266,ENSG00000103034,ENSG00000137819,ENSG00000154133,ENSG00000179776,ENSG00000174640,ENSG00000106537,ENSG00000171132,ENSG00000198712,ENSG00000140090,ENSG00000109929,ENSG00000268500,ENSG00000115363,ENSG00000167434,ENSG00000187266,ENSG00000118508,ENSG00000169738,ENSG00000166900,ENSG00000053747,ENSG00000165810,ENSG00000135604,ENSG00000024422,ENSG00000180772,ENSG00000176834,ENSG00000007402,ENSG00000120907,ENSG00000166471,ENSG00000169860,ENSG00000126458,ENSG00000147155,ENSG00000143110,ENSG00000102003,ENSG00000168539,ENSG00000168899,ENSG00000180644,ENSG00000183019,ENSG00000130720,ENSG00000010270,ENSG00000115306,ENSG00000181072,ENSG00000067606,ENSG00000189221,ENSG00000169994,ENSG00000214063,ENSG00000259417,ENSG00000149564,ENSG00000108576,ENSG00000180537,ENSG00000113719,ENSG00000110203,ENSG00000110446,ENSG00000198888,ENSG00000244187,ENSG00000171840,ENSG00000170745,ENSG00000170989,ENSG00000138772,ENSG00000161921,ENSG00000176171,ENSG00000072954,ENSG00000182985,ENSG00000124134,ENSG00000131477,ENSG00000160712,ENSG00000180440,ENSG00000170088,ENSG00000113389,ENSG00000139874,ENSG00000175538,ENSG00000157600,ENSG00000099194,ENSG00000121797,ENSG00000102934,ENSG00000050393,ENSG00000184113,ENSG00000181409,ENSG00000125910,ENSG00000169418,ENSG00000127533,ENSG00000115756,ENSG00000198786,ENSG00000078081,ENSG00000186205,ENSG00000140600,ENSG00000177283,ENSG00000180448,ENSG00000239697,ENSG00000102683,ENSG00000164414,ENSG00000104067,ENSG00000128284,ENSG00000140945,ENSG00000105707,ENSG00000171873,ENSG00000173930,ENSG00000150630,ENSG00000166961,ENSG00000150625,ENSG00000165197,ENSG00000171509,ENSG00000013588,ENSG00000155511,ENSG00000105971,ENSG00000197471,ENSG00000160867,ENSG00000104763,ENSG00000105974,ENSG00000105854,ENSG00000166292,ENSG00000154309,ENSG00000117834,ENSG00000119782,ENSG00000171885,ENSG00000066405,ENSG00000111052,ENSG00000092929,ENSG00000143416,ENSG00000143418,ENSG00000187678,ENSG00000143771,ENSG00000184602,ENSG00000162817,ENSG00000052802,ENSG00000129353,ENSG00000069122,ENSG00000132406,ENSG00000135917,ENSG00000115649,ENSG00000169692,ENSG00000138741,ENSG00000171777,ENSG00000166189,ENSG00000109084,ENSG00000186577,ENSG00000145147,ENSG00000221968,ENSG00000128268,ENSG00000056736,ENSG00000140497,ENSG00000177191"
"GOTERM_CC_DIRECT","cell surface","50","620","533","13004","7.13e-6","1.17e-3","1.97","3.51e-3","1.15e-3","3.39e-6","ENSG00000106688,ENSG00000149177,ENSG00000049245,ENSG00000170890,ENSG00000154764,ENSG00000173369,ENSG00000139567,ENSG00000174804,ENSG00000134470,ENSG00000078081,ENSG00000164690,ENSG00000169860,ENSG00000142748,ENSG00000120156,ENSG00000168899,ENSG00000073008,ENSG00000126264,ENSG00000173372,ENSG00000213853,ENSG00000134243,ENSG00000105707,ENSG00000163251,ENSG00000187688,ENSG00000155511,ENSG00000197471,ENSG00000154342,ENSG00000114646,ENSG00000005844,ENSG00000005961,ENSG00000005884,ENSG00000196549,ENSG00000006451,ENSG00000122679,ENSG00000172889,ENSG00000099282,ENSG00000136153,ENSG00000102104,ENSG00000131477,ENSG00000130303,ENSG00000069122,ENSG00000179776,ENSG00000115604,ENSG00000115602,ENSG00000169174,ENSG00000136205,ENSG00000167434,ENSG00000172936,ENSG00000164161,ENSG00000145147,ENSG00000056736"
"GOTERM_CC_DIRECT","cell-cell junction","24","620","185","13004","2.33e-5","2.88e-3","2.72","1.15e-2","2.82e-3","7.72e-6","ENSG00000155511,ENSG00000158769,ENSG00000129474,ENSG00000160867,ENSG00000161647,ENSG00000179776,ENSG00000149177,ENSG00000105538,ENSG00000176834,ENSG00000005844,ENSG00000105707,ENSG00000113555,ENSG00000072163,ENSG00000066405,ENSG00000133401,ENSG00000067606,ENSG00000173706,ENSG00000174804,ENSG00000111052,ENSG00000184113,ENSG00000149564,ENSG00000120156,ENSG00000182985,ENSG00000166900"
"GOTERM_CC_DIRECT","apical plasma membrane","31","620","291","13004","5.72e-5","5.65e-3","2.23","2.79e-2","5.53e-3","2.33e-5","ENSG00000076944,ENSG00000065054,ENSG00000105974,ENSG00000106688,ENSG00000124171,ENSG00000157654,ENSG00000112782,ENSG00000139304,ENSG00000136153,ENSG00000084453,ENSG00000169860,ENSG00000277494,ENSG00000120156,ENSG00000072415,ENSG00000133116,ENSG00000161647,ENSG00000130303,ENSG00000160712,ENSG00000213853,ENSG00000138821,ENSG00000169252,ENSG00000114019,ENSG00000138669,ENSG00000140090,ENSG00000105707,ENSG00000067606,ENSG00000167434,ENSG00000102934,ENSG00000169738,ENSG00000146950,ENSG00000166900"
"GOTERM_CC_DIRECT","membrane raft","23","620","188","13004","8.78e-5","7.23e-3","2.57","4.25e-2","7.07e-3","3.10e-5","ENSG00000105971,ENSG00000046653,ENSG00000188906,ENSG00000106688,ENSG00000130303,ENSG00000105974,ENSG00000213853,ENSG00000076641,ENSG00000005844,ENSG00000116017,ENSG00000175538,ENSG00000197879,ENSG00000196549,ENSG00000170989,ENSG00000086730,ENSG00000168497,ENSG00000164690,ENSG00000102934,ENSG00000187446,ENSG00000120156,ENSG00000108576,ENSG00000145147,ENSG00000033327"
"GOTERM_CC_DIRECT","presynaptic active zone membrane","8","620","31","13004","5.18e-4","3.65e-2","5.41","2.26e-1","3.57e-2","7.59e-5","ENSG00000155511,ENSG00000135604,ENSG00000150625,ENSG00000169860,ENSG00000183775,ENSG00000157445,ENSG00000007402,ENSG00000005884"
"GOTERM_CC_DIRECT","extracellular region","110","620","1719","13004","8.40e-4","5.19e-2","1.34","3.40e-1","5.07e-2","6.16e-4","ENSG00000076944,ENSG00000187608,ENSG00000149177,ENSG00000162704,ENSG00000171388,ENSG00000154764,ENSG00000141574,ENSG00000144843,ENSG00000134470,ENSG00000115271,ENSG00000164690,ENSG00000277494,ENSG00000100342,ENSG00000180644,ENSG00000130720,ENSG00000196154,ENSG00000137752,ENSG00000119535,ENSG00000167972,ENSG00000144837,ENSG00000185303,ENSG00000177663,ENSG00000176971,ENSG00000154342,ENSG00000110203,ENSG00000176697,ENSG00000163815,ENSG00000132031,ENSG00000239839,ENSG00000071073,ENSG00000110442,ENSG00000114646,ENSG00000113555,ENSG00000133401,ENSG00000172889,ENSG00000169248,ENSG00000169245,ENSG00000120217,ENSG00000163421,ENSG00000161921,ENSG00000068079,ENSG00000266524,ENSG00000160712,ENSG00000198113,ENSG00000115602,ENSG00000121316,ENSG00000164120,ENSG00000000938,ENSG00000050555,ENSG00000121552,ENSG00000127533,ENSG00000183607,ENSG00000130755,ENSG00000103490,ENSG00000211445,ENSG00000170890,ENSG00000108828,ENSG00000064886,ENSG00000158764,ENSG00000173369,ENSG00000142748,ENSG00000120156,ENSG00000122852,ENSG00000180448,ENSG00000239697,ENSG00000163687,ENSG00000133116,ENSG00000073008,ENSG00000001617,ENSG00000128284,ENSG00000173372,ENSG00000140945,ENSG00000175315,ENSG00000169031,ENSG00000114378,ENSG00000111144,ENSG00000150630,ENSG00000159723,ENSG00000168743,ENSG00000143546,ENSG00000102837,ENSG00000185585,ENSG00000165197,ENSG00000183287,ENSG00000197471,ENSG00000104763,ENSG00000160867,ENSG00000105854,ENSG00000008516,ENSG00000171885,ENSG00000111331,ENSG00000196549,ENSG00000163220,ENSG00000163221,ENSG00000092929,ENSG00000143416,ENSG00000102104,ENSG00000107742,ENSG00000188906,ENSG00000140092,ENSG00000169174,ENSG00000173706,ENSG00000137496,ENSG00000164161,ENSG00000134020,ENSG00000187266,ENSG00000145147,ENSG00000078902,ENSG00000053747,ENSG00000056736"
"GOTERM_CC_DIRECT","external side of plasma membrane","27","620","285","13004","1.14e-3","6.02e-2","1.99","4.30e-1","5.89e-2","5.28e-4","ENSG00000155511,ENSG00000197471,ENSG00000110203,ENSG00000005844,ENSG00000176435,ENSG00000171885,ENSG00000005961,ENSG00000005884,ENSG00000170989,ENSG00000169245,ENSG00000120217,ENSG00000142748,ENSG00000277494,ENSG00000102104,ENSG00000154133,ENSG00000179776,ENSG00000160712,ENSG00000140945,ENSG00000115602,ENSG00000113303,ENSG00000167434,ENSG00000173706,ENSG00000119535,ENSG00000174837,ENSG00000121797,ENSG00000187266,ENSG00000165810"
"GOTERM_CC_DIRECT","extracellular exosome","108","620","1698","13004","1.22e-3","6.02e-2","1.33","4.53e-1","5.89e-2","8.80e-4","ENSG00000104267,ENSG00000024422,ENSG00000076944,ENSG00000106688,ENSG00000149177,ENSG00000162704,ENSG00000169583,ENSG00000154764,ENSG00000141574,ENSG00000115271,ENSG00000126458,ENSG00000039523,ENSG00000168899,ENSG00000196154,ENSG00000115306,ENSG00000067606,ENSG00000187446,ENSG00000143862,ENSG00000154342,ENSG00000163815,ENSG00000239839,ENSG00000071073,ENSG00000005844,ENSG00000110047,ENSG00000113555,ENSG00000005961,ENSG00000138772,ENSG00000086730,ENSG00000120217,ENSG00000140105,ENSG00000095713,ENSG00000072954,ENSG00000101162,ENSG00000177156,ENSG00000093010,ENSG00000130303,ENSG00000174684,ENSG00000140848,ENSG00000113389,ENSG00000099994,ENSG00000101608,ENSG00000164120,ENSG00000000938,ENSG00000146950,ENSG00000072786,ENSG00000158769,ENSG00000065054,ENSG00000090013,ENSG00000211445,ENSG00000108828,ENSG00000111275,ENSG00000120437,ENSG00000100300,ENSG00000072415,ENSG00000155368,ENSG00000133116,ENSG00000140945,ENSG00000175315,ENSG00000105707,ENSG00000114378,ENSG00000173930,ENSG00000111144,ENSG00000168743,ENSG00000143546,ENSG00000169710,ENSG00000102837,ENSG00000124767,ENSG00000150625,ENSG00000124406,ENSG00000013588,ENSG00000197471,ENSG00000104763,ENSG00000124171,ENSG00000117834,ENSG00000136155,ENSG00000152642,ENSG00000177105,ENSG00000151552,ENSG00000197879,ENSG00000005884,ENSG00000115652,ENSG00000112782,ENSG00000196549,ENSG00000196814,ENSG00000006451,ENSG00000163220,ENSG00000111052,ENSG00000143416,ENSG00000084234,ENSG00000154133,ENSG00000188906,ENSG00000129353,ENSG00000198431,ENSG00000115648,ENSG00000140092,ENSG00000078114,ENSG00000167434,ENSG00000144579,ENSG00000137496,ENSG00000134020,ENSG00000128309,ENSG00000145147,ENSG00000169738,ENSG00000078902,ENSG00000053747,ENSG00000140497,ENSG00000166900,ENSG00000177191"
