"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cilium movement","40","993","61","12477","2.49e-28","9.09e-25","8.24","9.09e-25","9.01e-25","1.18e-29","ENSG00000157856,ENSG00000105479,ENSG00000145491,ENSG00000105877,ENSG00000111834,ENSG00000198003,ENSG00000004838,ENSG00000158023,ENSG00000158486,ENSG00000171962,ENSG00000112981,ENSG00000122735,ENSG00000118997,ENSG00000169126,ENSG00000156042,ENSG00000089101,ENSG00000204815,ENSG00000163885,ENSG00000034239,ENSG00000181378,ENSG00000077327,ENSG00000154099,ENSG00000141519,ENSG00000129295,ENSG00000172361,ENSG00000171595,ENSG00000139537,ENSG00000172426,ENSG00000157423,ENSG00000174844,ENSG00000197748,ENSG00000143126,ENSG00000114473,ENSG00000137473,ENSG00000007174,ENSG00000186710,ENSG00000160188,ENSG00000187726,ENSG00000101222,ENSG00000160345"
"GOTERM_BP_DIRECT","flagellated sperm motility","54","993","135","12477","2.94e-24","5.38e-21","5.03","1.08e-20","5.33e-21","3.86e-25","ENSG00000105479,ENSG00000145491,ENSG00000105877,ENSG00000131044,ENSG00000179902,ENSG00000174898,ENSG00000122735,ENSG00000204711,ENSG00000166596,ENSG00000183690,ENSG00000165309,ENSG00000089101,ENSG00000164972,ENSG00000105792,ENSG00000034239,ENSG00000141519,ENSG00000129295,ENSG00000172361,ENSG00000139537,ENSG00000100979,ENSG00000186952,ENSG00000188931,ENSG00000160188,ENSG00000167858,ENSG00000187726,ENSG00000183644,ENSG00000160345,ENSG00000157856,ENSG00000092850,ENSG00000198003,ENSG00000157330,ENSG00000158023,ENSG00000096093,ENSG00000171962,ENSG00000112981,ENSG00000169126,ENSG00000140263,ENSG00000188523,ENSG00000204815,ENSG00000164675,ENSG00000213085,ENSG00000151023,ENSG00000181378,ENSG00000136449,ENSG00000215217,ENSG00000138587,ENSG00000172426,ENSG00000197748,ENSG00000114473,ENSG00000119636,ENSG00000137098,ENSG00000186973,ENSG00000165698,ENSG00000186976"
"GOTERM_BP_DIRECT","adaptive immune response","61","993","203","12477","5.33e-20","6.50e-17","3.78","1.95e-16","6.44e-17","1.08e-20","ENSG00000231292,ENSG00000211640,ENSG00000130038,ENSG00000243238,ENSG00000211644,ENSG00000211642,ENSG00000211648,ENSG00000224041,ENSG00000281078,ENSG00000223350,ENSG00000211649,ENSG00000277856,ENSG00000169508,ENSG00000276566,ENSG00000211673,ENSG00000211632,ENSG00000211598,ENSG00000211597,ENSG00000278196,ENSG00000276173,ENSG00000211955,ENSG00000244575,ENSG00000211637,ENSG00000211679,ENSG00000007312,ENSG00000242076,ENSG00000211638,ENSG00000132465,ENSG00000211639,ENSG00000048462,ENSG00000211592,ENSG00000288190,ENSG00000239951,ENSG00000211662,ENSG00000159958,ENSG00000240505,ENSG00000211666,ENSG00000211663,ENSG00000211664,ENSG00000211669,ENSG00000211625,ENSG00000211668,ENSG00000134258,ENSG00000131188,ENSG00000241351,ENSG00000277836,ENSG00000243290,ENSG00000146072,ENSG00000105369,ENSG00000244437,ENSG00000241566,ENSG00000211658,ENSG00000211659,ENSG00000026751,ENSG00000241244,ENSG00000244116,ENSG00000243466,ENSG00000242371,ENSG00000243264,ENSG00000251039,ENSG00000274576"
"GOTERM_BP_DIRECT","immune response","75","993","353","12477","4.74e-15","4.33e-12","2.67","1.75e-11","4.29e-12","1.50e-15","ENSG00000231292,ENSG00000211640,ENSG00000243238,ENSG00000211644,ENSG00000211642,ENSG00000211648,ENSG00000114423,ENSG00000172156,ENSG00000224041,ENSG00000281078,ENSG00000223350,ENSG00000211649,ENSG00000115594,ENSG00000102962,ENSG00000124875,ENSG00000169508,ENSG00000169429,ENSG00000276566,ENSG00000211673,ENSG00000182704,ENSG00000211632,ENSG00000211598,ENSG00000075223,ENSG00000278196,ENSG00000276173,ENSG00000211955,ENSG00000132185,ENSG00000244575,ENSG00000211637,ENSG00000007312,ENSG00000242076,ENSG00000211638,ENSG00000132465,ENSG00000211639,ENSG00000117322,ENSG00000100219,ENSG00000006062,ENSG00000137077,ENSG00000107562,ENSG00000211592,ENSG00000239951,ENSG00000211662,ENSG00000126353,ENSG00000211666,ENSG00000163739,ENSG00000211663,ENSG00000211664,ENSG00000211669,ENSG00000211625,ENSG00000211668,ENSG00000110400,ENSG00000241351,ENSG00000100448,ENSG00000243290,ENSG00000090104,ENSG00000143297,ENSG00000156234,ENSG00000244437,ENSG00000241566,ENSG00000178562,ENSG00000181374,ENSG00000211658,ENSG00000211659,ENSG00000026751,ENSG00000241244,ENSG00000244116,ENSG00000243466,ENSG00000242371,ENSG00000243264,ENSG00000251039,ENSG00000145824,ENSG00000166147,ENSG00000134460,ENSG00000039537,ENSG00000274576"
"GOTERM_BP_DIRECT","extracellular matrix organization","38","993","129","12477","2.51e-12","1.84e-9","3.70","9.18e-9","1.82e-9","5.21e-13","ENSG00000204291,ENSG00000156103,ENSG00000106823,ENSG00000120708,ENSG00000138316,ENSG00000137745,ENSG00000171502,ENSG00000206075,ENSG00000112562,ENSG00000145536,ENSG00000166670,ENSG00000049089,ENSG00000164318,ENSG00000123500,ENSG00000087245,ENSG00000178031,ENSG00000187955,ENSG00000077942,ENSG00000262406,ENSG00000133110,ENSG00000197565,ENSG00000198732,ENSG00000196611,ENSG00000084636,ENSG00000137673,ENSG00000172987,ENSG00000157227,ENSG00000169436,ENSG00000065618,ENSG00000149968,ENSG00000114270,ENSG00000168542,ENSG00000182871,ENSG00000162745,ENSG00000091986,ENSG00000123131,ENSG00000049192,ENSG00000163435"
"GOTERM_BP_DIRECT","cell adhesion","76","993","458","12477","1.02e-9","6.20e-7","2.09","3.72e-6","6.14e-7","4.37e-10","ENSG00000134757,ENSG00000149294,ENSG00000114948,ENSG00000108821,ENSG00000130635,ENSG00000181143,ENSG00000120708,ENSG00000172156,ENSG00000185070,ENSG00000148848,ENSG00000113296,ENSG00000187492,ENSG00000167123,ENSG00000101311,ENSG00000148600,ENSG00000105664,ENSG00000113805,ENSG00000133110,ENSG00000197565,ENSG00000169231,ENSG00000138448,ENSG00000165194,ENSG00000084636,ENSG00000021645,ENSG00000078098,ENSG00000134762,ENSG00000038427,ENSG00000062038,ENSG00000142173,ENSG00000109182,ENSG00000148357,ENSG00000182871,ENSG00000163531,ENSG00000107562,ENSG00000167656,ENSG00000204291,ENSG00000218336,ENSG00000105855,ENSG00000083857,ENSG00000132470,ENSG00000115414,ENSG00000041982,ENSG00000110400,ENSG00000135424,ENSG00000174437,ENSG00000186340,ENSG00000162692,ENSG00000100842,ENSG00000147650,ENSG00000124215,ENSG00000086570,ENSG00000163346,ENSG00000163347,ENSG00000123096,ENSG00000154330,ENSG00000154096,ENSG00000080854,ENSG00000137975,ENSG00000044524,ENSG00000026751,ENSG00000110076,ENSG00000118785,ENSG00000157766,ENSG00000143126,ENSG00000169855,ENSG00000170558,ENSG00000142156,ENSG00000064309,ENSG00000114270,ENSG00000169851,ENSG00000138185,ENSG00000163359,ENSG00000196090,ENSG00000108797,ENSG00000143322,ENSG00000272398"
"GOTERM_BP_DIRECT","cilium movement involved in cell motility","13","993","21","12477","8.96e-9","4.68e-6","7.78","3.28e-5","4.64e-6","5.31e-10","ENSG00000183914,ENSG00000092850,ENSG00000105877,ENSG00000111834,ENSG00000158486,ENSG00000115423,ENSG00000172426,ENSG00000171811,ENSG00000118997,ENSG00000007174,ENSG00000188596,ENSG00000167858,ENSG00000162643"
"GOTERM_BP_DIRECT","inner dynein arm assembly","12","993","18","12477","1.44e-8","6.57e-6","8.38","5.26e-5","6.51e-6","7.17e-10","ENSG00000118997,ENSG00000183914,ENSG00000092850,ENSG00000154099,ENSG00000141519,ENSG00000004838,ENSG00000129295,ENSG00000186710,ENSG00000158486,ENSG00000163885,ENSG00000174844,ENSG00000162643"
"GOTERM_BP_DIRECT","axoneme assembly","14","993","27","12477","3.29e-8","1.33e-5","6.52","1.20e-4","1.32e-5","2.81e-9","ENSG00000157856,ENSG00000142609,ENSG00000154099,ENSG00000048342,ENSG00000141519,ENSG00000111834,ENSG00000172426,ENSG00000171811,ENSG00000133083,ENSG00000160188,ENSG00000183644,ENSG00000165698,ENSG00000129654,ENSG00000160345"
"GOTERM_BP_DIRECT","sperm axoneme assembly","14","993","31","12477","2.50e-7","9.14e-5","5.67","9.13e-4","9.05e-5","2.74e-8","ENSG00000152582,ENSG00000181378,ENSG00000077327,ENSG00000158486,ENSG00000135205,ENSG00000138587,ENSG00000174844,ENSG00000197748,ENSG00000162571,ENSG00000114473,ENSG00000119636,ENSG00000141294,ENSG00000105792,ENSG00000160401"
