"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","extracellular region","317","1039","1719","13004","1.35e-52","8.24e-50","2.31","8.24e-50","7.82e-50","5.20e-53","ENSG00000152582,ENSG00000149294,ENSG00000211640,ENSG00000243238,ENSG00000145491,ENSG00000049323,ENSG00000211644,ENSG00000113657,ENSG00000211642,ENSG00000211648,ENSG00000137745,ENSG00000224041,ENSG00000281078,ENSG00000211649,ENSG00000000971,ENSG00000112562,ENSG00000164694,ENSG00000174808,ENSG00000205403,ENSG00000164692,ENSG00000162711,ENSG00000263639,ENSG00000154080,ENSG00000054803,ENSG00000182326,ENSG00000278468,ENSG00000211632,ENSG00000072110,ENSG00000276173,ENSG00000169231,ENSG00000211637,ENSG00000244575,ENSG00000110492,ENSG00000179954,ENSG00000211638,ENSG00000211639,ENSG00000157227,ENSG00000117322,ENSG00000038427,ENSG00000143502,ENSG00000120885,ENSG00000149968,ENSG00000163491,ENSG00000137077,ENSG00000166402,ENSG00000163017,ENSG00000164106,ENSG00000198003,ENSG00000211625,ENSG00000254709,ENSG00000041982,ENSG00000170476,ENSG00000006016,ENSG00000126838,ENSG00000182463,ENSG00000091513,ENSG00000107796,ENSG00000141433,ENSG00000177675,ENSG00000156234,ENSG00000149021,ENSG00000181374,ENSG00000282150,ENSG00000151468,ENSG00000137975,ENSG00000244116,ENSG00000196611,ENSG00000170367,ENSG00000170369,ENSG00000118785,ENSG00000282399,ENSG00000243264,ENSG00000125999,ENSG00000167992,ENSG00000162745,ENSG00000167759,ENSG00000101443,ENSG00000100473,ENSG00000039537,ENSG00000090539,ENSG00000114948,ENSG00000156103,ENSG00000108821,ENSG00000130635,ENSG00000181143,ENSG00000120708,ENSG00000139329,ENSG00000185070,ENSG00000148848,ENSG00000115594,ENSG00000113296,ENSG00000121005,ENSG00000166670,ENSG00000168056,ENSG00000164932,ENSG00000102962,ENSG00000124875,ENSG00000082196,ENSG00000167646,ENSG00000211673,ENSG00000105664,ENSG00000104213,ENSG00000132821,ENSG00000141519,ENSG00000211677,ENSG00000117407,ENSG00000133110,ENSG00000115226,ENSG00000211679,ENSG00000132386,ENSG00000173898,ENSG00000065618,ENSG00000114251,ENSG00000167653,ENSG00000115461,ENSG00000142173,ENSG00000163975,ENSG00000277585,ENSG00000017427,ENSG00000143387,ENSG00000167656,ENSG00000108602,ENSG00000054938,ENSG00000211662,ENSG00000206073,ENSG00000278082,ENSG00000211666,ENSG00000211663,ENSG00000118292,ENSG00000163739,ENSG00000211664,ENSG00000211669,ENSG00000211668,ENSG00000135744,ENSG00000066923,ENSG00000154269,ENSG00000206075,ENSG00000100448,ENSG00000188488,ENSG00000143494,ENSG00000141753,ENSG00000162894,ENSG00000187955,ENSG00000133216,ENSG00000244437,ENSG00000042980,ENSG00000077942,ENSG00000262406,ENSG00000211658,ENSG00000211659,ENSG00000243466,ENSG00000242371,ENSG00000157766,ENSG00000168081,ENSG00000197748,ENSG00000170962,ENSG00000142156,ENSG00000114270,ENSG00000188596,ENSG00000063660,ENSG00000145423,ENSG00000180875,ENSG00000151892,ENSG00000130038,ENSG00000154122,ENSG00000105877,ENSG00000196562,ENSG00000138316,ENSG00000223350,ENSG00000162670,ENSG00000123500,ENSG00000162552,ENSG00000163520,ENSG00000163521,ENSG00000276566,ENSG00000182704,ENSG00000113805,ENSG00000211598,ENSG00000211597,ENSG00000075223,ENSG00000129295,ENSG00000278196,ENSG00000197641,ENSG00000172361,ENSG00000198732,ENSG00000181195,ENSG00000111186,ENSG00000171951,ENSG00000204262,ENSG00000134762,ENSG00000132465,ENSG00000121578,ENSG00000100979,ENSG00000101825,ENSG00000188257,ENSG00000168542,ENSG00000135052,ENSG00000118849,ENSG00000079931,ENSG00000148357,ENSG00000239264,ENSG00000143341,ENSG00000088882,ENSG00000101144,ENSG00000106278,ENSG00000211592,ENSG00000157856,ENSG00000239951,ENSG00000153012,ENSG00000064300,ENSG00000196104,ENSG00000115457,ENSG00000112981,ENSG00000241351,ENSG00000162692,ENSG00000007062,ENSG00000148346,ENSG00000204815,ENSG00000120332,ENSG00000213085,ENSG00000241244,ENSG00000152952,ENSG00000117983,ENSG00000251039,ENSG00000163430,ENSG00000166147,ENSG00000137573,ENSG00000186891,ENSG00000007174,ENSG00000160161,ENSG00000109321,ENSG00000139193,ENSG00000231292,ENSG00000111834,ENSG00000135925,ENSG00000135245,ENSG00000172156,ENSG00000158125,ENSG00000106809,ENSG00000091181,ENSG00000171502,ENSG00000149090,ENSG00000282642,ENSG00000175426,ENSG00000161381,ENSG00000122735,ENSG00000277856,ENSG00000140285,ENSG00000144649,ENSG00000166033,ENSG00000049089,ENSG00000135919,ENSG00000087245,ENSG00000106483,ENSG00000169429,ENSG00000101230,ENSG00000047457,ENSG00000077327,ENSG00000197565,ENSG00000211955,ENSG00000156738,ENSG00000135253,ENSG00000137673,ENSG00000084636,ENSG00000078098,ENSG00000242076,ENSG00000118004,ENSG00000174348,ENSG00000119699,ENSG00000169436,ENSG00000121898,ENSG00000117122,ENSG00000160180,ENSG00000109182,ENSG00000128606,ENSG00000182871,ENSG00000182752,ENSG00000107562,ENSG00000288190,ENSG00000049192,ENSG00000185924,ENSG00000204291,ENSG00000137648,ENSG00000110400,ENSG00000115414,ENSG00000138615,ENSG00000173702,ENSG00000114200,ENSG00000186340,ENSG00000140263,ENSG00000277836,ENSG00000116183,ENSG00000243290,ENSG00000204852,ENSG00000139263,ENSG00000073849,ENSG00000092009,ENSG00000178031,ENSG00000123243,ENSG00000065320,ENSG00000241566,ENSG00000154099,ENSG00000154096,ENSG00000153208,ENSG00000044524,ENSG00000106819,ENSG00000172987,ENSG00000145824,ENSG00000121753,ENSG00000139278,ENSG00000161055,ENSG00000057149,ENSG00000163359,ENSG00000123131,ENSG00000142798,ENSG00000123496,ENSG00000188517,ENSG00000274576"
"GOTERM_CC_DIRECT","immunoglobulin complex","50","1039","58","13004","2.89e-45","8.78e-43","10.79","1.76e-42","8.34e-43","4.51e-47","ENSG00000231292,ENSG00000211640,ENSG00000243238,ENSG00000211644,ENSG00000211642,ENSG00000211648,ENSG00000224041,ENSG00000281078,ENSG00000282642,ENSG00000223350,ENSG00000211649,ENSG00000277856,ENSG00000276566,ENSG00000211673,ENSG00000211632,ENSG00000211598,ENSG00000211597,ENSG00000278196,ENSG00000211955,ENSG00000244575,ENSG00000211637,ENSG00000242076,ENSG00000211638,ENSG00000211639,ENSG00000288190,ENSG00000239951,ENSG00000211662,ENSG00000278082,ENSG00000211666,ENSG00000211663,ENSG00000211664,ENSG00000211669,ENSG00000211625,ENSG00000211668,ENSG00000241351,ENSG00000277836,ENSG00000243290,ENSG00000244437,ENSG00000241566,ENSG00000282150,ENSG00000211658,ENSG00000211659,ENSG00000241244,ENSG00000244116,ENSG00000243466,ENSG00000242371,ENSG00000243264,ENSG00000282399,ENSG00000251039,ENSG00000274576"
"GOTERM_CC_DIRECT","axoneme","75","1039","194","13004","2.58e-32","5.23e-30","4.84","1.57e-29","4.96e-30","3.58e-33","ENSG00000103494,ENSG00000105479,ENSG00000145491,ENSG00000243710,ENSG00000105877,ENSG00000111834,ENSG00000158486,ENSG00000196169,ENSG00000135205,ENSG00000133665,ENSG00000179902,ENSG00000122735,ENSG00000204711,ENSG00000166596,ENSG00000171811,ENSG00000118997,ENSG00000183690,ENSG00000158163,ENSG00000089101,ENSG00000163885,ENSG00000034239,ENSG00000183914,ENSG00000142609,ENSG00000077327,ENSG00000141519,ENSG00000172361,ENSG00000171595,ENSG00000139537,ENSG00000117724,ENSG00000115423,ENSG00000157423,ENSG00000186471,ENSG00000186710,ENSG00000188931,ENSG00000160188,ENSG00000167858,ENSG00000187726,ENSG00000101222,ENSG00000160345,ENSG00000157856,ENSG00000181322,ENSG00000092850,ENSG00000198003,ENSG00000157330,ENSG00000158023,ENSG00000096093,ENSG00000171962,ENSG00000112981,ENSG00000169126,ENSG00000156042,ENSG00000188523,ENSG00000204815,ENSG00000215187,ENSG00000213085,ENSG00000103021,ENSG00000151023,ENSG00000181378,ENSG00000154099,ENSG00000215217,ENSG00000159588,ENSG00000111087,ENSG00000178965,ENSG00000138587,ENSG00000172426,ENSG00000197748,ENSG00000137691,ENSG00000188396,ENSG00000114473,ENSG00000119636,ENSG00000118307,ENSG00000188596,ENSG00000137098,ENSG00000007174,ENSG00000186973,ENSG00000165698"
"GOTERM_CC_DIRECT","sperm flagellum","56","1039","122","13004","1.15e-28","1.75e-26","5.74","6.98e-26","1.66e-26","1.19e-29","ENSG00000152582,ENSG00000145491,ENSG00000243710,ENSG00000158486,ENSG00000135205,ENSG00000179902,ENSG00000122735,ENSG00000204711,ENSG00000166596,ENSG00000183690,ENSG00000141294,ENSG00000089101,ENSG00000164972,ENSG00000142621,ENSG00000034239,ENSG00000183914,ENSG00000142609,ENSG00000172361,ENSG00000171595,ENSG00000115423,ENSG00000157423,ENSG00000137473,ENSG00000188931,ENSG00000160188,ENSG00000167858,ENSG00000187726,ENSG00000160345,ENSG00000100360,ENSG00000157856,ENSG00000092850,ENSG00000198003,ENSG00000157330,ENSG00000158023,ENSG00000096093,ENSG00000171962,ENSG00000112981,ENSG00000156042,ENSG00000188523,ENSG00000164675,ENSG00000213085,ENSG00000151023,ENSG00000181378,ENSG00000136449,ENSG00000215217,ENSG00000138587,ENSG00000172426,ENSG00000174844,ENSG00000188396,ENSG00000114473,ENSG00000119636,ENSG00000185681,ENSG00000137098,ENSG00000007174,ENSG00000186973,ENSG00000165698,ENSG00000186976"
"GOTERM_CC_DIRECT","extracellular matrix","96","1039","363","13004","1.99e-26","2.42e-24","3.31","1.21e-23","2.30e-24","4.81e-27","ENSG00000149294,ENSG00000049323,ENSG00000138316,ENSG00000137745,ENSG00000112562,ENSG00000145536,ENSG00000164692,ENSG00000123500,ENSG00000163520,ENSG00000162552,ENSG00000054803,ENSG00000278468,ENSG00000169231,ENSG00000111186,ENSG00000110492,ENSG00000179954,ENSG00000204262,ENSG00000157227,ENSG00000038427,ENSG00000101825,ENSG00000149968,ENSG00000168542,ENSG00000148357,ENSG00000143341,ENSG00000101144,ENSG00000196104,ENSG00000041982,ENSG00000126838,ENSG00000120332,ENSG00000196611,ENSG00000152952,ENSG00000117983,ENSG00000166147,ENSG00000137573,ENSG00000162745,ENSG00000091986,ENSG00000100473,ENSG00000156103,ENSG00000108821,ENSG00000130635,ENSG00000120708,ENSG00000139329,ENSG00000106809,ENSG00000171502,ENSG00000185070,ENSG00000113296,ENSG00000166670,ENSG00000166033,ENSG00000168056,ENSG00000049089,ENSG00000164932,ENSG00000135919,ENSG00000087245,ENSG00000105664,ENSG00000133110,ENSG00000197565,ENSG00000084636,ENSG00000137673,ENSG00000132386,ENSG00000174348,ENSG00000119699,ENSG00000065618,ENSG00000117122,ENSG00000114251,ENSG00000142173,ENSG00000182871,ENSG00000277585,ENSG00000164946,ENSG00000107562,ENSG00000049192,ENSG00000204291,ENSG00000106823,ENSG00000162804,ENSG00000115414,ENSG00000138615,ENSG00000135744,ENSG00000186340,ENSG00000100448,ENSG00000188488,ENSG00000092009,ENSG00000164318,ENSG00000187955,ENSG00000123243,ENSG00000105205,ENSG00000077942,ENSG00000262406,ENSG00000106819,ENSG00000172987,ENSG00000157766,ENSG00000170558,ENSG00000142156,ENSG00000114270,ENSG00000163359,ENSG00000063660,ENSG00000142798,ENSG00000145423,ENSG00000188517"
"GOTERM_CC_DIRECT","motile cilium","48","1039","125","13004","1.21e-20","1.22e-18","4.81","7.34e-18","1.16e-18","1.70e-21","ENSG00000100360,ENSG00000152582,ENSG00000145491,ENSG00000105877,ENSG00000111834,ENSG00000158023,ENSG00000158486,ENSG00000005448,ENSG00000171962,ENSG00000122735,ENSG00000118997,ENSG00000140263,ENSG00000141294,ENSG00000100644,ENSG00000188343,ENSG00000156042,ENSG00000089101,ENSG00000164675,ENSG00000105792,ENSG00000163885,ENSG00000142621,ENSG00000107796,ENSG00000213085,ENSG00000034239,ENSG00000122970,ENSG00000181378,ENSG00000183914,ENSG00000136449,ENSG00000077327,ENSG00000141519,ENSG00000129295,ENSG00000139537,ENSG00000138587,ENSG00000115423,ENSG00000172426,ENSG00000157423,ENSG00000174844,ENSG00000197748,ENSG00000137691,ENSG00000188396,ENSG00000114473,ENSG00000185681,ENSG00000007174,ENSG00000186710,ENSG00000160188,ENSG00000187726,ENSG00000101222,ENSG00000140057"
"GOTERM_CC_DIRECT","plasma membrane","411","1039","3637","13004","1.73e-17","1.50e-15","1.41","1.05e-14","1.43e-15","1.18e-17","ENSG00000139926,ENSG00000137501,ENSG00000224041,ENSG00000281078,ENSG00000131080,ENSG00000174808,ENSG00000184985,ENSG00000067445,ENSG00000156011,ENSG00000157103,ENSG00000240771,ENSG00000007237,ENSG00000157227,ENSG00000145362,ENSG00000178184,ENSG00000127954,ENSG00000161996,ENSG00000104723,ENSG00000065357,ENSG00000131188,ENSG00000135424,ENSG00000157214,ENSG00000168398,ENSG00000125869,ENSG00000147650,ENSG00000101333,ENSG00000143297,ENSG00000091513,ENSG00000147535,ENSG00000124772,ENSG00000135318,ENSG00000123570,ENSG00000156113,ENSG00000170482,ENSG00000282150,ENSG00000137975,ENSG00000105928,ENSG00000114631,ENSG00000282399,ENSG00000175928,ENSG00000087258,ENSG00000134460,ENSG00000103742,ENSG00000132259,ENSG00000070882,ENSG00000156103,ENSG00000114948,ENSG00000067113,ENSG00000181143,ENSG00000006118,ENSG00000198947,ENSG00000196526,ENSG00000148848,ENSG00000082512,ENSG00000160691,ENSG00000182240,ENSG00000100302,ENSG00000183454,ENSG00000148600,ENSG00000133477,ENSG00000007312,ENSG00000133115,ENSG00000173898,ENSG00000142173,ENSG00000054179,ENSG00000163975,ENSG00000152092,ENSG00000144596,ENSG00000161798,ENSG00000278082,ENSG00000159958,ENSG00000240505,ENSG00000132470,ENSG00000154269,ENSG00000144229,ENSG00000168079,ENSG00000100448,ENSG00000184564,ENSG00000090104,ENSG00000187957,ENSG00000162894,ENSG00000164953,ENSG00000023445,ENSG00000133216,ENSG00000077264,ENSG00000168081,ENSG00000197506,ENSG00000143126,ENSG00000143248,ENSG00000188910,ENSG00000089472,ENSG00000134757,ENSG00000130038,ENSG00000154122,ENSG00000196562,ENSG00000171385,ENSG00000223350,ENSG00000174898,ENSG00000204711,ENSG00000107130,ENSG00000162552,ENSG00000072858,ENSG00000113805,ENSG00000211598,ENSG00000211597,ENSG00000278196,ENSG00000197641,ENSG00000181195,ENSG00000134762,ENSG00000169071,ENSG00000078295,ENSG00000078053,ENSG00000154237,ENSG00000116191,ENSG00000188931,ENSG00000143341,ENSG00000163531,ENSG00000211592,ENSG00000106278,ENSG00000069431,ENSG00000239951,ENSG00000094755,ENSG00000114923,ENSG00000196344,ENSG00000078269,ENSG00000083857,ENSG00000198885,ENSG00000005448,ENSG00000174437,ENSG00000173227,ENSG00000162571,ENSG00000162692,ENSG00000101974,ENSG00000132329,ENSG00000198753,ENSG00000026751,ENSG00000132563,ENSG00000143324,ENSG00000101846,ENSG00000186891,ENSG00000182175,ENSG00000164647,ENSG00000185567,ENSG00000139193,ENSG00000143322,ENSG00000231292,ENSG00000132535,ENSG00000243156,ENSG00000091181,ENSG00000282642,ENSG00000161381,ENSG00000140284,ENSG00000142583,ENSG00000166959,ENSG00000213694,ENSG00000047457,ENSG00000155760,ENSG00000156738,ENSG00000152256,ENSG00000179913,ENSG00000078098,ENSG00000242076,ENSG00000197208,ENSG00000119699,ENSG00000116032,ENSG00000139173,ENSG00000104290,ENSG00000288190,ENSG00000067177,ENSG00000134817,ENSG00000132639,ENSG00000071794,ENSG00000132517,ENSG00000110881,ENSG00000110400,ENSG00000062716,ENSG00000100842,ENSG00000243290,ENSG00000139263,ENSG00000270765,ENSG00000164318,ENSG00000188766,ENSG00000163347,ENSG00000131435,ENSG00000135916,ENSG00000153208,ENSG00000130340,ENSG00000079156,ENSG00000121753,ENSG00000139278,ENSG00000057149,ENSG00000144857,ENSG00000138185,ENSG00000142798,ENSG00000108797,ENSG00000121871,ENSG00000144730,ENSG00000188517,ENSG00000211640,ENSG00000149294,ENSG00000243238,ENSG00000211644,ENSG00000151491,ENSG00000211642,ENSG00000128591,ENSG00000175220,ENSG00000211648,ENSG00000211649,ENSG00000155974,ENSG00000185033,ENSG00000145936,ENSG00000138271,ENSG00000104140,ENSG00000278468,ENSG00000069188,ENSG00000211632,ENSG00000072110,ENSG00000173175,ENSG00000276173,ENSG00000211637,ENSG00000244575,ENSG00000211638,ENSG00000211639,ENSG00000117322,ENSG00000120885,ENSG00000186479,ENSG00000048462,ENSG00000166402,ENSG00000108852,ENSG00000211625,ENSG00000057294,ENSG00000116141,ENSG00000117472,ENSG00000188687,ENSG00000142765,ENSG00000177675,ENSG00000105369,ENSG00000244116,ENSG00000243264,ENSG00000083454,ENSG00000143603,ENSG00000121957,ENSG00000082482,ENSG00000039537,ENSG00000110900,ENSG00000107611,ENSG00000103494,ENSG00000108947,ENSG00000211448,ENSG00000075651,ENSG00000120708,ENSG00000138119,ENSG00000137266,ENSG00000179869,ENSG00000185070,ENSG00000115594,ENSG00000187492,ENSG00000149256,ENSG00000018625,ENSG00000211673,ENSG00000177455,ENSG00000211677,ENSG00000115226,ENSG00000211679,ENSG00000000003,ENSG00000065618,ENSG00000165474,ENSG00000114251,ENSG00000166444,ENSG00000167653,ENSG00000277585,ENSG00000180616,ENSG00000141404,ENSG00000167656,ENSG00000165238,ENSG00000108602,ENSG00000211662,ENSG00000206073,ENSG00000003989,ENSG00000126353,ENSG00000096696,ENSG00000149596,ENSG00000211666,ENSG00000211663,ENSG00000211664,ENSG00000211669,ENSG00000183908,ENSG00000211668,ENSG00000138696,ENSG00000088836,ENSG00000128536,ENSG00000176490,ENSG00000169604,ENSG00000131711,ENSG00000146072,ENSG00000123096,ENSG00000152990,ENSG00000244437,ENSG00000042980,ENSG00000178562,ENSG00000211658,ENSG00000211659,ENSG00000243466,ENSG00000242371,ENSG00000170961,ENSG00000167676,ENSG00000165376,ENSG00000169855,ENSG00000085552,ENSG00000169851,ENSG00000063660,ENSG00000181847,ENSG00000078900,ENSG00000196090,ENSG00000104783,ENSG00000151892,ENSG00000105519,ENSG00000164056,ENSG00000166592,ENSG00000169508,ENSG00000276566,ENSG00000075223,ENSG00000138448,ENSG00000153822,ENSG00000111186,ENSG00000117600,ENSG00000150672,ENSG00000114455,ENSG00000062038,ENSG00000188257,ENSG00000168421,ENSG00000135052,ENSG00000172915,ENSG00000148357,ENSG00000221866,ENSG00000149201,ENSG00000064300,ENSG00000075673,ENSG00000166250,ENSG00000112186,ENSG00000241351,ENSG00000170624,ENSG00000007062,ENSG00000133083,ENSG00000086570,ENSG00000105641,ENSG00000095397,ENSG00000130821,ENSG00000106976,ENSG00000241244,ENSG00000111087,ENSG00000117983,ENSG00000251039,ENSG00000064309,ENSG00000137571,ENSG00000166148,ENSG00000137573,ENSG00000159212,ENSG00000133067,ENSG00000114423,ENSG00000231738,ENSG00000277856,ENSG00000196917,ENSG00000167123,ENSG00000166033,ENSG00000141934,ENSG00000087245,ENSG00000127863,ENSG00000211955,ENSG00000165194,ENSG00000021645,ENSG00000114770,ENSG00000128606,ENSG00000088320,ENSG00000147100,ENSG00000128602,ENSG00000101463,ENSG00000185924,ENSG00000137648,ENSG00000218336,ENSG00000105855,ENSG00000162804,ENSG00000105737,ENSG00000115414,ENSG00000134258,ENSG00000173702,ENSG00000114200,ENSG00000086015,ENSG00000277836,ENSG00000149633,ENSG00000102468,ENSG00000124215,ENSG00000179241,ENSG00000136449,ENSG00000155066,ENSG00000241566,ENSG00000154096,ENSG00000189280,ENSG00000044524,ENSG00000172986,ENSG00000172987,ENSG00000110076,ENSG00000138622,ENSG00000170324,ENSG00000170558,ENSG00000135472,ENSG00000006283,ENSG00000157483,ENSG00000272398,ENSG00000123496,ENSG00000125675,ENSG00000274576"
"GOTERM_CC_DIRECT","cilium","84","1039","414","13004","1.99e-15","1.51e-13","2.54","1.22e-12","1.44e-13","6.74e-16","ENSG00000103494,ENSG00000152582,ENSG00000105479,ENSG00000188817,ENSG00000145491,ENSG00000243710,ENSG00000105877,ENSG00000111834,ENSG00000175220,ENSG00000174776,ENSG00000203780,ENSG00000196169,ENSG00000138119,ENSG00000189350,ENSG00000122735,ENSG00000118997,ENSG00000158163,ENSG00000188343,ENSG00000089101,ENSG00000124237,ENSG00000105792,ENSG00000034239,ENSG00000122970,ENSG00000102271,ENSG00000141519,ENSG00000129295,ENSG00000172361,ENSG00000173175,ENSG00000171595,ENSG00000197603,ENSG00000133115,ENSG00000157423,ENSG00000150873,ENSG00000168589,ENSG00000122507,ENSG00000079974,ENSG00000186710,ENSG00000188931,ENSG00000160188,ENSG00000167858,ENSG00000128602,ENSG00000187726,ENSG00000183644,ENSG00000166402,ENSG00000161996,ENSG00000100360,ENSG00000157856,ENSG00000092850,ENSG00000198003,ENSG00000214413,ENSG00000171962,ENSG00000080823,ENSG00000112981,ENSG00000169126,ENSG00000007062,ENSG00000156042,ENSG00000166813,ENSG00000188523,ENSG00000204815,ENSG00000164675,ENSG00000164953,ENSG00000215187,ENSG00000213085,ENSG00000103021,ENSG00000095397,ENSG00000151023,ENSG00000181378,ENSG00000155066,ENSG00000154099,ENSG00000159588,ENSG00000111087,ENSG00000008226,ENSG00000178965,ENSG00000138587,ENSG00000172426,ENSG00000197748,ENSG00000169855,ENSG00000114473,ENSG00000118307,ENSG00000137098,ENSG00000186973,ENSG00000144134,ENSG00000162543,ENSG00000160401"
"GOTERM_CC_DIRECT","basement membrane","33","1039","94","13004","4.88e-13","3.30e-11","4.39","2.97e-10","3.13e-11","7.90e-14","ENSG00000204291,ENSG00000130635,ENSG00000120708,ENSG00000132470,ENSG00000115414,ENSG00000041982,ENSG00000171502,ENSG00000112562,ENSG00000186340,ENSG00000113296,ENSG00000164318,ENSG00000086570,ENSG00000107796,ENSG00000065320,ENSG00000077942,ENSG00000197565,ENSG00000198732,ENSG00000084636,ENSG00000132386,ENSG00000157766,ENSG00000142156,ENSG00000169436,ENSG00000065618,ENSG00000166147,ENSG00000114270,ENSG00000054179,ENSG00000138185,ENSG00000148357,ENSG00000182871,ENSG00000164946,ENSG00000091986,ENSG00000143341,ENSG00000142798"
"GOTERM_CC_DIRECT","9+2 motile cilium","21","1039","38","13004","7.74e-13","4.71e-11","6.92","4.71e-10","4.47e-11","5.72e-14","ENSG00000151023,ENSG00000183914,ENSG00000145491,ENSG00000105877,ENSG00000111834,ENSG00000171595,ENSG00000158486,ENSG00000115423,ENSG00000172426,ENSG00000112981,ENSG00000197748,ENSG00000122735,ENSG00000166596,ENSG00000118997,ENSG00000007174,ENSG00000160188,ENSG00000187726,ENSG00000164675,ENSG00000204815,ENSG00000101222,ENSG00000213085"
