baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE	label
ENSG00000000971	1240.87942911684	1.99505777997115	0.12265814422716	16.265188035752	1.74331112744403e-59	2.34161550638282e-55	CFH	UP	CFH
ENSG00000065618	101.346958748808	5.89670329981987	0.390450259825512	15.1023162398587	1.56343446706174e-51	1.05000258807867e-47	COL17A1	UP	COL17A1
ENSG00000164694	71.0655918895001	4.5738031163421	0.315567369114232	14.4939038823321	1.32399028827385e-47	5.92794585069813e-44	FNDC1	UP	FNDC1
ENSG00000135424	249.156625300206	2.40698567594461	0.181942853732595	13.2293499116058	5.93989002803741e-40	1.99461507141496e-36	ITGA7	UP	ITGA7
ENSG00000156011	122.510223489802	1.31891314435257	0.100067954279765	13.1801749505663	1.14125861443392e-39	3.06587714181529e-36	PSD3	UP	PSD3
ENSG00000137673	392.299186807837	4.87208157573877	0.371550265801989	13.1128464279858	2.77966559839485e-39	6.22274471960659e-36	MMP7	UP	MMP7
ENSG00000114270	229.656961426116	3.61056880203819	0.276842589381169	13.0419557558285	7.06219305107251e-39	1.35513395802866e-35	COL7A1	UP	COL7A1
ENSG00000143320	37.9273373634031	4.05355546298288	0.321965881688224	12.5900155685072	2.39626105937654e-36	4.02332231869321e-33	CRABP2	UP	CRABP2
ENSG00000134247	249.854500336075	1.95030039416786	0.155486077378032	12.5432477753369	4.32883799587678e-36	6.46055021784632e-33	PTGFRN	UP	PTGFRN
ENSG00000168675	117.3933050265	1.22041123561742	0.0987011380399248	12.3647129086168	4.05658060891494e-35	5.44879907389455e-32	LDLRAD4	UP	LDLRAD4
ENSG00000049323	706.796028483607	1.7952973783449	0.147237460181874	12.1932107231901	3.37843319697606e-34	4.1253740637984e-31	LTBP1	UP	LTBP1
ENSG00000187955	1146.58092075457	2.67240244230388	0.220429586824725	12.1236104499386	7.91920060925372e-34	8.86422521529133e-31	COL14A1	UP	COL14A1
ENSG00000171346	304.124346840927	4.80438517504141	0.417007594565543	11.5210975475083	1.03286891141203e-30	1.0671919398528e-27	KRT15	UP	KRT15
ENSG00000146072	226.823904232344	1.31030053796752	0.115620348164346	11.3327849186634	9.02875432156774e-30	8.66244486052128e-27	TNFRSF21	UP	TNFRSF21
ENSG00000196754	107.665765438296	4.82939841064646	0.426587993482115	11.3209900054276	1.03298705303794e-29	9.25005473093706e-27	S100A2	UP	S100A2
ENSG00000131746	61.9205684051115	5.66870423741996	0.516560872130119	10.973932682985	5.1004624875007e-28	4.28183825825684e-25	TNS4	UP	TNS4
ENSG00000134762	50.2757089088714	6.53172940728158	0.602046546695363	10.849209987391	2.0115644199445e-27	1.5893725463938e-24	DSC3	UP	DSC3
ENSG00000168398	68.1316390722776	3.23972266641136	0.300694810648733	10.7741223050103	4.56111328056555e-27	3.40360408803092e-24	BDKRB2	UP	BDKRB2
ENSG00000176834	94.2419768041025	-1.62183454465225	0.151075619156509	-10.7352500271542	6.95304977088842e-27	4.91544023803017e-24	VSIG10	DOWN	VSIG10
ENSG00000182010	191.927805970697	-4.41093847232908	0.411858561678139	-10.7098379947633	9.15218307934416e-27	6.14660615608754e-24	RTKN2	DOWN	RTKN2
