baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSG00000237973	144.884957340235	-1.63372070483265	0.415436616597971	-3.93253901933648	8.405333077322e-05	0.000690754418422745	MTCO1P12
ENSG00000187608	63.1612289734111	-1.34975075336918	0.278235659981881	-4.85110626530429	1.22774740114241e-06	2.13523186810781e-05	ISG15
ENSG00000067606	85.7432541545343	-1.22211163345181	0.28377718278287	-4.30658878725601	1.65791401028513e-05	0.000182072489174459	PRKCZ
ENSG00000049245	404.160357727655	-0.575784188512749	0.0997354036839886	-5.7731173409306	7.78182090204446e-09	2.65323898243893e-07	VAMP3
ENSG00000171608	99.7753718452385	-0.714615841086886	0.181623861071325	-3.93459227698198	8.3338046519954e-05	0.000686801068032066	PIK3CD
ENSG00000178585	107.480011790208	-0.825332750719499	0.159452823393923	-5.17603096108584	2.26655860484388e-07	4.99699484294979e-06	CTNNBIP1
ENSG00000177674	109.848801689577	-0.543868650052908	0.136199395569426	-3.993179615659	6.51931462456447e-05	0.000559037391856624	AGTRAP
ENSG00000116691	66.6254638783652	-0.593857996008819	0.153316351173682	-3.87341592375933	0.000107320441172505	0.00084140373691449	MIIP
ENSG00000162545	249.490676229982	-1.01812526296069	0.241457356652587	-4.21658414999378	2.48030757085225e-05	0.000249237760769464	CAMK2N1
ENSG00000173372	873.614822334743	-1.38782726821096	0.338556335666266	-4.09925061800947	4.14490017004308e-05	0.000384610008816466	C1QA
ENSG00000173369	997.777858945518	-1.56422345622582	0.36831981320576	-4.24691640292501	2.16732780048284e-05	0.000224876789680817	C1QB
ENSG00000158246	47.4605598934231	-1.27548124943398	0.273003809219021	-4.67202729911622	2.98241308120955e-06	4.52641389064318e-05	TENT5B
ENSG00000142748	579.697218895471	-3.45598100101907	0.636058401395523	-5.43343346056995	5.52799031326121e-08	1.46028587356257e-06	FCN3
ENSG00000000938	359.017724246701	-1.11402068377865	0.253746205617946	-4.39029494476847	1.13197016598972e-05	0.000134706287366682	FGR
ENSG00000126709	197.760788228201	-1.1478760220673	0.245254375736554	-4.68034879549027	2.86387264031809e-06	4.39656929630403e-05	IFI6
ENSG00000196182	212.479674943965	-0.523877989587446	0.105770853040827	-4.9529522975978	7.30958985667605e-07	1.35481538418113e-05	STK40
ENSG00000119535	516.546766952405	-1.47562644429617	0.324318900775367	-4.5499242898527	5.36652209659832e-06	7.39460342652518e-05	CSF3R
ENSG00000179862	23.2314647630332	-0.932845033084767	0.198443027873188	-4.70082039708086	2.59118346109737e-06	4.05003632442948e-05	CITED4
ENSG00000177181	23.9166533141861	-2.42168393307245	0.389903851796199	-6.21097719839469	5.26561146887788e-10	2.49029450791028e-08	RIMKLA
ENSG00000179178	181.214422521621	-1.37207601549392	0.292524799065563	-4.69046050070577	2.725908500406e-06	4.22511470388087e-05	TMEM125
ENSG00000162367	79.041927155744	-0.982897354150422	0.199439157211504	-4.92830679738616	8.29452997703493e-07	1.50504988807227e-05	TAL1
ENSG00000117834	16.3275249309233	-1.9221555280538	0.417565414925405	-4.60324408906609	4.15960235960673e-06	5.93343191764695e-05	SLC5A9
ENSG00000169174	46.278639492152	-2.40694480811387	0.515921070520853	-4.66533535000599	3.0811412726439e-06	4.65217427376233e-05	PCSK9
ENSG00000132854	15.888014416054	-1.90744025433033	0.347620486793794	-5.48713417877989	4.08506837978113e-08	1.13159034692024e-06	KANK4
ENSG00000117114	577.880826700811	-1.00646620989369	0.207826296986125	-4.84282414925041	1.28006569664758e-06	2.21048800689637e-05	ADGRL2
ENSG00000162654	269.658841269352	-1.70331345116132	0.299798340467179	-5.68153061990613	1.33494608389954e-08	4.22713704882313e-07	GBP4
ENSG00000137962	384.197686533793	-0.837098883764734	0.205669640020929	-4.07011401235277	4.6990135563537e-05	0.000427106247673289	ARHGAP29
ENSG00000170989	437.366496544396	-0.834903961641944	0.175997263104061	-4.74384627872478	2.09698001663231e-06	3.37103333594806e-05	S1PR1
ENSG00000134243	630.796776615956	-0.600432847595272	0.121622805541505	-4.93684424497481	7.93968301593696e-07	1.44961012075531e-05	SORT1
ENSG00000174151	51.2431568553476	-0.557614339472451	0.142115844429892	-3.92366060033181	8.72135795870299e-05	0.00071154050658066	CYB561D1
ENSG00000064886	133.996256376926	-2.2782645560392	0.43915790337505	-5.18780269814139	2.12789872311407e-07	4.75565902127674e-06	CHI3L2
ENSG00000203878	14.140541719863	-4.49182250355472	1.05011904147808	-4.27744124821537	1.89053831833693e-05	0.000201433010793152	CHIAP2
ENSG00000143110	162.174283994024	-1.10019968048912	0.269046206434113	-4.08925922082661	4.32753020606716e-05	0.000398529650446926	C1orf162
ENSG00000131781	116.887644484256	-1.92343422430121	0.347443078677083	-5.53596932085922	3.0951174559697e-08	8.8801403174113e-07	FMO5
ENSG00000226015	30.2764830609203	-2.26170731053249	0.470239531274962	-4.80969199760878	1.51163038279962e-06	2.55028918782799e-05	CCT8P1
ENSG00000143418	371.006557427632	-0.586316086256199	0.0948848815496448	-6.17923610885715	6.44125030653651e-10	2.95109908575412e-08	CERS2
ENSG00000163154	25.5800972244935	-0.963535691301341	0.248160541005688	-3.88271111674944	0.000103298263289405	0.0008159783610377	TNFAIP8L2
ENSG00000143416	477.163087463261	-0.968177070621189	0.212718927953857	-4.55143827554079	5.32804293947755e-06	7.34848894973475e-05	SELENBP1
ENSG00000163220	875.324189461141	-1.60811118992439	0.357735661185791	-4.49524988533144	6.94882942863208e-06	9.10427062137399e-05	S100A9
ENSG00000163221	78.3750755600257	-3.06261378093568	0.63156749262241	-4.84922643535535	1.23943872514972e-06	2.15050560675721e-05	S100A12
ENSG00000143546	531.845433666238	-2.24140736814831	0.413437818211033	-5.42138931036109	5.9137610675578e-08	1.54548397524893e-06	S100A8
ENSG00000196154	704.955338958393	-1.06488237948426	0.205142031914158	-5.19095170086771	2.09221898526862e-07	4.70460468451277e-06	S100A4
ENSG00000169418	188.552192137622	-1.37965287660812	0.227931439869908	-6.052929237825	1.42235358650462e-09	5.94106151901543e-08	NPR1
ENSG00000160712	161.204556351831	-0.819431015377891	0.187801001758565	-4.36329416619056	1.28118483080231e-05	0.000148603250034752	IL6R
ENSG00000160752	172.259759086799	-0.727477155580132	0.177641805149452	-4.09519119088041	4.21820138945714e-05	0.000389930961985064	FDPS
ENSG00000158764	20.7682180959637	-6.04873115784563	0.725469679564141	-8.33767603007156	7.57648114511521e-17	2.64473309686986e-14	ITLN2
ENSG00000158769	331.8369384626	-0.536001653188334	0.131627000288866	-4.07212541508987	4.65860824547299e-05	0.000424486361012303	F11R
ENSG00000143171	9.3451842780001	-1.42522552689671	0.350338683467332	-4.06813633250869	4.73906525857352e-05	0.000428787787401329	RXRG
ENSG00000143157	226.803409261529	-0.586299551205415	0.091115029142357	-6.43471836341497	1.23702482291508e-10	7.20320027358249e-09	POGK
ENSG00000169905	163.363407525642	-0.522272224731231	0.116659574621283	-4.47689121468775	7.57378168120724e-06	9.75740010792438e-05	TOR1AIP2
ENSG00000162704	504.151849414316	-0.666567428730422	0.153576003439667	-4.34030977367038	1.42281994443611e-05	0.000161454823571035	ARPC5
ENSG00000143862	128.905108279087	-0.622676913744495	0.0977570865560769	-6.36963452657016	1.89479161919574e-10	1.03654999735182e-08	ARL8A
ENSG00000123836	118.789537013445	-1.15885433369625	0.251735630724658	-4.60345772412238	4.15533577608518e-06	5.93343191764695e-05	PFKFB2
ENSG00000066027	316.470187032013	-0.767647881445108	0.150941595135122	-5.08572789864792	3.66218783103206e-07	7.48833135157057e-06	PPP2R5A
ENSG00000162817	155.497820070335	-0.937916577554854	0.183221018440233	-5.11904466823386	3.07087229347778e-07	6.46868659406289e-06	C1orf115
ENSG00000186205	33.5407669661914	-1.05072686129945	0.248911746388612	-4.22128274998725	2.42916002926734e-05	0.000245618898616954	MTARC1
ENSG00000154309	91.8975440888201	-0.970148827894001	0.203059350311438	-4.77766143940702	1.7734565256662e-06	2.92470710042656e-05	DISP1
ENSG00000143771	128.353405006383	-0.648055042480189	0.153085569565281	-4.23328628766565	2.30301029102196e-05	0.00023562061323568	CNIH4
ENSG00000154342	10.1138750268177	-2.0736120736099	0.405954044941302	-5.10799707368289	3.25591692543664e-07	6.79018464350307e-06	WNT3A
ENSG00000181873	37.7743599169851	-0.867607127493154	0.176434221663243	-4.91745376443546	8.76771561136423e-07	1.58110059751797e-05	IBA57
ENSG00000119280	318.973137725569	-1.24283855065257	0.185111754225881	-6.71399045322647	1.89372704514093e-11	1.39517247280458e-09	C1orf198
ENSG00000182118	58.2350323677807	-1.20659103999923	0.201170946910774	-5.99783944216555	1.99960077346102e-09	7.98805093725122e-08	FAM89A
ENSG00000143674	18.5325387815852	-1.15781736540451	0.206989266376199	-5.59361065273889	2.22395375543196e-08	6.65416040987508e-07	MAP3K21
ENSG00000133019	12.8249973104441	-1.62198660917281	0.28921721454714	-5.60819525114553	2.04447305708186e-08	6.15104166830794e-07	CHRM3
ENSG00000197769	13.4390379290861	-2.32777281456606	0.492248675266732	-4.72885541704044	2.25789094984524e-06	3.5903404789242e-05	MAP1LC3C
