"X"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0003341"	"GO:0003341"	"cilium movement"	191	0.717664967037206	3.13099762815328	1.78968413504909e-41	1.00705526279213e-37	8.20805660674622e-38	2271	"tags=70%, list=15%, signal=60%"
"GO:0001539"	"GO:0001539"	"cilium or flagellum-dependent cell motility"	152	0.735791909040888	3.10839273305907	3.61499179200754e-37	6.78051960454215e-34	5.52649797816732e-34	2271	"tags=71%, list=15%, signal=61%"
"GO:0060285"	"GO:0060285"	"cilium-dependent cell motility"	152	0.735791909040888	3.10839273305907	3.61499179200754e-37	6.78051960454215e-34	5.52649797816732e-34	2271	"tags=71%, list=15%, signal=61%"
"GO:0060294"	"GO:0060294"	"cilium movement involved in cell motility"	149	0.73812382619704	3.11132830523356	6.3385928046774e-37	8.91681542797994e-34	7.26769706578406e-34	2271	"tags=71%, list=15%, signal=61%"
"GO:0097722"	"GO:0097722"	"sperm motility"	133	0.733229434705202	3.06065367682375	5.64161909686236e-33	6.3490781316089e-30	5.17484934842722e-30	2271	"tags=71%, list=15%, signal=60%"
"GO:0030317"	"GO:0030317"	"flagellated sperm motility"	132	0.731711990898856	3.04947527846701	1.41246590114114e-31	1.32465760428686e-28	1.07966911074946e-28	2271	"tags=70%, list=15%, signal=60%"
"GO:0044782"	"GO:0044782"	"cilium organization"	391	0.545191150440397	2.55429759909274	2.89241303567256e-30	2.3250868788185e-27	1.89507422502636e-27	2952	"tags=51%, list=20%, signal=42%"
"GO:0007018"	"GO:0007018"	"microtubule-based movement"	393	0.5338181104553	2.50103506043676	5.39314527223896e-29	3.79340355586108e-26	3.09183341462436e-26	2704	"tags=47%, list=18%, signal=39%"
"GO:0060271"	"GO:0060271"	"cilium assembly"	361	0.546160994541024	2.54189153487866	6.83266862770605e-29	4.27193626312244e-26	3.48186400127664e-26	3362	"tags=55%, list=23%, signal=44%"
"GO:0035082"	"GO:0035082"	"axoneme assembly"	93	0.760190500629181	3.0063447922764	6.59225557298223e-26	3.7094622109171e-23	3.02341658226143e-23	2327	"tags=81%, list=16%, signal=68%"
"GO:0001578"	"GO:0001578"	"microtubule bundle formation"	123	0.705380641176821	2.91736854936851	1.02823672482066e-25	5.25989822778716e-23	4.28710756941975e-23	2432	"tags=71%, list=17%, signal=59%"
"GO:0044458"	"GO:0044458"	"motile cilium assembly"	69	0.721946141011294	2.69415445013169	1.65345813152414e-15	7.75334075507194e-13	6.31940094653568e-13	2297	"tags=71%, list=16%, signal=60%"
"GO:0007286"	"GO:0007286"	"spermatid development"	140	0.556637560529243	2.33222753934638	1.47433750486779e-12	6.3816131845316e-10	5.20136721352954e-10	3136	"tags=50%, list=21%, signal=40%"
"GO:0048515"	"GO:0048515"	"spermatid differentiation"	149	0.538056500873007	2.26800756399676	5.89067242040872e-12	2.36762955068856e-09	1.92974885230984e-09	3136	"tags=48%, list=21%, signal=38%"
"GO:0120316"	"GO:0120316"	"sperm flagellum assembly"	46	0.732612824360339	2.56179101268896	1.18741505850019e-11	4.3438293884046e-09	3.54046086917004e-09	2254	"tags=74%, list=15%, signal=63%"
"GO:0007283"	"GO:0007283"	"spermatogenesis"	389	0.412411272376168	1.93091516343219	1.23513897662118e-11	4.3438293884046e-09	3.54046086917004e-09	3168	"tags=38%, list=22%, signal=30%"
"GO:0048232"	"GO:0048232"	"male gamete generation"	399	0.409671881081122	1.9205152830708	3.18044933626132e-11	1.0527287303025e-08	8.58032059324494e-09	3168	"tags=37%, list=22%, signal=30%"
"GO:0001501"	"GO:0001501"	"skeletal system development"	410	0.40643677221308	1.90830438375361	3.94856112810276e-11	1.23436408154635e-08	1.00607490263998e-08	3164	"tags=37%, list=22%, signal=30%"
"GO:0070286"	"GO:0070286"	"axonemal dynein complex assembly"	39	0.747959798611852	2.50808647874629	6.33458708011237e-11	1.87603797367328e-08	1.52907456554291e-08	2002	"tags=77%, list=14%, signal=67%"
"GO:0003351"	"GO:0003351"	"epithelial cilium movement involved in extracellular fluid movement"	47	0.709456447897863	2.48864959779118	2.87131047136371e-10	8.0784320111818e-08	6.58436827564825e-08	2693	"tags=79%, list=18%, signal=64%"
"GO:0007281"	"GO:0007281"	"germ cell development"	235	0.449915266176766	2.00702728220129	3.96222149313636e-10	1.06168668294658e-07	8.65333285493489e-08	3314	"tags=42%, list=23%, signal=33%"
"GO:0016126"	"GO:0016126"	"sterol biosynthetic process"	61	-0.630625514103724	-2.59310848978708	5.25148286809782e-10	1.34318609539938e-07	1.09477085436853e-07	2464	"tags=57%, list=17%, signal=48%"
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	261	0.441887788997809	1.98895117682253	6.55172977955122e-10	1.47466333878139e-07	1.20193206945283e-07	2883	"tags=40%, list=20%, signal=33%"
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	261	0.441887788997809	1.98895117682253	6.55172977955122e-10	1.47466333878139e-07	1.20193206945283e-07	2883	"tags=40%, list=20%, signal=33%"
"GO:0045229"	"GO:0045229"	"external encapsulating structure organization"	261	0.441887788997809	1.98895117682253	6.55172977955122e-10	1.47466333878139e-07	1.20193206945283e-07	2883	"tags=40%, list=20%, signal=33%"
"GO:0030199"	"GO:0030199"	"collagen fibril organization"	61	0.644069679151709	2.35184877363934	1.02020401013966e-09	2.12618072779848e-07	1.73295472599552e-07	3506	"tags=57%, list=24%, signal=44%"
"GO:0060627"	"GO:0060627"	"regulation of vesicle-mediated transport"	453	-0.333772037207955	-1.77600636160722	1.00502900556479e-09	2.12618072779848e-07	1.73295472599552e-07	3510	"tags=41%, list=24%, signal=32%"
"GO:0006695"	"GO:0006695"	"cholesterol biosynthetic process"	55	-0.641067062668877	-2.58018195781389	1.6624170938138e-09	3.2256624092725e-07	2.62909302277558e-07	2276	"tags=56%, list=16%, signal=48%"
"GO:1902653"	"GO:1902653"	"secondary alcohol biosynthetic process"	55	-0.641067062668877	-2.58018195781389	1.6624170938138e-09	3.2256624092725e-07	2.62909302277558e-07	2276	"tags=56%, list=16%, signal=48%"
"GO:0006754"	"GO:0006754"	"ATP biosynthetic process"	93	-0.535290685531455	-2.35157100746902	2.51248852155832e-09	4.71259097026955e-07	3.84102192576477e-07	4645	"tags=62%, list=32%, signal=43%"
